Index       TIME              V(1)       
0        0.00000000e+00    0.00000000e+00
1        1.00000000e-10    6.28318531e-10
2        3.00000000e-10    1.88495559e-09
3        7.00000000e-10    4.39822972e-09
4        1.50000000e-09    9.42477796e-09
5        3.10000000e-09    1.94778745e-08
6        6.30000000e-09    3.95840674e-08
7        1.27000000e-08    7.97964534e-08
8        2.55000000e-08    1.60221225e-07
9        5.11000000e-08    3.21070769e-07
10       1.02300000e-07    6.42769857e-07
11       2.04700000e-07    1.28616803e-06
12       4.09500000e-07    2.57296438e-06
13       8.19100000e-07    5.14655709e-06
14       1.63830000e-06    1.02937425e-05
15       3.27670000e-06    2.05881133e-05
16       6.55350000e-06    4.11768549e-05
17       1.31071000e-05    8.23543380e-05
18       2.62143000e-05    1.64709304e-04
19       5.24287000e-05    3.29419232e-04
20       1.04857500e-04    6.58839056e-04
21       2.09715100e-04    1.31767845e-03
22       4.19430300e-04    2.63535525e-03
23       8.38860700e-04    5.27069282e-03
24       1.67772150e-03    1.05412398e-02
25       3.35544310e-03    2.10813090e-02
26       6.71088630e-03    4.21532485e-02
27       1.34217727e-02    8.42315625e-02
28       2.01326591e-02    1.26160139e-01
29       2.68435455e-02    1.67864443e-01
30       3.35544319e-02    2.09270336e-01
31       4.02653183e-02    2.50304212e-01
32       4.69762047e-02    2.90893125e-01
33       5.36870911e-02    3.30964922e-01
34       6.03979775e-02    3.70448367e-01
35       6.71088639e-02    4.09273271e-01
36       7.38197503e-02    4.47370616e-01
37       8.05306367e-02    4.84672675e-01
38       8.72415231e-02    5.21113139e-01
39       9.39524095e-02    5.56627227e-01
40       1.00000000e-01    5.87785252e-01
41       1.00279014e-01    5.89202632e-01
42       1.00513646e-01    5.90393154e-01
43       1.00982910e-01    5.92770345e-01
44       1.01921439e-01    5.97509248e-01
45       1.03798497e-01    6.06924555e-01
46       1.07552613e-01    6.25500613e-01
47       1.15060844e-01    6.61598579e-01
48       1.22569075e-01    6.96224405e-01
49       1.30077306e-01    7.29301044e-01
50       1.37585537e-01    7.60754898e-01
51       1.45093768e-01    7.90515977e-01
52       1.52601999e-01    8.18518058e-01
53       1.60110230e-01    8.44698835e-01
54       1.67618461e-01    8.69000050e-01
55       1.75126692e-01    8.91367632e-01
56       1.82634923e-01    9.11751810e-01
57       1.90143154e-01    9.30107225e-01
58       1.97651385e-01    9.46393036e-01
59       2.00000000e-01    9.51056516e-01
60       2.00750823e-01    9.52503734e-01
61       2.01359762e-01    9.53661902e-01
62       2.02577639e-01    9.55936339e-01
63       2.05013393e-01    9.60317159e-01
64       2.09884901e-01    9.68403058e-01
65       2.14756409e-01    9.75581745e-01
66       2.19627917e-01    9.81846495e-01
67       2.24499426e-01    9.87191438e-01
68       2.29370934e-01    9.91611568e-01
69       2.34242442e-01    9.95102744e-01
70       2.39113950e-01    9.97661696e-01
71       2.43985458e-01    9.99286025e-01
72       2.48856967e-01    9.99974210e-01
73       2.53728475e-01    9.99725607e-01
74       2.58599983e-01    9.98540449e-01
75       2.63471491e-01    9.96419845e-01
76       2.68342999e-01    9.93365783e-01
77       2.73214508e-01    9.89381123e-01
78       2.78086016e-01    9.84469599e-01
79       2.82957524e-01    9.78635811e-01
80       2.87829032e-01    9.71885225e-01
81       2.92700540e-01    9.64224164e-01
82       2.97572049e-01    9.55659806e-01
83       3.00000000e-01    9.51056516e-01
84       3.00487151e-01    9.50106205e-01
85       3.00974302e-01    9.49146993e-01
86       3.01948603e-01    9.47201900e-01
87       3.03897207e-01    9.43205297e-01
88       3.07794413e-01    9.34788554e-01
89       3.15588826e-01    9.16279018e-01
90       3.23383239e-01    8.95572292e-01
91       3.31177652e-01    8.72718031e-01
92       3.38972066e-01    8.47771037e-01
93       3.46766479e-01    8.20791132e-01
94       3.54560892e-01    7.91843012e-01
95       3.62355305e-01    7.60996094e-01
96       3.70149718e-01    7.28324347e-01
97       3.77944131e-01    6.93906116e-01
98       3.85738544e-01    6.57823934e-01
99       3.93532957e-01    6.20164324e-01
100      4.00000000e-01    5.87785252e-01
101      4.00300199e-01    5.86258233e-01
102      4.00550151e-01    5.84985217e-01
103      4.01050054e-01    5.82434861e-01
