Index       TIME              V(2)       
0        0.00000000e+00    0.00000000e+00
1        1.00000000e-10    1.25663706e-09
2        3.00000000e-10    3.76991118e-09
3        7.00000000e-10    8.79645943e-09
4        1.50000000e-09    1.88495559e-08
5        3.10000000e-09    3.89557489e-08
6        6.30000000e-09    7.91681349e-08
7        1.27000000e-08    1.59592907e-07
8        2.55000000e-08    3.20442451e-07
9        5.11000000e-08    6.42141538e-07
10       1.02300000e-07    1.28553971e-06
11       2.04700000e-07    2.57233606e-06
12       4.09500000e-07    5.14592877e-06
13       8.19100000e-07    1.02931142e-05
14       1.63830000e-06    2.05874850e-05
15       3.27670000e-06    4.11762266e-05
16       6.55350000e-06    8.23537098e-05
17       1.31071000e-05    1.64708676e-04
18       2.62143000e-05    3.29418608e-04
19       5.24287000e-05    6.58838463e-04
20       1.04857500e-04    1.31767811e-03
21       2.09715100e-04    2.63535691e-03
22       4.19430300e-04    5.27071050e-03
23       8.38860700e-04    1.05413856e-02
24       1.67772150e-03    2.10824797e-02
25       3.35544310e-03    4.21626179e-02
26       6.71088630e-03    8.43064971e-02
27       1.00663295e-02    1.26412904e-01
28       1.67772159e-02    2.10438468e-01
29       2.34881023e-02    2.94089939e-01
30       3.01989887e-02    3.77218609e-01
31       3.69098751e-02    4.59676704e-01
32       4.36207615e-02    5.41317637e-01
33       5.03316479e-02    6.21996277e-01
34       5.70425343e-02    7.01569203e-01
35       6.37534207e-02    7.79894959e-01
36       7.04643071e-02    8.56834306e-01
37       7.71751935e-02    9.32250470e-01
38       8.38860799e-02    1.00600939e+00
39       9.05969663e-02    1.07797993e+00
40       9.73078527e-02    1.14803417e+00
41       1.04018739e-01    1.21604756e+00
42       1.10729626e-01    1.28189920e+00
43       1.17440512e-01    1.34547202e+00
44       1.24151398e-01    1.40665302e+00
45       1.30862285e-01    1.46533343e+00
46       1.37573171e-01    1.52140893e+00
47       1.44284058e-01    1.57477985e+00
48       1.50994944e-01    1.62535131e+00
49       1.57705830e-01    1.67303339e+00
50       1.64416717e-01    1.71774135e+00
51       1.71127603e-01    1.75939571e+00
52       1.77838490e-01    1.79792241e+00
53       1.84549376e-01    1.83325296e+00
54       1.91260262e-01    1.86532457e+00
55       1.97971149e-01    1.89408022e+00
56       2.04682035e-01    1.91946878e+00
57       2.11392922e-01    1.94144514e+00
58       2.18103808e-01    1.95997021e+00
59       2.24814694e-01    1.97501107e+00
60       2.31525581e-01    1.98654097e+00
61       2.38236467e-01    1.99453944e+00
62       2.44947354e-01    1.99899223e+00
63       2.51658240e-01    1.99989144e+00
64       2.58369126e-01    1.99723548e+00
65       2.65080013e-01    1.99102905e+00
66       2.71790899e-01    1.98128320e+00
67       2.78501786e-01    1.96801525e+00
68       2.85212672e-01    1.95124879e+00
69       2.91923558e-01    1.93101362e+00
70       2.98634445e-01    1.90734571e+00
71       3.05345331e-01    1.88028714e+00
72       3.12056218e-01    1.84988600e+00
73       3.18767104e-01    1.81619635e+00
74       3.25477990e-01    1.77927807e+00
75       3.32188877e-01    1.73919680e+00
76       3.38899763e-01    1.69602378e+00
77       3.45610650e-01    1.64983575e+00
78       3.52321536e-01    1.60071484e+00
79       3.59032422e-01    1.54874836e+00
80       3.65743309e-01    1.49402869e+00
81       3.72454195e-01    1.43665310e+00
82       3.79165082e-01    1.37672360e+00
83       3.85875968e-01    1.31434671e+00
84       3.92586854e-01    1.24963333e+00
85       3.99297741e-01    1.18269849e+00
86       4.06008627e-01    1.11366119e+00
87       4.12719514e-01    1.04264414e+00
88       4.19430400e-01    9.69773597e-01
89       4.26141286e-01    8.95179103e-01
90       4.32852173e-01    8.18993261e-01
91       4.39563059e-01    7.41351505e-01
92       4.46273946e-01    6.62391859e-01
93       4.52984832e-01    5.82254688e-01
94       4.59695718e-01    5.01082451e-01
95       4.66406605e-01    4.19019446e-01
96       4.73117491e-01    3.36211556e-01
97       4.79828378e-01    2.52805987e-01
98       4.86539264e-01    1.68951008e-01
99       4.93250150e-01    8.47956879e-02
100      4.99961037e-01    4.89627263e-04
101      5.00799898e-01   -1.00517661e-02
102      5.01638758e-01   -2.05928803e-02
103      5.03316480e-01   -4.16730995e-02
104      5.06671923e-01   -8.38173038e-02
105      5.10027366e-01   -1.25924254e-01
106      5.16738253e-01   -2.09951554e-01
107      5.23449139e-01   -2.93605626e-01
108      5.30160026e-01   -3.76737760e-01
109      5.36870912e-01   -4.59200172e-01
110      5.43581798e-01   -5.40846270e-01
111      5.50292685e-01   -6.21530913e-01
112      5.57003571e-01   -7.01110669e-01
113      5.63714457e-01   -7.79444069e-01
114      5.70425344e-01   -8.56391863e-01
115      5.77136230e-01   -9.31817261e-01
116      5.83847117e-01   -1.00558618e+00
117      5.90558003e-01   -1.07756748e+00
118      5.97268889e-01   -1.14763321e+00
119      6.03979776e-01   -1.21565880e+00
120      6.10690662e-01   -1.28152333e+00
121      6.17401549e-01   -1.34510972e+00
122      6.24112435e-01   -1.40630492e+00
123      6.30823321e-01   -1.46500015e+00
124      6.37534208e-01   -1.52109107e+00
125      6.44245094e-01   -1.57447797e+00
126      6.50955981e-01   -1.62506594e+00
127      6.57666867e-01   -1.67276506e+00
128      6.64377753e-01   -1.71749052e+00
129      6.71088640e-01   -1.75916282e+00
130      6.77799526e-01   -1.79770788e+00
131      6.84510413e-01   -1.83305718e+00
132      6.91221299e-01   -1.86514788e+00
133      6.97932185e-01   -1.89392294e+00
134      7.04643072e-01   -1.91933119e+00
135      7.11353958e-01   -1.94132747e+00
136      7.18064845e-01   -1.95987268e+00
137      7.24775731e-01   -1.97493385e+00
138      7.31486617e-01   -1.98648421e+00
139      7.38197504e-01   -1.99450322e+00
140      7.44908390e-01   -1.99897663e+00
141      7.51619277e-01   -1.99989649e+00
142      7.58330163e-01   -1.99726115e+00
143      7.65041049e-01   -1.99107532e+00
144      7.71751936e-01   -1.98134997e+00
145      7.78462822e-01   -1.96810241e+00
146      7.85173709e-01   -1.95135618e+00
147      7.91884595e-01   -1.93114105e+00
148      7.98595481e-01   -1.90749295e+00
149      8.05306368e-01   -1.88045393e+00
150      8.12017254e-01   -1.85007206e+00
151      8.18728141e-01   -1.81640133e+00
152      8.25439027e-01   -1.77950162e+00
153      8.32149913e-01   -1.73943850e+00
154      8.38860800e-01   -1.69628322e+00
155      8.45571686e-01   -1.65011247e+00
156      8.52282573e-01   -1.60100834e+00
157      8.58993459e-01   -1.54905811e+00
158      8.65704345e-01   -1.49435415e+00
159      8.72415232e-01   -1.43699370e+00
160      8.79126118e-01   -1.37707872e+00
161      8.85837005e-01   -1.31471573e+00
162      8.92547891e-01   -1.25001558e+00
163      8.99258777e-01   -1.18309330e+00
164      9.05969664e-01   -1.11406785e+00
165      9.12680550e-01   -1.04306193e+00
166      9.19391437e-01   -9.70201784e-01
167      9.26102323e-01   -8.95616919e-01
168      9.32813209e-01   -8.19439928e-01
169      9.39524096e-01   -7.41806229e-01
170      9.46234982e-01   -6.62853832e-01
171      9.52945869e-01   -5.82723088e-01
172      9.59656755e-01   -5.01556445e-01
173      9.66367641e-01   -4.19498193e-01
174      9.73078528e-01   -3.36694204e-01
175      9.79789414e-01   -2.53291678e-01
176      9.86500301e-01   -1.69438879e-01
177      9.93211187e-01   -8.52848711e-02
178      9.99922073e-01   -9.79253241e-04
179      1.00000000e+00   -4.89858741e-16
End of Xyce(TM) Simulation
