Index       TIME              V(N1)           V(N1,N2)          V(N1,N3)      I(YMEMRISTOR!MR1)     I(RPTG2)      N(YMEMRISTOR!MR1_X)       V(N4)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01
1        5.00000000e-13    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
2        5.15625000e-13    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
3        5.31250000e-13    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
4        5.43754472e-13    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
5        5.68763417e-13    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
6        6.18781306e-13    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
7        7.18817083e-13    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
8        9.18888639e-13    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
9        1.31903175e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
10       2.11931797e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
11       3.71989042e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
12       6.92103531e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
13       1.33233251e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
14       2.61279046e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
15       5.17370638e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01    1.10000000e-01
