Index       TIME             V(VDD)             V(IN)            V(OUT)      
0        0.00000000e+00    1.00000000e+00    1.00000000e+00    4.18840127e-07
1        1.00000000e-13    1.00000000e+00    1.00000000e+00    4.18840127e-07
2        3.00000000e-13    1.00000000e+00    1.00000000e+00    4.18840127e-07
3        7.00000000e-13    1.00000000e+00    1.00000000e+00    4.18840127e-07
4        1.50000000e-12    1.00000000e+00    1.00000000e+00    4.18840127e-07
5        3.10000000e-12    1.00000000e+00    1.00000000e+00    4.18840127e-07
6        6.30000000e-12    1.00000000e+00    1.00000000e+00    4.18840127e-07
7        1.27000000e-11    1.00000000e+00    1.00000000e+00    4.18840127e-07
8        2.00000000e-11    1.00000000e+00    1.00000000e+00    4.18840127e-07
9        2.12800000e-11    1.00000000e+00    9.96800000e-01   -7.36589381e-04
10       2.23299411e-11    1.00000000e+00    9.94175147e-01   -1.27420099e-03
11       2.33798822e-11    1.00000000e+00    9.91550294e-01   -1.78051912e-03
12       2.54797645e-11    1.00000000e+00    9.86300589e-01   -2.62727172e-03
13       2.96795290e-11    1.00000000e+00    9.75801178e-01   -3.82902231e-03
14       3.80790580e-11    1.00000000e+00    9.54802355e-01   -5.10272158e-03
15       5.48781160e-11    1.00000000e+00    9.12804710e-01   -5.97883192e-03
16       6.00000000e-11    1.00000000e+00    9.00000000e-01   -6.07662387e-03
17       6.08617586e-11    1.00000000e+00    8.91382414e-01   -7.67085179e-03
18       6.15379273e-11    1.00000000e+00    8.84620727e-01   -8.84484006e-03
19       6.22140960e-11    1.00000000e+00    8.77859040e-01   -9.98239555e-03
20       6.35664334e-11    1.00000000e+00    8.64335666e-01   -1.20572771e-02
21       6.62711081e-11    1.00000000e+00    8.37288919e-01   -1.55565181e-02
22       7.16804576e-11    1.00000000e+00    7.83195424e-01   -2.07374936e-02
23       8.24991565e-11    1.00000000e+00    6.75008435e-01   -2.39664003e-02
24       8.40842155e-11    1.00000000e+00    6.59157845e-01   -2.32448034e-02
25       8.56692745e-11    1.00000000e+00    6.43307255e-01   -2.22283930e-02
26       8.88393926e-11    1.00000000e+00    6.11606074e-01   -1.78969140e-02
27       9.20095107e-11    1.00000000e+00    5.79904893e-01   -9.94590769e-03
28       9.51796287e-11    1.00000000e+00    5.48203713e-01    2.10113563e-03
29       9.83497468e-11    1.00000000e+00    5.16502532e-01    1.84819413e-02
30       1.01519865e-10    1.00000000e+00    4.84801352e-01    4.00992314e-02
31       1.04689983e-10    1.00000000e+00    4.53100171e-01    6.79228791e-02
32       1.07860101e-10    1.00000000e+00    4.21398991e-01    1.02792493e-01
33       1.11030219e-10    1.00000000e+00    3.89697810e-01    1.44997058e-01
34       1.14200337e-10    1.00000000e+00    3.57996630e-01    1.94262165e-01
35       1.17370455e-10    1.00000000e+00    3.26295449e-01    2.49944507e-01
36       1.20540573e-10    1.00000000e+00    2.94594269e-01    3.11241243e-01
37       1.23710691e-10    1.00000000e+00    2.62893088e-01    3.77262616e-01
38       1.26880809e-10    1.00000000e+00    2.31191907e-01    4.47065741e-01
39       1.30050927e-10    1.00000000e+00    1.99490727e-01    5.19632566e-01
40       1.33221045e-10    1.00000000e+00    1.67789546e-01    5.93761042e-01
41       1.39561281e-10    1.00000000e+00    1.04387185e-01    7.36636209e-01
42       1.40000000e-10    1.00000000e+00    1.00000000e-01    7.45935193e-01
43       1.40205807e-10    1.00000000e+00    9.94854833e-02    7.50647923e-01
44       1.40376330e-10    1.00000000e+00    9.90591760e-02    7.54512912e-01
45       1.40546852e-10    1.00000000e+00    9.86328688e-02    7.58355123e-01
46       1.40887898e-10    1.00000000e+00    9.77802543e-02    7.65919241e-01
47       1.41569990e-10    1.00000000e+00    9.60750252e-02    7.80558394e-01
48       1.42934173e-10    1.00000000e+00    9.26645671e-02    8.07847640e-01
49       1.44298356e-10    1.00000000e+00    8.92541090e-02    8.32499020e-01
50       1.45662540e-10    1.00000000e+00    8.58436508e-02    8.54583697e-01
51       1.47026723e-10    1.00000000e+00    8.24331927e-02    8.74224248e-01
52       1.48390906e-10    1.00000000e+00    7.90227346e-02    8.91569923e-01
53       1.49755089e-10    1.00000000e+00    7.56122765e-02    9.06786919e-01
54       1.51119273e-10    1.00000000e+00    7.22018184e-02    9.20051792e-01
55       1.52483456e-10    1.00000000e+00    6.87913602e-02    9.31545958e-01
56       1.55211822e-10    1.00000000e+00    6.19704440e-02    9.50011676e-01
57       1.57940189e-10    1.00000000e+00    5.51495278e-02    9.63458858e-01
