Index       TIME              V(1A)             V(2A)             I(C1)             I(C2)             P(C1)             P(C2)      
0        0.00000000e+00    1.00000000e+00    1.00000000e+00   -1.00000000e-03   -1.00000000e-03   -1.00000000e-03   -1.00000000e-03
1        5.00000000e-07    9.99987500e-01    9.99987500e-01   -9.99987500e-04   -9.99987500e-04   -9.99975000e-04   -9.99975000e-04
2        1.50000000e-06    9.99962501e-01    9.99962501e-01   -9.99962501e-04   -9.99962501e-04   -9.99925004e-04   -9.99925004e-04
3        2.40000000e-06    9.99940002e-01    9.99940002e-01   -9.99940002e-04   -9.99940002e-04   -9.99880008e-04   -9.99880008e-04
4        4.20000000e-06    9.99895006e-01    9.99895006e-01   -9.99895006e-04   -9.99895006e-04   -9.99790023e-04   -9.99790023e-04
5        7.80000000e-06    9.99805020e-01    9.99805020e-01   -9.99805020e-04   -9.99805020e-04   -9.99610077e-04   -9.99610077e-04
6        1.50000000e-05    9.99625071e-01    9.99625071e-01   -9.99625071e-04   -9.99625071e-04   -9.99250282e-04   -9.99250282e-04
7        2.94000000e-05    9.99265271e-01    9.99265271e-01   -9.99265271e-04   -9.99265271e-04   -9.98531081e-04   -9.98531081e-04
8        5.82000000e-05    9.98546059e-01    9.98546059e-01   -9.98546059e-04   -9.98546059e-04   -9.97094231e-04   -9.97094231e-04
9        1.15800000e-04    9.97109187e-01    9.97109187e-01   -9.97109187e-04   -9.97109187e-04   -9.94226730e-04   -9.94226730e-04
10       2.31000000e-04    9.94241642e-01    9.94241642e-01   -9.94241642e-04   -9.94241642e-04   -9.88516442e-04   -9.88516442e-04
11       4.61400000e-04    9.88531256e-01    9.88531256e-01   -9.88531256e-04   -9.88531256e-04   -9.77194043e-04   -9.77194043e-04
12       9.22200000e-04    9.77208594e-01    9.77208594e-01   -9.77208594e-04   -9.77208594e-04   -9.54936636e-04   -9.54936636e-04
13       1.84380000e-03    9.54950126e-01    9.54950126e-01   -9.54950126e-04   -9.54950126e-04   -9.11929743e-04   -9.11929743e-04
14       3.68700000e-03    9.11937045e-01    9.11937045e-01   -9.11937045e-04   -9.11937045e-04   -8.31629175e-04   -8.31629175e-04
15       5.53020000e-03    8.70861370e-01    8.70861370e-01   -8.70861370e-04   -8.70861370e-04   -7.58399525e-04   -7.58399525e-04
16       7.37340000e-03    8.31635834e-01    8.31635834e-01   -8.31635834e-04   -8.31635834e-04   -6.91618161e-04   -6.91618161e-04
17       9.21660000e-03    7.94177104e-01    7.94177104e-01   -7.94177104e-04   -7.94177104e-04   -6.30717273e-04   -6.30717273e-04
18       1.10598000e-02    7.58405599e-01    7.58405599e-01   -7.58405599e-04   -7.58405599e-04   -5.75179052e-04   -5.75179052e-04
19       1.29030000e-02    7.24245321e-01    7.24245321e-01   -7.24245321e-04   -7.24245321e-04   -5.24531286e-04   -5.24531286e-04
20       1.47462000e-02    6.91623699e-01    6.91623699e-01   -6.91623699e-04   -6.91623699e-04   -4.78343341e-04   -4.78343341e-04
21       1.65894000e-02    6.60471427e-01    6.60471427e-01   -6.60471428e-04   -6.60471428e-04   -4.36222507e-04   -4.36222507e-04
22       1.84326000e-02    6.30722323e-01    6.30722323e-01   -6.30722323e-04   -6.30722323e-04   -3.97810649e-04   -3.97810649e-04
23       2.02758000e-02    6.02313185e-01    6.02313185e-01   -6.02313185e-04   -6.02313185e-04   -3.62781173e-04   -3.62781173e-04
24       2.21190000e-02    5.75183658e-01    5.75183658e-01   -5.75183658e-04   -5.75183658e-04   -3.30836241e-04   -3.30836241e-04
25       2.39622000e-02    5.49276105e-01    5.49276105e-01   -5.49276105e-04   -5.49276105e-04   -3.01704240e-04   -3.01704240e-04
26       2.58054000e-02    5.24535486e-01    5.24535486e-01   -5.24535486e-04   -5.24535486e-04   -2.75137476e-04   -2.75137476e-04
27       2.76486000e-02    5.00909240e-01    5.00909240e-01   -5.00909240e-04   -5.00909240e-04   -2.50910066e-04   -2.50910066e-04
28       2.94918000e-02    4.78347172e-01    4.78347172e-01   -4.78347172e-04   -4.78347172e-04   -2.28816017e-04   -2.28816017e-04
