Index       TIME              V(1)              V(1A)             P(L1)             V(2)              V(2A)             P(L2)             V(3)              V(3A)             P(L3)             V(4)              V(4A)             P(L4)             V(5)              V(5A)             P(L5)             V(6)              V(6A)             P(L6)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-06   -5.00000250e+01   -5.00000000e+01    1.25000000e+00   -5.00000250e+01   -5.00000000e+01    1.25000000e+00   -2.50000250e+01   -2.50000000e+01    6.25000000e-01   -2.50000250e+01   -2.50000000e+01    6.25000000e-01   -2.50000250e+01   -2.50000000e+01    6.25000000e-01   -7.50000250e+01   -7.50000000e+01    1.87500000e+00
2        5.03906250e-06   -5.00000252e+01   -5.00000000e+01    1.25976563e+00   -5.00000252e+01   -5.00000000e+01    1.25976563e+00   -2.50000252e+01   -2.50000000e+01    6.29882813e-01   -2.50000252e+01   -2.50000000e+01    6.29882813e-01   -2.50000252e+01   -2.50000000e+01    6.29882813e-01   -7.50000252e+01   -7.50000000e+01    1.88964844e+00
3        5.05442022e-06   -5.00000253e+01   -5.00000000e+01    1.26360505e+00   -5.00000253e+01   -5.00000000e+01    1.26360505e+00   -2.50000253e+01   -2.50000000e+01    6.31802527e-01   -2.50000253e+01   -2.50000000e+01    6.31802527e-01   -2.50000253e+01   -2.50000000e+01    6.31802527e-01   -7.50000253e+01   -7.50000000e+01    1.89540758e+00
4        5.08513566e-06   -5.00000254e+01   -5.00000000e+01    1.27128391e+00   -5.00000254e+01   -5.00000000e+01    1.27128391e+00   -2.50000254e+01   -2.50000000e+01    6.35641957e-01   -2.50000254e+01   -2.50000000e+01    6.35641957e-01   -2.50000254e+01   -2.50000000e+01    6.35641957e-01   -7.50000254e+01   -7.50000000e+01    1.90692587e+00
5        5.14656653e-06   -5.00000257e+01   -5.00000000e+01    1.28664163e+00   -5.00000257e+01   -5.00000000e+01    1.28664163e+00   -2.50000257e+01   -2.50000000e+01    6.43320816e-01   -2.50000257e+01   -2.50000000e+01    6.43320816e-01   -2.50000257e+01   -2.50000000e+01    6.43320816e-01   -7.50000257e+01   -7.50000000e+01    1.92996245e+00
6        5.26942828e-06   -5.00000263e+01   -5.00000000e+01    1.31735707e+00   -5.00000263e+01   -5.00000000e+01    1.31735707e+00   -2.50000263e+01   -2.50000000e+01    6.58678535e-01   -2.50000263e+01   -2.50000000e+01    6.58678535e-01   -2.50000263e+01   -2.50000000e+01    6.58678535e-01   -7.50000263e+01   -7.50000000e+01    1.97603561e+00
7        5.51515178e-06   -5.00000276e+01   -5.00000000e+01    1.37878795e+00   -5.00000276e+01   -5.00000000e+01    1.37878795e+00   -2.50000276e+01   -2.50000000e+01    6.89393973e-01   -2.50000276e+01   -2.50000000e+01    6.89393973e-01   -2.50000276e+01   -2.50000000e+01    6.89393973e-01   -7.50000276e+01   -7.50000000e+01    2.06818192e+00
8        6.00659878e-06   -5.00000300e+01   -5.00000000e+01    1.50164970e+00   -5.00000300e+01   -5.00000000e+01    1.50164970e+00   -2.50000300e+01   -2.50000000e+01    7.50824848e-01   -2.50000300e+01   -2.50000000e+01    7.50824848e-01   -2.50000300e+01   -2.50000000e+01    7.50824848e-01   -7.50000300e+01   -7.50000000e+01    2.25247454e+00
9        6.98949279e-06   -5.00000349e+01   -5.00000000e+01    1.74737320e+00   -5.00000349e+01   -5.00000000e+01    1.74737320e+00   -2.50000349e+01   -2.50000000e+01    8.73686598e-01   -2.50000349e+01   -2.50000000e+01    8.73686598e-01   -2.50000349e+01   -2.50000000e+01    8.73686598e-01   -7.50000349e+01   -7.50000000e+01    2.62105980e+00
10       8.95528079e-06   -5.00000448e+01   -5.00000000e+01    2.23882020e+00   -5.00000448e+01   -5.00000000e+01    2.23882020e+00   -2.50000448e+01   -2.50000000e+01    1.11941010e+00   -2.50000448e+01   -2.50000000e+01    1.11941010e+00   -2.50000448e+01   -2.50000000e+01    1.11941010e+00   -7.50000448e+01   -7.50000000e+01    3.35823030e+00
