Index       TIME              V(A)        N(YNEURON!NEURON1_V0) N(YNEURON!NEURON1_V36)       V(B)       
0        0.00000000e+00   -6.50000000e-02   -6.50000000e-02   -6.50000000e-02   -6.50000000e-02
1        5.00000000e-05   -5.97614968e-02   -6.14820908e-02   -6.50000000e-02   -6.50000000e-02
2        1.00000000e-04   -5.76931932e-02   -5.94137872e-02   -6.50000000e-02   -6.50000000e-02
3        1.50000000e-04   -5.61338689e-02   -5.78544629e-02   -6.50000000e-02   -6.50000000e-02
4        2.00000000e-04   -5.47748118e-02   -5.64954057e-02   -6.50000000e-02   -6.50000000e-02
5        2.50000000e-04   -5.35823201e-02   -5.53029141e-02   -6.50000000e-02   -6.50000000e-02
6        3.00000000e-04   -5.25081468e-02   -5.42287407e-02   -6.50000000e-02   -6.50000000e-02
7        3.50000000e-04   -5.15635905e-02   -5.32841845e-02   -6.50000000e-02   -6.50000000e-02
8        4.00000000e-04   -5.06190343e-02   -5.23396283e-02   -6.50000000e-02   -6.50000000e-02
9        4.50000000e-04   -4.97671682e-02   -5.14877622e-02   -6.49999998e-02   -6.49999998e-02
10       5.00000000e-04   -4.89543407e-02   -5.06749347e-02   -6.49999996e-02   -6.49999996e-02
11       5.50000000e-04   -4.81708855e-02   -4.98914795e-02   -6.49999991e-02   -6.49999991e-02
12       6.00000000e-04   -4.74461952e-02   -4.91667892e-02   -6.49999979e-02   -6.49999979e-02
13       6.50000000e-04   -4.67215049e-02   -4.84420989e-02   -6.49999966e-02   -6.49999966e-02
14       7.00000000e-04   -4.60593733e-02   -4.77799672e-02   -6.49999910e-02   -6.49999910e-02
15       7.50000000e-04   -4.53996541e-02   -4.71202481e-02   -6.49999853e-02   -6.49999853e-02
16       8.00000000e-04   -4.47810978e-02   -4.65016918e-02   -6.49999518e-02   -6.49999518e-02
17       8.50000000e-04   -4.41908542e-02   -4.59114482e-02   -6.49998992e-02   -6.49998992e-02
18       9.00000000e-04   -4.36006106e-02   -4.53212045e-02   -6.49998466e-02   -6.49998466e-02
19       9.50000000e-04   -4.30103669e-02   -4.47309609e-02   -6.49997940e-02   -6.49997940e-02
20       1.00000000e-03   -4.24201233e-02   -4.41407173e-02   -6.49997415e-02   -6.49997415e-02
21       1.05000000e-03   -4.18895970e-02   -4.36101909e-02   -6.49995172e-02   -6.49995172e-02
22       1.10000000e-03   -4.13694683e-02   -4.30900623e-02   -6.49992631e-02   -6.49992631e-02
23       1.15000000e-03   -4.08493396e-02   -4.25699336e-02   -6.49990090e-02   -6.49990090e-02
24       1.20000000e-03   -4.03292109e-02   -4.20498049e-02   -6.49987549e-02   -6.49987549e-02
25       1.25000000e-03   -3.98146791e-02   -4.15352731e-02   -6.49984408e-02   -6.49984408e-02
26       1.30000000e-03   -3.93450041e-02   -4.10655981e-02   -6.49976457e-02   -6.49976457e-02
27       1.35000000e-03   -3.88753292e-02   -4.05959232e-02   -6.49968505e-02   -6.49968505e-02
28       1.40000000e-03   -3.84056543e-02   -4.01262482e-02   -6.49960554e-02   -6.49960554e-02
29       1.45000000e-03   -3.79359793e-02   -3.96565733e-02   -6.49952603e-02   -6.49952603e-02
30       1.50000000e-03   -3.74806684e-02   -3.92012624e-02   -6.49940613e-02   -6.49940613e-02
31       1.55000000e-03   -3.70497990e-02   -3.87703930e-02   -6.49921750e-02   -6.49921750e-02
32       1.60000000e-03   -3.66189296e-02   -3.83395236e-02   -6.49902887e-02   -6.49902887e-02
33       1.65000000e-03   -3.61880602e-02   -3.79086542e-02   -6.49884024e-02   -6.49884024e-02
34       1.70000000e-03   -3.57571908e-02   -3.74777848e-02   -6.49865161e-02   -6.49865161e-02
35       1.75000000e-03   -3.53459135e-02   -3.70665075e-02   -6.49834998e-02   -6.49834998e-02
36       1.80000000e-03   -3.49461733e-02   -3.66667673e-02   -6.49798181e-02   -6.49798181e-02
37       1.85000000e-03   -3.45464331e-02   -3.62670271e-02   -6.49761364e-02   -6.49761364e-02
38       1.90000000e-03   -3.41466930e-02   -3.58672869e-02   -6.49724547e-02   -6.49724547e-02
39       1.95000000e-03   -3.37469528e-02   -3.54675468e-02   -6.49687730e-02   -6.49687730e-02
40       2.00000000e-03   -3.33700818e-02   -3.50906758e-02   -6.49628261e-02   -6.49628261e-02
41       2.05000000e-03   -3.29960778e-02   -3.47166718e-02   -6.49565951e-02   -6.49565951e-02
42       2.10000000e-03   -3.26220738e-02   -3.43426677e-02   -6.49503641e-02   -6.49503641e-02
43       2.15000000e-03   -3.22480697e-02   -3.39686637e-02   -6.49441331e-02   -6.49441331e-02
44       2.20000000e-03   -3.18785886e-02   -3.35991826e-02   -6.49371223e-02   -6.49371223e-02
45       2.25000000e-03   -3.15351800e-02   -3.32557740e-02   -6.49256157e-02   -6.49256157e-02
46       2.30000000e-03   -3.11917715e-02   -3.29123654e-02   -6.49141092e-02   -6.49141092e-02
47       2.35000000e-03   -3.08483629e-02   -3.25689569e-02   -6.49026027e-02   -6.49026027e-02
48       2.40000000e-03   -3.05049543e-02   -3.22255483e-02   -6.48910962e-02   -6.48910962e-02
49       2.45000000e-03   -3.01615458e-02   -3.18821398e-02   -6.48795896e-02   -6.48795896e-02
50       2.50000000e-03   -2.98181372e-02   -3.15387312e-02   -6.48680831e-02   -6.48680831e-02
51       2.55000000e-03   -2.94747287e-02   -3.11953226e-02   -6.48565766e-02   -6.48565766e-02
52       2.60000000e-03   -2.91313201e-02   -3.08519141e-02   -6.48450700e-02   -6.48450700e-02
53       2.65000000e-03   -2.87879115e-02   -3.05085055e-02   -6.48335635e-02   -6.48335635e-02
54       2.70000000e-03   -2.84667181e-02   -3.01873121e-02   -6.48164517e-02   -6.48164517e-02
55       2.75000000e-03   -2.81566517e-02   -2.98772456e-02   -6.47965323e-02   -6.47965323e-02
56       2.80000000e-03   -2.78465852e-02   -2.95671792e-02   -6.47766129e-02   -6.47766129e-02
57       2.85000000e-03   -2.75365187e-02   -2.92571127e-02   -6.47566935e-02   -6.47566935e-02
58       2.90000000e-03   -2.72264523e-02   -2.89470463e-02   -6.47367741e-02   -6.47367741e-02
59       2.95000000e-03   -2.69163858e-02   -2.86369798e-02   -6.47168547e-02   -6.47168547e-02
60       3.00000000e-03   -2.66063194e-02   -2.83269133e-02   -6.46969353e-02   -6.46969353e-02
61       3.05000000e-03   -2.62962529e-02   -2.80168469e-02   -6.46770159e-02   -6.46770159e-02
62       3.10000000e-03   -2.59861864e-02   -2.77067804e-02   -6.46570965e-02   -6.46570965e-02
63       3.15000000e-03   -2.56809410e-02   -2.74015350e-02   -6.46354232e-02   -6.46354232e-02
64       3.20000000e-03   -2.53969724e-02   -2.71175664e-02   -6.46060094e-02   -6.46060094e-02
65       3.25000000e-03   -2.51130038e-02   -2.68335978e-02   -6.45765957e-02   -6.45765957e-02
66       3.30000000e-03   -2.48290352e-02   -2.65496292e-02   -6.45471819e-02   -6.45471819e-02
67       3.35000000e-03   -2.45450667e-02   -2.62656606e-02   -6.45177681e-02   -6.45177681e-02
68       3.40000000e-03   -2.42610981e-02   -2.59816921e-02   -6.44883544e-02   -6.44883544e-02
69       3.45000000e-03   -2.39771295e-02   -2.56977235e-02   -6.44589406e-02   -6.44589406e-02
70       3.50000000e-03   -2.36931609e-02   -2.54137549e-02   -6.44295269e-02   -6.44295269e-02
71       3.55000000e-03   -2.34091923e-02   -2.51297863e-02   -6.44001131e-02   -6.44001131e-02
72       3.60000000e-03   -2.31252237e-02   -2.48458177e-02   -6.43706993e-02   -6.43706993e-02
73       3.65000000e-03   -2.28561772e-02   -2.45767711e-02   -6.43344477e-02   -6.43344477e-02
74       3.70000000e-03   -2.25934294e-02   -2.43140234e-02   -6.42953098e-02   -6.42953098e-02
75       3.75000000e-03   -2.23306817e-02   -2.40512756e-02   -6.42561718e-02   -6.42561718e-02
76       3.80000000e-03   -2.20679339e-02   -2.37885279e-02   -6.42170339e-02   -6.42170339e-02
77       3.85000000e-03   -2.18051862e-02   -2.35257801e-02   -6.41778959e-02   -6.41778959e-02
78       3.90000000e-03   -2.15424384e-02   -2.32630324e-02   -6.41387580e-02   -6.41387580e-02
79       3.95000000e-03   -2.12796906e-02   -2.30002846e-02   -6.40996200e-02   -6.40996200e-02
80       4.00000000e-03   -2.10169429e-02   -2.27375369e-02   -6.40604821e-02   -6.40604821e-02
81       4.05000000e-03   -2.07541951e-02   -2.24747891e-02   -6.40213441e-02   -6.40213441e-02
82       4.10000000e-03   -2.04953750e-02   -2.22159690e-02   -6.39801285e-02   -6.39801285e-02
83       4.15000000e-03   -2.02503488e-02   -2.19709428e-02   -6.39316159e-02   -6.39316159e-02
84       4.20000000e-03   -2.00053227e-02   -2.17259167e-02   -6.38831033e-02   -6.38831033e-02
85       4.25000000e-03   -1.97602965e-02   -2.14808905e-02   -6.38345907e-02   -6.38345907e-02
86       4.30000000e-03   -1.95152704e-02   -2.12358644e-02   -6.37860780e-02   -6.37860780e-02
87       4.35000000e-03   -1.92702442e-02   -2.09908382e-02   -6.37375654e-02   -6.37375654e-02
88       4.40000000e-03   -1.90252181e-02   -2.07458120e-02   -6.36890528e-02   -6.36890528e-02
89       4.45000000e-03   -1.87801919e-02   -2.05007859e-02   -6.36405402e-02   -6.36405402e-02
90       4.50000000e-03   -1.85351658e-02   -2.02557597e-02   -6.35920276e-02   -6.35920276e-02
91       4.55000000e-03   -1.82901396e-02   -2.00107336e-02   -6.35435150e-02   -6.35435150e-02
92       4.60000000e-03   -1.80562831e-02   -1.97768771e-02   -6.34885683e-02   -6.34885683e-02
93       4.65000000e-03   -1.78263495e-02   -1.95469435e-02   -6.34313620e-02   -6.34313620e-02
94       4.70000000e-03   -1.75964159e-02   -1.93170099e-02   -6.33741556e-02   -6.33741556e-02
95       4.75000000e-03   -1.73664824e-02   -1.90870763e-02   -6.33169492e-02   -6.33169492e-02
96       4.80000000e-03   -1.71365488e-02   -1.88571428e-02   -6.32597429e-02   -6.32597429e-02
97       4.85000000e-03   -1.69066152e-02   -1.86272092e-02   -6.32025365e-02   -6.32025365e-02
98       4.90000000e-03   -1.66766816e-02   -1.83972756e-02   -6.31453302e-02   -6.31453302e-02
99       4.95000000e-03   -1.64467480e-02   -1.81673420e-02   -6.30881238e-02   -6.30881238e-02
100      5.00000000e-03   -1.62168144e-02   -1.79374084e-02   -6.30309174e-02   -6.30309174e-02
101      5.05000000e-03   -1.59902529e-02   -1.77108469e-02   -6.29716802e-02   -6.29716802e-02
102      5.10000000e-03   -1.57733626e-02   -1.74939565e-02   -6.29066183e-02   -6.29066183e-02
103      5.15000000e-03   -1.55564722e-02   -1.72770662e-02   -6.28415564e-02   -6.28415564e-02
104      5.20000000e-03   -1.53395819e-02   -1.70601759e-02   -6.27764945e-02   -6.27764945e-02
105      5.25000000e-03   -1.51226916e-02   -1.68432856e-02   -6.27114326e-02   -6.27114326e-02
106      5.30000000e-03   -1.49058013e-02   -1.66263952e-02   -6.26463707e-02   -6.26463707e-02
107      5.35000000e-03   -1.46889109e-02   -1.64095049e-02   -6.25813088e-02   -6.25813088e-02
108      5.40000000e-03   -1.44720206e-02   -1.61926146e-02   -6.25162469e-02   -6.25162469e-02
109      5.45000000e-03   -1.42551303e-02   -1.59757243e-02   -6.24511850e-02   -6.24511850e-02
110      5.50000000e-03   -1.40382400e-02   -1.57588339e-02   -6.23861231e-02   -6.23861231e-02
111      5.55000000e-03   -1.38302062e-02   -1.55508002e-02   -6.23156465e-02   -6.23156465e-02
112      5.60000000e-03   -1.36247147e-02   -1.53453087e-02   -6.22436155e-02   -6.22436155e-02
113      5.65000000e-03   -1.34192232e-02   -1.51398172e-02   -6.21715846e-02   -6.21715846e-02
114      5.70000000e-03   -1.32137317e-02   -1.49343257e-02   -6.20995537e-02   -6.20995537e-02
115      5.75000000e-03   -1.30082402e-02   -1.47288342e-02   -6.20275228e-02   -6.20275228e-02
116      5.80000000e-03   -1.28027487e-02   -1.45233426e-02   -6.19554919e-02   -6.19554919e-02
117      5.85000000e-03   -1.25972571e-02   -1.43178511e-02   -6.18834610e-02   -6.18834610e-02
