Index              V(1)           V(2)           I(VIDMON)
0       0.00000000e+00   0.00000000e+00   -1.03066391e-20  
1       1.00000000e+00   0.00000000e+00   1.64957103e-04   
2       2.00000000e+00   0.00000000e+00   2.74782368e-04   
3       3.00000000e+00   0.00000000e+00   3.40408410e-04   
4       4.00000000e+00   0.00000000e+00   3.67272488e-04   
5       5.00000000e+00   0.00000000e+00   3.71793295e-04   
6       6.00000000e+00   0.00000000e+00   3.76031574e-04   
7       7.00000000e+00   0.00000000e+00   3.80267556e-04   
8       8.00000000e+00   0.00000000e+00   3.84501246e-04   
9       9.00000000e+00   0.00000000e+00   3.88732645e-04   
10      1.00000000e+01   0.00000000e+00   3.92961756e-04   
11      1.10000000e+01   0.00000000e+00   3.97188582e-04   
12      1.20000000e+01   0.00000000e+00   4.01413125e-04   
13      1.30000000e+01   0.00000000e+00   4.05635387e-04   
14      1.40000000e+01   0.00000000e+00   4.09855372e-04   
15      1.50000000e+01   0.00000000e+00   4.14073081e-04   
16      0.00000000e+00   -6.25000000e-01  1.42104337e-10   
17      1.00000000e+00   -6.25000000e-01  1.22901986e-04   
18      2.00000000e+00   -6.25000000e-01  2.00406724e-04   
19      3.00000000e+00   -6.25000000e-01  2.38840243e-04   
20      4.00000000e+00   -6.25000000e-01  2.46034884e-04   
21      5.00000000e+00   -6.25000000e-01  2.48889373e-04   
22      6.00000000e+00   -6.25000000e-01  2.51742672e-04   
23      7.00000000e+00   -6.25000000e-01  2.54594783e-04   
24      8.00000000e+00   -6.25000000e-01  2.57445706e-04   
25      9.00000000e+00   -6.25000000e-01  2.60295443e-04   
26      1.00000000e+01   -6.25000000e-01  2.63143994e-04   
27      1.10000000e+01   -6.25000000e-01  2.65991361e-04   
28      1.20000000e+01   -6.25000000e-01  2.68837544e-04   
29      1.30000000e+01   -6.25000000e-01  2.71682545e-04   
30      1.40000000e+01   -6.25000000e-01  2.74526364e-04   
31      1.50000000e+01   -6.25000000e-01  2.77369002e-04   
32      0.00000000e+00   -1.25000000e+00  1.42152950e-10   
33      1.00000000e+00   -1.25000000e+00  8.78070264e-05   
34      2.00000000e+00   -1.25000000e+00  1.36870316e-04   
35      3.00000000e+00   -1.25000000e+00  1.51409647e-04   
36      4.00000000e+00   -1.25000000e+00  1.53195491e-04   
37      5.00000000e+00   -1.25000000e+00  1.54980772e-04   
38      6.00000000e+00   -1.25000000e+00  1.56765488e-04   
39      7.00000000e+00   -1.25000000e+00  1.58549642e-04   
40      8.00000000e+00   -1.25000000e+00  1.60333232e-04   
41      9.00000000e+00   -1.25000000e+00  1.62116259e-04   
42      1.00000000e+01   -1.25000000e+00  1.63898725e-04   
43      1.10000000e+01   -1.25000000e+00  1.65680628e-04   
44      1.20000000e+01   -1.25000000e+00  1.67461969e-04   
45      1.30000000e+01   -1.25000000e+00  1.69242749e-04   
46      1.40000000e+01   -1.25000000e+00  1.71022968e-04   
47      1.50000000e+01   -1.25000000e+00  1.72802627e-04   
48      0.00000000e+00   -1.87500000e+00  1.42280026e-10   
49      1.00000000e+00   -1.87500000e+00  5.72285067e-05   
50      2.00000000e+00   -1.87500000e+00  8.14416085e-05   
51      3.00000000e+00   -1.87500000e+00  8.33947388e-05   
52      4.00000000e+00   -1.87500000e+00  8.43821129e-05   
53      5.00000000e+00   -1.87500000e+00  8.53692622e-05   
54      6.00000000e+00   -1.87500000e+00  8.63561869e-05   
55      7.00000000e+00   -1.87500000e+00  8.73428871e-05   
56      8.00000000e+00   -1.87500000e+00  8.83293628e-05   
57      9.00000000e+00   -1.87500000e+00  8.93156142e-05   
58      1.00000000e+01   -1.87500000e+00  9.03016413e-05   
59      1.10000000e+01   -1.87500000e+00  9.12874442e-05   
60      1.20000000e+01   -1.87500000e+00  9.22730231e-05   
61      1.30000000e+01   -1.87500000e+00  9.32583780e-05   
62      1.40000000e+01   -1.87500000e+00  9.42435090e-05   
63      1.50000000e+01   -1.87500000e+00  9.52284162e-05   
End of Xyce(TM) Simulation
