Index        TIME             V(1)             V(2)             V(3)
0       0.00000000e+00   4.00000000e+02   0.00000000e+00   0.00000000e+00   
1       1.00000000e-05   3.99993352e+02   1.10369813e+00   3.99923888e-02   
2       1.08204400e-05   3.99992762e+02   1.19423919e+00   4.32827093e-02   
3       1.12138806e-05   3.99992468e+02   1.23765395e+00   4.48611179e-02   
4       1.16073212e-05   3.99992165e+02   1.28106450e+00   4.64398987e-02   
5       1.20007617e-05   3.99991854e+02   1.32447237e+00   4.80190639e-02   
6       1.23942023e-05   3.99991535e+02   1.36787657e+00   4.95986318e-02   
7       1.27876428e-05   3.99991205e+02   1.41127677e+00   5.11786214e-02   
8       1.35745239e-05   3.99990515e+02   1.49806480e+00   5.43399425e-02   
9       1.51482862e-05   3.99989013e+02   1.67159180e+00   6.06684755e-02   
10      1.67220484e-05   3.99987346e+02   1.84505423e+00   6.70058617e-02   
11      1.82958106e-05   3.99985515e+02   2.01845323e+00   7.33532979e-02   
12      1.98695728e-05   3.99983520e+02   2.19178991e+00   7.97119792e-02   
13      2.14433350e-05   3.99981360e+02   2.36506543e+00   8.60830986e-02   
14      2.30170972e-05   3.99979037e+02   2.53828093e+00   9.24678474e-02   
15      2.45908595e-05   3.99976549e+02   2.71143757e+00   9.88674151e-02   
16      2.61646217e-05   3.99973897e+02   2.88453647e+00   1.05282989e-01   
17      2.77383839e-05   3.99971082e+02   3.05757879e+00   1.11715756e-01   
18      2.93121461e-05   3.99968102e+02   3.23056566e+00   1.18166899e-01   
19      3.08859083e-05   3.99964959e+02   3.40349821e+00   1.24637601e-01   
20      3.24596706e-05   3.99961652e+02   3.57637759e+00   1.31129042e-01   
21      3.40334328e-05   3.99958182e+02   3.74920492e+00   1.37642401e-01   
22      3.56071950e-05   3.99954548e+02   3.92198134e+00   1.44178855e-01   
23      3.71809572e-05   3.99950750e+02   4.09470797e+00   1.50739579e-01   
24      3.87547194e-05   3.99946789e+02   4.26738593e+00   1.57325746e-01   
25      4.03284817e-05   3.99942665e+02   4.44001636e+00   1.63938527e-01   
26      4.19022439e-05   3.99938377e+02   4.61260037e+00   1.70579093e-01   
27      4.34760061e-05   3.99933927e+02   4.78513907e+00   1.77248611e-01   
28      4.50497683e-05   3.99929313e+02   4.95763359e+00   1.83948248e-01   
29      4.66235305e-05   3.99924536e+02   5.13008505e+00   1.90679167e-01   
30      4.81972928e-05   3.99919596e+02   5.30249454e+00   1.97442531e-01   
31      4.97710550e-05   3.99914493e+02   5.47486319e+00   2.04239500e-01   
32      5.13448172e-05   3.99909228e+02   5.64719209e+00   2.11071234e-01   
33      5.29185794e-05   3.99903799e+02   5.81948236e+00   2.17938890e-01   
34      5.44923416e-05   3.99898208e+02   5.99173510e+00   2.24843622e-01   
35      5.60661039e-05   3.99892455e+02   6.16395141e+00   2.31786584e-01   
36      5.76398661e-05   3.99886539e+02   6.33613238e+00   2.38768929e-01   
37      5.92136283e-05   3.99880460e+02   6.50827911e+00   2.45791804e-01   
38      6.07873905e-05   3.99874219e+02   6.68039270e+00   2.52856359e-01   
39      6.23611527e-05   3.99867816e+02   6.85247424e+00   2.59963740e-01   
40      6.39349150e-05   3.99861250e+02   7.02452482e+00   2.67115091e-01   
41      6.55086772e-05   3.99854523e+02   7.19654552e+00   2.74311554e-01   
42      6.70824394e-05   3.99847633e+02   7.36853743e+00   2.81554270e-01   
43      6.86562016e-05   3.99840581e+02   7.54050163e+00   2.88844378e-01   
44      7.02299638e-05   3.99833368e+02   7.71243921e+00   2.96183015e-01   
45      7.18037260e-05   3.99825992e+02   7.88435123e+00   3.03571316e-01   
46      7.33774883e-05   3.99818455e+02   8.05623879e+00   3.11010415e-01   
47      7.49512505e-05   3.99810756e+02   8.22810294e+00   3.18501443e-01   
48      7.65250127e-05   3.99802895e+02   8.39994477e+00   3.26045530e-01   
49      7.80987749e-05   3.99794873e+02   8.57176534e+00   3.33643803e-01   
50      7.96725371e-05   3.99786689e+02   8.74356571e+00   3.41297389e-01   
51      8.12462994e-05   3.99778344e+02   8.91534696e+00   3.49007413e-01   
52      8.28200616e-05   3.99769837e+02   9.08711015e+00   3.56774995e-01   
53      8.43938238e-05   3.99761170e+02   9.25885633e+00   3.64601257e-01   
54      8.59675860e-05   3.99752341e+02   9.43058656e+00   3.72487318e-01   
55      8.75413482e-05   3.99743351e+02   9.60230191e+00   3.80434295e-01   
56      8.91151105e-05   3.99734199e+02   9.77400341e+00   3.88443302e-01   
57      9.06888727e-05   3.99724887e+02   9.94569214e+00   3.96515452e-01   
58      9.22626349e-05   3.99715414e+02   1.01173691e+01   4.04651857e-01   
59      9.38363971e-05   3.99705781e+02   1.02890354e+01   4.12853627e-01   
60      9.54101593e-05   3.99695986e+02   1.04606921e+01   4.21121869e-01   
61      9.69839216e-05   3.99686031e+02   1.06323401e+01   4.29457689e-01   
62      9.85576838e-05   3.99675915e+02   1.08039806e+01   4.37862190e-01   
63      1.00131446e-04   3.99665639e+02   1.09756145e+01   4.46336475e-01   
64      1.01705208e-04   3.99655202e+02   1.11472430e+01   4.54881644e-01   
65      1.03278970e-04   3.99644605e+02   1.13188670e+01   4.63498796e-01   
66      1.04852733e-04   3.99633847e+02   1.14904876e+01   4.72189026e-01   
67      1.06426495e-04   3.99622929e+02   1.16621058e+01   4.80953430e-01   
68      1.08000257e-04   3.99611852e+02   1.18337226e+01   4.89793100e-01   
69      1.09574019e-04   3.99600614e+02   1.20053390e+01   4.98709127e-01   
70      1.11147782e-04   3.99589216e+02   1.21769562e+01   5.07702601e-01   
71      1.12721544e-04   3.99577658e+02   1.23485750e+01   5.16774608e-01   
72      1.14295306e-04   3.99565940e+02   1.25201965e+01   5.25926233e-01   
73      1.15869068e-04   3.99554063e+02   1.26918218e+01   5.35158560e-01   
74      1.17442830e-04   3.99542026e+02   1.28634518e+01   5.44472671e-01   
75      1.19016593e-04   3.99529829e+02   1.30350875e+01   5.53869645e-01   
76      1.20590355e-04   3.99517473e+02   1.32067301e+01   5.63350560e-01   
77      1.22164117e-04   3.99504957e+02   1.33783803e+01   5.72916492e-01   
78      1.23737879e-04   3.99492282e+02   1.35500394e+01   5.82568515e-01   
79      1.25311642e-04   3.99479447e+02   1.37217082e+01   5.92307702e-01   
80      1.26885404e-04   3.99466454e+02   1.38933877e+01   6.02135121e-01   
81      1.28459166e-04   3.99453301e+02   1.40650791e+01   6.12051842e-01   
82      1.30032928e-04   3.99439989e+02   1.42367832e+01   6.22058931e-01   
83      1.31606690e-04   3.99426518e+02   1.44085010e+01   6.32157453e-01   
84      1.33180453e-04   3.99412888e+02   1.45802336e+01   6.42348471e-01   
85      1.34754215e-04   3.99399100e+02   1.47519819e+01   6.52633044e-01   
86      1.36327977e-04   3.99385152e+02   1.49237469e+01   6.63012233e-01   
87      1.37901739e-04   3.99371046e+02   1.50955297e+01   6.73487094e-01   
88      1.39475501e-04   3.99356781e+02   1.52673311e+01   6.84058682e-01   
89      1.41049264e-04   3.99342358e+02   1.54391521e+01   6.94728050e-01   
90      1.42623026e-04   3.99327776e+02   1.56109938e+01   7.05496250e-01   
91      1.44196788e-04   3.99313036e+02   1.57828571e+01   7.16364331e-01   
92      1.45770550e-04   3.99298137e+02   1.59547430e+01   7.27333340e-01   
93      1.47344313e-04   3.99283080e+02   1.61266524e+01   7.38404323e-01   
94      1.48918075e-04   3.99267865e+02   1.62985864e+01   7.49578324e-01   
95      1.50491837e-04   3.99252492e+02   1.64705458e+01   7.60856384e-01   
96      1.52065599e-04   3.99236961e+02   1.66425316e+01   7.72239543e-01   
97      1.53639361e-04   3.99221272e+02   1.68145449e+01   7.83728839e-01   
98      1.55213124e-04   3.99205426e+02   1.69865865e+01   7.95325308e-01   
99      1.56786886e-04   3.99189421e+02   1.71586575e+01   8.07029983e-01   
100     1.58360648e-04   3.99173259e+02   1.73307587e+01   8.18843898e-01   
101     1.59934410e-04   3.99156939e+02   1.75028911e+01   8.30768081e-01   
102     1.61508173e-04   3.99140461e+02   1.76750557e+01   8.42803562e-01   
103     1.63081935e-04   3.99123826e+02   1.78472535e+01   8.54951366e-01   
104     1.64655697e-04   3.99107034e+02   1.80194852e+01   8.67212518e-01   
105     1.66229459e-04   3.99090084e+02   1.81917520e+01   8.79588040e-01   
106     1.67803221e-04   3.99072978e+02   1.83640547e+01   8.92078952e-01   
107     1.69376984e-04   3.99055714e+02   1.85363943e+01   9.04686274e-01   
108     1.70950746e-04   3.99038292e+02   1.87087717e+01   9.17411022e-01   
109     1.72524508e-04   3.99020714e+02   1.88811879e+01   9.30254210e-01   
110     1.74098270e-04   3.99002979e+02   1.90536437e+01   9.43216850e-01   
111     1.75672033e-04   3.98985088e+02   1.92261402e+01   9.56299955e-01   
112     1.77245795e-04   3.98967039e+02   1.93986782e+01   9.69504531e-01   
113     1.78819557e-04   3.98948834e+02   1.95712586e+01   9.82831587e-01   
114     1.80393319e-04   3.98930472e+02   1.97438824e+01   9.96282127e-01   
115     1.81967081e-04   3.98911954e+02   1.99165505e+01   1.00985715e+00   
116     1.83540844e-04   3.98893279e+02   2.00892638e+01   1.02355767e+00   
117     1.85114606e-04   3.98874448e+02   2.02620232e+01   1.03738467e+00   
118     1.86688368e-04   3.98855460e+02   2.04348297e+01   1.05133915e+00   
119     1.88262130e-04   3.98836316e+02   2.06076841e+01   1.06542211e+00   
120     1.89835892e-04   3.98817017e+02   2.07805874e+01   1.07963455e+00   
121     1.91409655e-04   3.98797561e+02   2.09535404e+01   1.09397744e+00   
122     1.92983417e-04   3.98777949e+02   2.11265441e+01   1.10845179e+00   
123     1.94557179e-04   3.98758181e+02   2.12995993e+01   1.12305858e+00   
124     1.96130941e-04   3.98738258e+02   2.14727070e+01   1.13779879e+00   
125     1.97704704e-04   3.98718178e+02   2.16458681e+01   1.15267340e+00   
126     1.99278466e-04   3.98697943e+02   2.18190833e+01   1.16768341e+00   
127     2.00852228e-04   3.98677553e+02   2.19923538e+01   1.18282978e+00   
128     2.02425990e-04   3.98657007e+02   2.21656802e+01   1.19811349e+00   
129     2.03999752e-04   3.98636305e+02   2.23390636e+01   1.21353552e+00   
130     2.05573515e-04   3.98615449e+02   2.25125048e+01   1.22909685e+00   
131     2.07147277e-04   3.98594437e+02   2.26860046e+01   1.24479843e+00   
132     2.10294801e-04   3.98551948e+02   2.30331837e+01   1.27662623e+00   
133     2.13442326e-04   3.98508838e+02   2.33806079e+01   1.30902666e+00   
134     2.16589850e-04   3.98465110e+02   2.37282843e+01   1.34200744e+00   
135     2.19737375e-04   3.98420762e+02   2.40762199e+01   1.37557622e+00   
136     2.22884899e-04   3.98375797e+02   2.44244214e+01   1.40974065e+00   
137     2.26032424e-04   3.98330214e+02   2.47728958e+01   1.44450831e+00   
138     2.29179948e-04   3.98284014e+02   2.51216499e+01   1.47988679e+00   
139     2.32327472e-04   3.98237198e+02   2.54706904e+01   1.51588360e+00   
140     2.35474997e-04   3.98189767e+02   2.58200242e+01   1.55250625e+00   
141     2.38622521e-04   3.98141720e+02   2.61696578e+01   1.58976221e+00   
142     2.41770046e-04   3.98093060e+02   2.65195980e+01   1.62765891e+00   
143     2.44917570e-04   3.98043786e+02   2.68698514e+01   1.66620375e+00   
144     2.48065095e-04   3.97993899e+02   2.72204246e+01   1.70540410e+00   
145     2.51212619e-04   3.97943400e+02   2.75713241e+01   1.74526730e+00   
