Index   V(4)           V(1)           I(VMON)           
0       0.00000000e+00  1.00000000e+00  -1.96078431e-38 
1       1.00000000e-02  1.00000000e+00  1.30719761e-07  
2       2.00000000e-02  1.00000000e+00  2.56692039e-07  
3       3.00000000e-02  1.00000000e+00  3.77933418e-07  
4       4.00000000e-02  1.00000000e+00  4.94460401e-07  
5       5.00000000e-02  1.00000000e+00  6.06289418e-07  
6       6.00000000e-02  1.00000000e+00  7.13436820e-07  
7       7.00000000e-02  1.00000000e+00  8.15918884e-07  
8       8.00000000e-02  1.00000000e+00  9.13751810e-07  
9       9.00000000e-02  1.00000000e+00  1.00695173e-06  
10      1.00000000e-01  1.00000000e+00  1.09553468e-06  
11      1.10000000e-01  1.00000000e+00  1.17951665e-06  
12      1.20000000e-01  1.00000000e+00  1.25891355e-06  
13      1.30000000e-01  1.00000000e+00  1.33374119e-06  
14      1.40000000e-01  1.00000000e+00  1.40401535e-06  
15      1.50000000e-01  1.00000000e+00  1.46975170e-06  
16      1.60000000e-01  1.00000000e+00  1.53096586e-06  
17      1.70000000e-01  1.00000000e+00  1.58767337e-06  
18      1.80000000e-01  1.00000000e+00  1.63988971e-06  
19      1.90000000e-01  1.00000000e+00  1.68763026e-06  
20      2.00000000e-01  1.00000000e+00  1.73091037e-06  
21      2.10000000e-01  1.00000000e+00  1.76974528e-06  
22      2.20000000e-01  1.00000000e+00  1.80415020e-06  
23      2.30000000e-01  1.00000000e+00  1.83414024e-06  
24      2.40000000e-01  1.00000000e+00  1.85973046e-06  
25      2.50000000e-01  1.00000000e+00  1.88093583e-06  
26      2.60000000e-01  1.00000000e+00  1.89777128e-06  
27      2.70000000e-01  1.00000000e+00  1.91025166e-06  
28      2.80000000e-01  1.00000000e+00  1.91839173e-06  
29      2.90000000e-01  1.00000000e+00  1.92230640e-06  
30      3.00000000e-01  1.00000000e+00  1.92489355e-06  
31      3.10000000e-01  1.00000000e+00  1.92748252e-06  
32      3.20000000e-01  1.00000000e+00  1.93007332e-06  
33      3.30000000e-01  1.00000000e+00  1.93266595e-06  
