Index       FREQ          {LOG(INOISE)}     {LOG(ONOISE)}  
0        1.00000000e+03   -1.49952558e+01   -1.18156925e+01
1        1.25892541e+03   -1.52026960e+01   -1.18297323e+01
2        1.58489319e+03   -1.54084906e+01   -1.18458763e+01
3        1.99526231e+03   -1.56128173e+01   -1.18661733e+01
4        2.51188643e+03   -1.58157555e+01   -1.18933125e+01
5        3.16227766e+03   -1.60172612e+01   -1.19306292e+01
6        3.98107171e+03   -1.62171255e+01   -1.19818289e+01
7        5.01187234e+03   -1.64149101e+01   -1.20502826e+01
8        6.30957344e+03   -1.66098523e+01   -1.21379511e+01
9        7.94328235e+03   -1.68007345e+01   -1.22443474e+01
10       1.00000000e+04   -1.69857288e+01   -1.23661096e+01
11       1.25892541e+04   -1.71622558e+01   -1.24974151e+01
12       1.58489319e+04   -1.73269566e+01   -1.26309537e+01
13       1.99526231e+04   -1.74759334e+01   -1.27590534e+01
14       2.51188643e+04   -1.76053990e+01   -1.28748127e+01
15       3.16227766e+04   -1.77126650e+01   -1.29732062e+01
16       3.98107171e+04   -1.77970494e+01   -1.30519032e+01
17       5.01187234e+04   -1.78601373e+01   -1.31113728e+01
18       6.30957344e+04   -1.79052121e+01   -1.31541632e+01
19       7.94328235e+04   -1.79362484e+01   -1.31837744e+01
20       1.00000000e+05   -1.79570288e+01   -1.32036890e+01
21       1.25892541e+05   -1.79706666e+01   -1.32168365e+01
22       1.58489319e+05   -1.79794947e+01   -1.32254451e+01
23       1.99526231e+05   -1.79851573e+01   -1.32311118e+01
24       2.51188643e+05   -1.79887674e+01   -1.32349507e+01
25       3.16227766e+05   -1.79910595e+01   -1.32377453e+01
26       3.98107171e+05   -1.79925104e+01   -1.32400796e+01
27       5.01187234e+05   -1.79934259e+01   -1.32424473e+01
28       6.30957344e+05   -1.79940007e+01   -1.32453490e+01
29       7.94328235e+05   -1.79943578e+01   -1.32493915e+01
30       1.00000000e+06   -1.79945736e+01   -1.32554018e+01
31       1.25892541e+06   -1.79946946e+01   -1.32645671e+01
32       1.58489319e+06   -1.79947468e+01   -1.32786024e+01
33       1.99526231e+06   -1.79947414e+01   -1.32999237e+01
34       2.51188643e+06   -1.79946772e+01   -1.33317578e+01
35       3.16227766e+06   -1.79945404e+01   -1.33780555e+01
36       3.98107171e+06   -1.79943013e+01   -1.34430534e+01
37       5.01187234e+06   -1.79939081e+01   -1.35304492e+01
38       6.30957344e+06   -1.79932756e+01   -1.36424785e+01
39       7.94328235e+06   -1.79922659e+01   -1.37794589e+01
40       1.00000000e+07   -1.79906583e+01   -1.39401892e+01
41       1.25892541e+07   -1.79880985e+01   -1.41229989e+01
42       1.58489319e+07   -1.79840161e+01   -1.43268216e+01
43       1.99526231e+07   -1.79774864e+01   -1.45517356e+01
44       2.51188643e+07   -1.79669945e+01   -1.47987104e+01
45       3.16227766e+07   -1.79500286e+01   -1.50685669e+01
46       3.98107171e+07   -1.79223733e+01   -1.53604092e+01
47       5.01187234e+07   -1.78769231e+01   -1.56699930e+01
48       6.30957344e+07   -1.78019144e+01   -1.59884312e+01
49       7.94328235e+07   -1.76790787e+01   -1.63016760e+01
50       1.00000000e+08   -1.74836717e+01   -1.65922891e+01
End of Xyce(TM) Simulation
