Index       TIME              V(1)       
0        0.00000000e+00    1.00000000e+00
1        1.00000000e-10    9.99999900e-01
2        3.00000000e-10    9.99999700e-01
3        7.00000000e-10    9.99999300e-01
4        1.50000000e-09    9.99998500e-01
5        3.10000000e-09    9.99996900e-01
6        6.30000000e-09    9.99993700e-01
7        1.27000000e-08    9.99987300e-01
8        2.55000000e-08    9.99974500e-01
9        5.11000000e-08    9.99948901e-01
10       1.02300000e-07    9.99897705e-01
11       2.04700000e-07    9.99795321e-01
12       4.09500000e-07    9.99590584e-01
13       8.19100000e-07    9.99181235e-01
14       1.63830000e-06    9.98363041e-01
15       3.27670000e-06    9.96728662e-01
16       6.55350000e-06    9.93467924e-01
17       9.83030000e-06    9.90217853e-01
18       1.31071000e-05    9.86978415e-01
19       1.63839000e-05    9.83749574e-01
20       1.96607000e-05    9.80531296e-01
21       2.29375000e-05    9.77323547e-01
22       2.62143000e-05    9.74126292e-01
23       2.94911000e-05    9.70939496e-01
24       3.27679000e-05    9.67763125e-01
25       3.60447000e-05    9.64597146e-01
26       3.93215000e-05    9.61441525e-01
27       4.25983000e-05    9.58296226e-01
28       4.58751000e-05    9.55161218e-01
29       4.91519000e-05    9.52036465e-01
30       5.24287000e-05    9.48921935e-01
31       5.57055000e-05    9.45817593e-01
32       5.89823000e-05    9.42723408e-01
33       6.22591000e-05    9.39639345e-01
34       6.55359000e-05    9.36565371e-01
35       6.88127000e-05    9.33501453e-01
36       7.20895000e-05    9.30447559e-01
37       7.53663000e-05    9.27403656e-01
38       7.86431000e-05    9.24369710e-01
39       8.19199000e-05    9.21345690e-01
40       8.51967000e-05    9.18331563e-01
41       8.84735000e-05    9.15327296e-01
42       9.17503000e-05    9.12332858e-01
43       9.50271000e-05    9.09348216e-01
44       9.83039000e-05    9.06373338e-01
45       1.01580700e-04    9.03408192e-01
46       1.04857500e-04    9.00452746e-01
47       1.08134300e-04    8.97506969e-01
48       1.11411100e-04    8.94570828e-01
49       1.14687900e-04    8.91644293e-01
50       1.17964700e-04    8.88727333e-01
51       1.21241500e-04    8.85819914e-01
52       1.24518300e-04    8.82922008e-01
53       1.27795100e-04    8.80033581e-01
54       1.31071900e-04    8.77154604e-01
55       1.34348700e-04    8.74285045e-01
56       1.37625500e-04    8.71424874e-01
57       1.40902300e-04    8.68574060e-01
58       1.44179100e-04    8.65732572e-01
59       1.47455900e-04    8.62900380e-01
60       1.50732700e-04    8.60077453e-01
61       1.54009500e-04    8.57263761e-01
62       1.57286300e-04    8.54459274e-01
63       1.60563100e-04    8.51663962e-01
64       1.63839900e-04    8.48877794e-01
65       1.67116700e-04    8.46100741e-01
66       1.70393500e-04    8.43332773e-01
67       1.73670300e-04    8.40573861e-01
68       1.76947100e-04    8.37823974e-01
69       1.80223900e-04    8.35083083e-01
70       1.83500700e-04    8.32351159e-01
71       1.86777500e-04    8.29628172e-01
72       1.90054300e-04    8.26914093e-01
73       1.93331100e-04    8.24208893e-01
74       1.96607900e-04    8.21512543e-01
75       1.99884700e-04    8.18825014e-01
76       2.03161500e-04    8.16146277e-01
77       2.06438300e-04    8.13476303e-01
78       2.09715100e-04    8.10815064e-01
79       2.12991900e-04    8.08162531e-01
80       2.16268700e-04    8.05518676e-01
81       2.19545500e-04    8.02883470e-01
82       2.22822300e-04    8.00256885e-01
83       2.26099100e-04    7.97638892e-01
84       2.29375900e-04    7.95029465e-01
85       2.32652700e-04    7.92428573e-01
86       2.35929500e-04    7.89836191e-01
87       2.39206300e-04    7.87252289e-01
88       2.42483100e-04    7.84676840e-01
89       2.45759900e-04    7.82109817e-01
90       2.49036700e-04    7.79551192e-01
91       2.52313500e-04    7.77000937e-01
92       2.55590300e-04    7.74459025e-01
93       2.58867100e-04    7.71925428e-01
94       2.62143900e-04    7.69400120e-01
95       2.65420700e-04    7.66883074e-01
96       2.68697500e-04    7.64374262e-01
97       2.71974300e-04    7.61873658e-01
98       2.75251100e-04    7.59381233e-01
99       2.78527900e-04    7.56896963e-01
100      2.81804700e-04    7.54420820e-01
101      2.85081500e-04    7.51952778e-01
102      2.88358300e-04    7.49492809e-01
103      2.91635100e-04    7.47040888e-01
104      2.94911900e-04    7.44596989e-01
105      2.98188700e-04    7.42161085e-01
106      3.01465500e-04    7.39733149e-01
107      3.04742300e-04    7.37313156e-01
108      3.08019100e-04    7.34901081e-01
109      3.11295900e-04    7.32496896e-01
110      3.14572700e-04    7.30100576e-01
111      3.17849500e-04    7.27712096e-01
112      3.21126300e-04    7.25331429e-01
113      3.24403100e-04    7.22958551e-01
114      3.27679900e-04    7.20593435e-01
