Index   TIME           V(IN)           V(OUT)           
0       0.00000000e+00   0.00000000e+00   5.29137625e-01   
1       5.00000000e-12   -7.81851284e-25  5.29137625e-01   
2       1.50000000e-11   -4.59920554e-26  5.29137625e-01   
3       3.50000000e-11   -2.42957759e-26  5.29137625e-01   
4       7.50000000e-11   -7.89018215e-28  5.29137624e-01   
5       1.55000000e-10   -4.51014977e-25  5.29137624e-01   
6       2.55000000e-10   3.74320575e-25   5.29137624e-01   
7       3.55000000e-10   -5.16184484e-26  5.29137624e-01   
8       4.55000000e-10   1.62838860e-25   5.29137624e-01   
9       5.55000000e-10   1.96111841e-25   5.29137624e-01   
10      6.55000000e-10   7.27681303e-26   5.29137624e-01   
11      7.55000000e-10   -2.16316197e-27  5.29137624e-01   
12      8.55000000e-10   -5.86595861e-28  5.29137624e-01   
13      9.55000000e-10   -5.73636238e-27  5.29137624e-01   
14      1.00000000e-09   -1.02482233e-26  5.29137624e-01   
15      1.00050000e-09   2.50000000e-02   5.29795088e-01   
16      1.00051898e-09   2.59488634e-02   5.29820060e-01   
17      1.00053795e-09   2.68977267e-02   5.29845033e-01   
18      1.00055693e-09   2.78465901e-02   5.29870006e-01   
19      1.00057591e-09   2.87954535e-02   5.29894979e-01   
20      1.00061386e-09   3.06931802e-02   5.29944927e-01   
21      1.00067814e-09   3.39069409e-02   5.30029514e-01   
22      1.00078057e-09   3.90284619e-02   5.30164315e-01   
23      1.00098543e-09   4.92715040e-02   5.30433904e-01   
24      1.00139515e-09   6.97575882e-02   5.30972880e-01   
25      1.00221460e-09   1.10729757e-01   5.32048969e-01   
26      1.00324258e-09   1.62129184e-01   5.33393108e-01   
27      1.00427057e-09   2.13528611e-01   5.34727907e-01   
28      1.00574974e-09   2.87486823e-01   5.36625359e-01   
29      1.00722890e-09   3.61445036e-01   5.38489561e-01   
30      1.00908267e-09   4.54133493e-01   5.40768526e-01   
31      1.01093644e-09   5.46821951e-01   5.42975133e-01   
32      1.01279021e-09   6.39510408e-01   5.45101239e-01   
33      1.01456268e-09   7.28134023e-01   5.47051959e-01   
34      1.01577491e-09   7.88745454e-01   5.48335567e-01   
35      1.01668408e-09   8.34204027e-01   5.49267462e-01   
36      1.01759325e-09   8.79662599e-01   5.50167892e-01   
37      1.01829044e-09   9.14521940e-01   5.50834568e-01   
38      1.01881333e-09   9.40666445e-01   5.51319957e-01   
39      1.01933622e-09   9.66810951e-01   5.51792342e-01   
40      1.02006939e-09   1.00346941e+00   5.52432941e-01   
41      1.02086224e-09   1.04311193e+00   5.53097996e-01   
42      1.02165509e-09   1.08275445e+00   5.53735619e-01   
43      1.02244794e-09   1.12239697e+00   5.54347365e-01   
44      1.02348351e-09   1.17417565e+00   5.55110331e-01   
45      1.02478342e-09   1.23917122e+00   5.56014852e-01   
46      1.02691429e-09   1.34571453e+00   5.57384783e-01   
47      1.03025987e-09   1.51299344e+00   5.59294494e-01   
48      1.03459789e-09   1.72989447e+00   5.61406465e-01   
49      1.03764634e-09   1.88231688e+00   5.62695120e-01   
50      1.03895944e-09   1.94797210e+00   5.63275597e-01   
51      1.03988820e-09   1.99441010e+00   5.63808746e-01   
52      1.04056626e-09   2.02831284e+00   5.64350714e-01   
53      1.04124431e-09   2.06221557e+00   5.65083598e-01   
54      1.04192237e-09   2.09611831e+00   5.66024183e-01   
55      1.04276008e-09   2.13800385e+00   5.67431499e-01   
56      1.04338836e-09   2.16941801e+00   5.68616671e-01   
57      1.04401138e-09   2.20056908e+00   5.69863824e-01   
58      1.04481942e-09   2.24097089e+00   5.71545911e-01   
59      1.04562745e-09   2.28137270e+00   5.73265353e-01   
60      1.04675851e-09   2.33792553e+00   5.75685961e-01   
61      1.04788957e-09   2.39447836e+00   5.78085823e-01   
62      1.04974785e-09   2.48739255e+00   5.81911292e-01   
63      1.05254559e-09   2.62727944e+00   5.87261748e-01   
64      1.05585067e-09   2.79253359e+00   5.92760559e-01   
65      1.05915575e-09   2.95778774e+00   5.97171636e-01   
66      1.06246084e-09   3.12304190e+00   6.00305284e-01   
67      1.06576592e-09   3.28829605e+00   6.02005532e-01   
68      1.06907100e-09   3.45355020e+00   6.02156542e-01   
69      1.07374990e-09   3.68749489e+00   5.99584482e-01   
70      1.07612121e-09   3.80606035e+00   5.97021466e-01   
71      1.07789969e-09   3.89498445e+00   5.94543552e-01   
72      1.07879326e-09   3.93966307e+00   5.93116975e-01   
73      1.07946344e-09   3.97317204e+00   5.91966280e-01   
74      1.08013362e-09   4.00668101e+00   5.90745266e-01   
75      1.08098283e-09   4.04914172e+00   5.89096111e-01   
76      1.08195817e-09   4.09790826e+00   5.87064352e-01   
77      1.08293350e-09   4.14667481e+00   5.84891913e-01   
78      1.08356724e-09   4.17836185e+00   5.83407378e-01   
79      1.08420098e-09   4.21004890e+00   5.81866917e-01   
80      1.08483472e-09   4.24173594e+00   5.80271592e-01   
81      1.08546846e-09   4.27342299e+00   5.78622360e-01   
82      1.08673594e-09   4.33679708e+00   5.75166364e-01   
83      1.08845828e-09   4.42291418e+00   5.70143321e-01   
84      1.09078912e-09   4.53945589e+00   5.62774384e-01   
85      1.09378702e-09   4.68935083e+00   5.52396717e-01   
86      1.09678492e-09   4.83924577e+00   5.41097972e-01   
87      1.10000000e-09   5.00000000e+00   5.28086903e-01   
88      1.10299790e-09   5.00000000e+00   5.07582759e-01   
89      1.10317267e-09   5.00000000e+00   5.06413433e-01   
90      1.10320823e-09   5.00000000e+00   5.06175946e-01   
