FREQ,VR(B),VI(B),VP(B),VM(B),R1:R,R2:R,C1:C,VR(B),VI(B),VM(B),VP(B),d_VR(B)/d_R1:R_dir,d_VI(B)/d_R1:R_dir,d_VM(B)/d_R1:R_dir,d_VP(B)/d_R1:R_dir,d_VR(B)/d_C1:C_dir,d_VI(B)/d_C1:C_dir,d_VM(B)/d_C1:C_dir,d_VP(B)/d_C1:C_dir,d_VR(B)/d_R1:R_adj,d_VI(B)/d_R1:R_adj,d_VM(B)/d_R1:R_adj,d_VP(B)/d_R1:R_adj,d_VR(B)/d_C1:C_adj,d_VI(B)/d_C1:C_adj,d_VM(B)/d_C1:C_adj,d_VP(B)/d_C1:C_adj
1.00000000e+02,1.57913421e-06,1.25663508e-03,1.56953969e+00,1.25663607e-03,1.00000000e+00,1.00000000e+00,1.00000000e-06,1.57913421e-06,1.25663508e-03,1.25663607e-03,1.56953969e+00,-1.57913172e-06,-6.28315554e-04,-6.28317042e-04,6.28317539e-04,-3.15826343e+00,-1.25663111e+03,-1.25663408e+03,1.25663508e+03,-1.57913172e-06,-6.28315554e-04,-6.28317042e-04,6.28317539e-04,-3.15826343e+00,-1.25663111e+03,-1.25663408e+03,1.25663508e+03
1.58489319e+02,3.96659633e-06,1.99162762e-03,1.56880469e+00,1.99163157e-03,1.00000000e+00,1.00000000e+00,1.00000000e-06,3.96659633e-06,1.99162762e-03,1.99163157e-03,1.56880469e+00,-3.96658059e-06,-9.95805912e-04,-9.95811837e-04,9.95813812e-04,-7.93316119e+00,-1.99161182e+03,-1.99162367e+03,1.99162762e+03,-3.96658059e-06,-9.95805912e-04,-9.95811837e-04,9.95813812e-04,-7.93316119e+00,-1.99161182e+03,-1.99162367e+03,1.99162762e+03
2.51188643e+02,9.96357974e-06,3.15649813e-03,1.56763981e+00,3.15651386e-03,1.00000000e+00,1.00000000e+00,1.00000000e-06,9.96357974e-06,3.15649813e-03,3.15651386e-03,1.56763981e+00,-9.96348047e-06,-1.57821762e-03,-1.57824120e-03,1.57824907e-03,-1.99269609e+01,-3.15643523e+03,-3.15648241e+03,3.15649813e+03,-9.96348047e-06,-1.57821762e-03,-1.57824120e-03,1.57824907e-03,-1.99269609e+01,-3.15643523e+03,-3.15648241e+03,3.15649813e+03
3.98107171e+02,2.50270038e-05,5.00263705e-03,1.56579361e+00,5.00269965e-03,1.00000000e+00,1.00000000e+00,1.00000000e-06,2.50270038e-05,5.00263705e-03,5.00269965e-03,1.56579361e+00,-2.50263774e-05,-2.50119332e-03,-2.50128722e-03,2.50131852e-03,-5.00527548e+01,-5.00238664e+03,-5.00257444e+03,5.00263705e+03,-2.50263774e-05,-2.50119332e-03,-2.50128722e-03,2.50131852e-03,-5.00527548e+01,-5.00238664e+03,-5.00257444e+03,5.00263705e+03
6.30957344e+02,6.28626126e-05,7.92834540e-03,1.56286765e+00,7.92859461e-03,1.00000000e+00,1.00000000e+00,1.00000000e-06,6.28626126e-05,7.92834540e-03,7.92859461e-03,1.56286765e+00,-6.28586609e-05,-3.96367431e-03,-3.96404810e-03,3.96417270e-03,-1.25717322e+02,-7.92734861e+03,-7.92809620e+03,7.92834540e+03,-6.28586609e-05,-3.96367431e-03,-3.96404810e-03,3.96417270e-03,-1.25717322e+02,-7.92734861e+03,-7.92809620e+03,7.92834540e+03
1.00000000e+03,1.57888738e-04,1.25643865e-02,1.55823062e+00,1.25653785e-02,1.00000000e+00,1.00000000e+00,1.00000000e-06,1.57888738e-04,1.25643865e-02,1.25653785e-02,1.55823062e+00,-1.57863809e-04,-6.28020949e-03,-6.28169730e-03,6.28219326e-03,-3.15727618e+02,-1.25604190e+04,-1.25633946e+04,1.25643865e+04,-1.57863809e-04,-6.28020949e-03,-6.28169730e-03,6.28219326e-03,-3.15727618e+02,-1.25604190e+04,-1.25633946e+04,1.25643865e+04
1.58489319e+03,3.96503928e-04,1.99084583e-02,1.55088260e+00,1.99124064e-02,1.00000000e+00,1.00000000e+00,1.00000000e-06,3.96503928e-04,1.99084583e-02,1.99124064e-02,1.55088260e+00,-3.96346713e-04,-9.94633538e-03,-9.95225552e-03,9.95422916e-03,-7.92693426e+02,-1.98926708e+04,-1.99045110e+04,1.99084583e+04,-3.96346713e-04,-9.94633538e-03,-9.95225552e-03,9.95422916e-03,-7.92693426e+02,-1.98926708e+04,-1.99045110e+04,1.99084583e+04
2.51188643e+03,9.95376141e-04,3.15338765e-02,1.53924151e+00,3.15495823e-02,1.00000000e+00,1.00000000e+00,1.00000000e-06,9.95376141e-04,3.15338765e-02,3.15495823e-02,1.53924151e+00,-9.94385367e-04,-1.57355502e-02,-1.57590893e-02,1.57669382e-02,-1.98877073e+03,-3.14711004e+04,-3.15181786e+04,3.15338765e+04,-9.94385367e-04,-1.57355502e-02,-1.57590893e-02,1.57669382e-02,-1.98877073e+03,-3.14711004e+04,-3.15181786e+04,3.15338765e+04
3.98107171e+03,2.49651483e-03,4.99027278e-02,1.52081038e+00,4.99651361e-02,1.00000000e+00,1.00000000e+00,1.00000000e-06,2.49651483e-03,4.99027278e-02,4.99651361e-02,1.52081038e+00,-2.49028224e-03,-2.48267810e-02,-2.49201987e-02,2.49513639e-02,-4.98056448e+03,-4.96535620e+04,-4.98403974e+04,4.99027278e+04,-2.49028224e-03,-2.48267810e-02,-2.49201987e-02,2.49513639e-02,-4.98056448e+03,-4.96535620e+04,-4.98403974e+04,4.99027278e+04
6.30957344e+03,6.24738131e-03,7.87930932e-02,1.49167342e+00,7.90403777e-02,1.00000000e+00,1.00000000e+00,1.00000000e-06,6.24738131e-03,7.87930932e-02,7.90403777e-02,1.49167342e+00,-6.20835154e-03,-3.89042961e-02,-3.92732912e-02,3.93965466e-02,-1.24167031e+04,-7.78085922e+04,-7.85465824e+04,7.87930932e+04,-6.20835154e-03,-3.89042961e-02,-3.92732912e-02,3.93965466e-02,-1.24167031e+04,-7.78085922e+04,-7.85465824e+04,7.87930932e+04
1.00000000e+04,1.55458764e-02,1.23710154e-01,1.44578789e+00,1.24683104e-01,1.00000000e+00,1.00000000e+00,1.00000000e-06,1.55458764e-02,1.23710154e-01,1.24683104e-01,1.44578789e+00,-1.53042021e-02,-5.99318941e-02,-6.13723979e-02,6.18550768e-02,-3.06084043e+04,-1.19863788e+05,-1.22744796e+05,1.23710154e+05,-1.53042021e-02,-5.99318941e-02,-6.13723979e-02,6.18550768e-02,-3.06084043e+04,-1.19863788e+05,-1.22744796e+05,1.23710154e+05
1.58489319e+04,3.81527491e-02,1.91564915e-01,1.37420517e+00,1.95327287e-01,1.00000000e+00,1.00000000e+00,1.00000000e-06,3.81527491e-02,1.91564915e-01,1.95327287e-01,1.37420517e+00,-3.66971168e-02,-8.84737295e-02,-9.39375070e-02,9.57824577e-02,-7.33942336e+04,-1.76947459e+05,-1.87875014e+05,1.91564915e+05,-3.66971168e-02,-8.84737295e-02,-9.39375070e-02,9.57824577e-02,-7.33942336e+04,-1.76947459e+05,-1.87875014e+05,1.91564915e+05
2.51188643e+04,9.06088183e-02,2.87052017e-01,1.26504160e+00,3.01012987e-01,1.00000000e+00,1.00000000e+00,1.00000000e-06,9.06088183e-02,2.87052017e-01,3.01012987e-01,1.26504160e+00,-8.23988604e-02,-1.17516564e-01,-1.36869278e-01,1.43526008e-01,-1.64797721e+05,-2.35033129e+05,-2.73738556e+05,2.87052017e+05,-8.23988604e-02,-1.17516564e-01,-1.36869278e-01,1.43526008e-01,-1.64797721e+05,-2.35033129e+05,-2.73738556e+05,2.87052017e+05
3.98107171e+04,2.00176794e-01,4.00132534e-01,1.10692776e+00,4.47411213e-01,1.00000000e+00,1.00000000e+00,1.00000000e-06,2.00176794e-01,4.00132534e-01,4.47411213e-01,1.10692776e+00,-1.60106045e-01,-1.19969019e-01,-1.78924936e-01,2.00066267e-01,-3.20212090e+05,-2.39938039e+05,-3.57849871e+05,4.00132534e+05,-1.60106045e-01,-1.19969019e-01,-1.78924936e-01,2.00066267e-01,-3.20212090e+05,-2.39938039e+05,-3.57849871e+05,4.00132534e+05
6.30957344e+04,3.86000434e-01,4.86830668e-01,9.00409260e-01,6.21289332e-01,1.00000000e+00,1.00000000e+00,1.00000000e-06,3.86000434e-01,4.86830668e-01,6.21289332e-01,9.00409260e-01,-2.37004099e-01,-5.54984850e-02,-1.90735690e-01,2.43415334e-01,-4.74008198e+05,-1.10996970e+05,-3.81471380e+05,4.86830668e+05,-2.37004099e-01,-5.54984850e-02,-1.90735690e-01,2.43415334e-01,-4.74008198e+05,-1.10996970e+05,-3.81471380e+05,4.86830668e+05
