FREQ,R1:R,VM(B)
1.00000000e+02,2.00000000e+00,1.25663607e-03
1.58489319e+02,2.00000000e+00,1.99163157e-03
2.51188643e+02,2.00000000e+00,3.15651386e-03
3.98107171e+02,2.00000000e+00,5.00269965e-03
6.30957344e+02,2.00000000e+00,7.92859461e-03
1.00000000e+03,2.00000000e+00,1.25653785e-02
1.58489319e+03,2.00000000e+00,1.99124064e-02
2.51188643e+03,2.00000000e+00,3.15495823e-02
3.98107171e+03,2.00000000e+00,4.99651361e-02
6.30957344e+03,2.00000000e+00,7.90403777e-02
1.00000000e+04,2.00000000e+00,1.24683104e-01
1.58489319e+04,2.00000000e+00,1.95327287e-01
2.51188643e+04,2.00000000e+00,3.01012987e-01
3.98107171e+04,2.00000000e+00,4.47411213e-01
6.30957344e+04,2.00000000e+00,6.21289332e-01
1.00000000e+05,2.00000000e+00,7.82478986e-01
1.58489319e+05,2.00000000e+00,8.93675279e-01
2.51188643e+05,2.00000000e+00,9.53304642e-01
3.98107171e+05,2.00000000e+00,9.80601495e-01
6.30957344e+05,2.00000000e+00,9.92140290e-01
1.00000000e+06,2.00000000e+00,9.96848672e-01
