Index       V(2)              V(1)              I(V1)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-01    6.66666667e-02   -3.33333333e-03
2        2.00000000e-01    1.33333333e-01   -6.66666667e-03
3        3.00000000e-01    2.00000000e-01   -1.00000000e-02
4        4.00000000e-01    2.66666667e-01   -1.33333333e-02
5        5.00000000e-01    3.33333333e-01   -1.66666667e-02
6        6.00000000e-01    4.00000000e-01   -2.00000000e-02
7        7.00000000e-01    4.66666667e-01   -2.33333333e-02
8        8.00000000e-01    5.33333333e-01   -2.66666667e-02
9        9.00000000e-01    6.00000000e-01   -3.00000000e-02
10       1.00000000e+00    6.66666667e-01   -3.33333333e-02
11       1.10000000e+00    7.33333333e-01   -3.66666667e-02
12       1.20000000e+00    8.00000000e-01   -4.00000000e-02
13       1.30000000e+00    8.66666667e-01   -4.33333333e-02
14       1.40000000e+00    9.33333333e-01   -4.66666667e-02
15       1.50000000e+00    1.00000000e+00   -5.00000000e-02
16       1.60000000e+00    1.06666667e+00   -5.33333333e-02
17       1.70000000e+00    1.13333333e+00   -5.66666667e-02
18       1.80000000e+00    1.20000000e+00   -6.00000000e-02
19       1.90000000e+00    1.26666667e+00   -6.33333333e-02
20       2.00000000e+00    1.33333333e+00   -6.66666667e-02
21       2.10000000e+00    1.40000000e+00   -7.00000000e-02
22       2.20000000e+00    1.46666667e+00   -7.33333333e-02
23       2.30000000e+00    1.53333333e+00   -7.66666667e-02
24       2.40000000e+00    1.60000000e+00   -8.00000000e-02
25       2.50000000e+00    1.66666667e+00   -8.33333333e-02
26       2.60000000e+00    1.73333333e+00   -8.66666667e-02
27       2.70000000e+00    1.80000000e+00   -9.00000000e-02
28       2.80000000e+00    1.86666667e+00   -9.33333333e-02
29       2.90000000e+00    1.93333333e+00   -9.66666667e-02
30       3.00000000e+00    2.00000000e+00   -1.00000000e-01
31       3.10000000e+00    2.06666667e+00   -1.03333333e-01
32       3.20000000e+00    2.13333333e+00   -1.06666667e-01
33       3.30000000e+00    2.20000000e+00   -1.10000000e-01
34       3.40000000e+00    2.26666667e+00   -1.13333333e-01
35       3.50000000e+00    2.33333333e+00   -1.16666667e-01
36       3.60000000e+00    2.40000000e+00   -1.20000000e-01
37       3.70000000e+00    2.46666667e+00   -1.23333333e-01
38       3.80000000e+00    2.53333333e+00   -1.26666667e-01
39       3.90000000e+00    2.60000000e+00   -1.30000000e-01
40       4.00000000e+00    2.66666667e+00   -1.33333333e-01
41       4.10000000e+00    2.73333333e+00   -1.36666667e-01
42       4.20000000e+00    2.80000000e+00   -1.40000000e-01
43       4.30000000e+00    2.86666667e+00   -1.43333333e-01
44       4.40000000e+00    2.93333333e+00   -1.46666667e-01
45       4.50000000e+00    3.00000000e+00   -1.50000000e-01
46       4.60000000e+00    3.06666667e+00   -1.53333333e-01
47       4.70000000e+00    3.13333333e+00   -1.56666667e-01
48       4.80000000e+00    3.20000000e+00   -1.60000000e-01
49       4.90000000e+00    3.26666667e+00   -1.63333333e-01
50       5.00000000e+00    3.33333333e+00   -1.66666667e-01
51       5.10000000e+00    3.40000000e+00   -1.70000000e-01
52       5.20000000e+00    3.46666667e+00   -1.73333333e-01
53       5.30000000e+00    3.53333333e+00   -1.76666667e-01
54       5.40000000e+00    3.60000000e+00   -1.80000000e-01
55       5.50000000e+00    3.66666667e+00   -1.83333333e-01
56       5.60000000e+00    3.73333333e+00   -1.86666667e-01
57       5.70000000e+00    3.80000000e+00   -1.90000000e-01
58       5.80000000e+00    3.86666667e+00   -1.93333333e-01
59       5.90000000e+00    3.93333333e+00   -1.96666667e-01
60       6.00000000e+00    4.00000000e+00   -2.00000000e-01
61       6.10000000e+00    4.06666667e+00   -2.03333333e-01
62       6.20000000e+00    4.13333333e+00   -2.06666667e-01
63       6.30000000e+00    4.20000000e+00   -2.10000000e-01
64       6.40000000e+00    4.26666667e+00   -2.13333333e-01
65       6.50000000e+00    4.33333333e+00   -2.16666667e-01
66       6.60000000e+00    4.40000000e+00   -2.20000000e-01
67       6.70000000e+00    4.46666667e+00   -2.23333333e-01
68       6.80000000e+00    4.53333333e+00   -2.26666667e-01
69       6.90000000e+00    4.60000000e+00   -2.30000000e-01
70       7.00000000e+00    4.66666667e+00   -2.33333333e-01
71       7.10000000e+00    4.73333333e+00   -2.36666667e-01
72       7.20000000e+00    4.80000000e+00   -2.40000000e-01
73       7.30000000e+00    4.86666667e+00   -2.43333333e-01
74       7.40000000e+00    4.93333333e+00   -2.46666667e-01
75       7.50000000e+00    5.00000000e+00   -2.50000000e-01
76       7.60000000e+00    5.06666667e+00   -2.53333333e-01
77       7.70000000e+00    5.13333333e+00   -2.56666667e-01
78       7.80000000e+00    5.20000000e+00   -2.60000000e-01
79       7.90000000e+00    5.26666667e+00   -2.63333333e-01
80       8.00000000e+00    5.33333333e+00   -2.66666667e-01
81       8.10000000e+00    5.40000000e+00   -2.70000000e-01
82       8.20000000e+00    5.46666667e+00   -2.73333333e-01
83       8.30000000e+00    5.53333333e+00   -2.76666667e-01
84       8.40000000e+00    5.60000000e+00   -2.80000000e-01
85       8.50000000e+00    5.66666667e+00   -2.83333333e-01
86       8.60000000e+00    5.73333333e+00   -2.86666667e-01
87       8.70000000e+00    5.80000000e+00   -2.90000000e-01
88       8.80000000e+00    5.86666667e+00   -2.93333333e-01
89       8.90000000e+00    5.93333333e+00   -2.96666667e-01
90       9.00000000e+00    6.00000000e+00   -3.00000000e-01
91       9.10000000e+00    6.06666667e+00   -3.03333333e-01
92       9.20000000e+00    6.13333333e+00   -3.06666667e-01
93       9.30000000e+00    6.20000000e+00   -3.10000000e-01
94       9.40000000e+00    6.26666667e+00   -3.13333333e-01
95       9.50000000e+00    6.33333333e+00   -3.16666667e-01
96       9.60000000e+00    6.40000000e+00   -3.20000000e-01
97       9.70000000e+00    6.46666667e+00   -3.23333333e-01
98       9.80000000e+00    6.53333333e+00   -3.26666667e-01
99       9.90000000e+00    6.60000000e+00   -3.30000000e-01
100      1.00000000e+01    6.66666667e+00   -3.33333333e-01
End of Xyce(TM) Simulation
