Index       FREQ            Re(V(1))          Im(V(1))          Re(V(2))          Im(V(2))     
0       -1.00000000e+05   -1.33965410e-03   -2.05759818e-03   -1.62784087e-03   -2.22583381e-03
1       -9.00000000e+04   -2.18531416e-03   -3.85972505e-03   -2.34065394e-03   -3.92780908e-03
2       -8.00000000e+04   -4.18243429e-03   -2.97626934e-03   -4.69731592e-03   -3.06756816e-03
3       -7.00000000e+04   -1.42951724e-02   -9.33096041e-03   -1.47392290e-02   -9.81888213e-03
4       -6.00000000e+04   -5.30328396e-03   -8.53011296e-04   -5.85323636e-03   -5.31180585e-04
5       -5.00000000e+04   -3.98926328e-02    5.51282505e-04   -4.15444248e-02    1.39516887e-04
6       -4.00000000e+04   -4.15657260e-03    9.31565635e-04   -4.31066805e-03    1.59656092e-03
7       -3.00000000e+04   -7.10908773e-02    5.18686773e-02   -7.45725496e-02    5.35980143e-02
8       -2.00000000e+04   -2.51356016e-03    1.03238804e-03   -2.09492934e-03    1.58062799e-03
9       -1.00000000e+04   -9.27680217e-02    2.85277615e-01   -9.76522587e-02    2.97775866e-01
10       0.00000000e+00    9.42058623e-01    0.00000000e+00    1.49886621e+00    0.00000000e+00
11       1.00000000e+04   -9.27680217e-02   -2.85277615e-01   -9.76522587e-02   -2.97775866e-01
12       2.00000000e+04   -2.51356016e-03   -1.03238804e-03   -2.09492934e-03   -1.58062799e-03
13       3.00000000e+04   -7.10908773e-02   -5.18686773e-02   -7.45725496e-02   -5.35980143e-02
14       4.00000000e+04   -4.15657260e-03   -9.31565635e-04   -4.31066805e-03   -1.59656092e-03
15       5.00000000e+04   -3.98926328e-02   -5.51282505e-04   -4.15444248e-02   -1.39516887e-04
16       6.00000000e+04   -5.30328396e-03    8.53011296e-04   -5.85323636e-03    5.31180585e-04
17       7.00000000e+04   -1.42951724e-02    9.33096041e-03   -1.47392290e-02    9.81888213e-03
18       8.00000000e+04   -4.18243429e-03    2.97626934e-03   -4.69731592e-03    3.06756816e-03
19       9.00000000e+04   -2.18531416e-03    3.85972505e-03   -2.34065394e-03    3.92780908e-03
20       1.00000000e+05   -1.33965410e-03    2.05759818e-03   -1.62784087e-03    2.22583381e-03
End of Xyce(TM) Simulation
