Index       TIME              V(1)              V(2)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-02    1.11111111e-01    5.55555556e-02
2        1.00000000e-01    2.22222222e-01    1.11111111e-01
3        1.50000000e-01    3.33333333e-01    1.66666667e-01
4        2.00000000e-01    4.44444444e-01    2.22222222e-01
5        2.50000000e-01    5.55555556e-01    2.77777778e-01
6        3.00000000e-01    6.66666667e-01    3.33333333e-01
7        3.50000000e-01    7.77777778e-01    3.88888889e-01
8        4.00000000e-01    8.88888889e-01    4.44444444e-01
9        4.50000000e-01    1.00000000e+00    5.00000000e-01
10       5.00000000e-01    9.09090909e-01    4.54545455e-01
11       5.50000000e-01    8.18181818e-01    4.09090909e-01
12       6.00000000e-01    7.27272727e-01    3.63636364e-01
13       6.50000000e-01    6.36363636e-01    3.18181818e-01
14       7.00000000e-01    5.45454545e-01    2.72727273e-01
15       7.50000000e-01    4.54545455e-01    2.27272727e-01
16       8.00000000e-01    3.63636364e-01    1.81818182e-01
17       8.50000000e-01    2.72727273e-01    1.36363636e-01
18       9.00000000e-01    1.81818182e-01    9.09090909e-02
19       9.50000000e-01    9.09090909e-02    4.54545455e-02
20       1.00000000e+00    0.00000000e+00    0.00000000e+00
End of Xyce(TM) Simulation
