STEPNUM  Index       TIME              V(1)              V(2)       
0        0        0.00000000e+00    0.00000000e+00    0.00000000e+00
0        1        2.00000000e-01    2.00000000e-01    1.00000000e-01
0        2        4.00000000e-01    4.00000000e-01    2.00000000e-01
0        3        6.00000000e-01    6.00000000e-01    3.00000000e-01
0        4        8.00000000e-01    8.00000000e-01    4.00000000e-01
0        5        1.00000000e+00    1.00000000e+00    5.00000000e-01
1        0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1        2.00000000e-01    2.00000000e-01    1.50000000e-01
1        2        4.00000000e-01    4.00000000e-01    3.00000000e-01
1        3        6.00000000e-01    6.00000000e-01    4.50000000e-01
1        4        8.00000000e-01    8.00000000e-01    6.00000000e-01
1        5        1.00000000e+00    1.00000000e+00    7.50000000e-01
End of Xyce(TM) Parameter Sweep
