Index       TIME              V(1)              R1:R              R2:R             {V(2)}       d_{V(2)}/d_R2:R_dir
0        0.00000000e+00    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-02    1.11111111e-01    1.00000000e+00    1.00000000e+00    5.96523234e-02    2.98261617e-02
2        1.00000000e-01    2.22222222e-01    1.00000000e+00    1.00000000e+00    1.19304647e-01    5.96523235e-02
3        1.50000000e-01    3.33333333e-01    1.00000000e+00    1.00000000e+00    2.30415758e-01    1.15207879e-01
4        2.00000000e-01    4.44444444e-01    1.00000000e+00    1.00000000e+00    2.30415758e-01    1.15207879e-01
5        2.50000000e-01    5.55555556e-01    1.00000000e+00    1.00000000e+00    3.41526869e-01    1.70763435e-01
6        3.00000000e-01    6.66666667e-01    1.00000000e+00    1.00000000e+00    3.41526869e-01    1.70763435e-01
7        3.50000000e-01    7.77777778e-01    1.00000000e+00    1.00000000e+00    4.52637980e-01    2.26318990e-01
8        4.00000000e-01    8.88888889e-01    1.00000000e+00    1.00000000e+00    4.52637980e-01    2.26318990e-01
9        4.50000000e-01    1.00000000e+00    1.00000000e+00    1.00000000e+00    5.00000000e-01    2.50000000e-01
10       5.00000000e-01    9.09090909e-01    1.00000000e+00    1.00000000e+00    4.34581888e-01    2.17290944e-01
11       5.50000000e-01    8.18181818e-01    1.00000000e+00    1.00000000e+00    3.69671987e-01    1.84835994e-01
12       6.00000000e-01    7.27272727e-01    1.00000000e+00    1.00000000e+00    2.78762896e-01    1.39381448e-01
13       6.50000000e-01    6.36363636e-01    1.00000000e+00    1.00000000e+00    2.78762896e-01    1.39381448e-01
14       7.00000000e-01    5.45454545e-01    1.00000000e+00    1.00000000e+00    1.87853805e-01    9.39269026e-02
15       7.50000000e-01    4.54545455e-01    1.00000000e+00    1.00000000e+00    1.87853805e-01    9.39269026e-02
16       8.00000000e-01    3.63636364e-01    1.00000000e+00    1.00000000e+00    9.69447143e-02    4.84723572e-02
17       8.50000000e-01    2.72727273e-01    1.00000000e+00    1.00000000e+00    9.69447143e-02    4.84723572e-02
18       9.00000000e-01    1.81818182e-01    1.00000000e+00    1.00000000e+00    6.03562340e-03    3.01781170e-03
19       9.50000000e-01    9.09090909e-02    1.00000000e+00    1.00000000e+00    6.03562340e-03    3.01781170e-03
20       1.00000000e+00    0.00000000e+00    1.00000000e+00    1.00000000e+00    0.00000000e+00   -1.08853898e-16
End of Xyce(TM) Sensitivity Simulation
