FREQ,Re(V(1)),Im(V(1)),Re(I(V1)),Im(I(V1))
-5.00000000e+05,-7.11116631e-05,-1.02416073e-04,7.14334127e-08,1.02192669e-07
-4.90000000e+05,-9.06982043e-05,-1.33635240e-04,9.11096352e-08,1.33356002e-07
-4.80000000e+05,-2.67670163e-04,-1.71964350e-04,2.68188795e-07,1.71157075e-07
-4.70000000e+05,-3.58345304e-04,-2.08835243e-04,3.58962014e-07,2.07777014e-07
-4.60000000e+05,-3.80674631e-04,-8.48927964e-06,3.80699167e-07,7.38902899e-09
-4.50000000e+05,-5.43341443e-04,2.31747972e-05,5.43275918e-07,-2.47110589e-08
-4.40000000e+05,-2.63933088e-04,1.51364462e-04,2.63514625e-07,-1.52094132e-07
-4.30000000e+05,-3.84125333e-04,2.74632056e-04,3.83383341e-07,-2.75669874e-07
-4.20000000e+05,-8.12114930e-05,1.06962193e-04,8.09292265e-08,-1.07176505e-07
-4.10000000e+05,-8.67658009e-05,1.73152399e-04,8.63197420e-08,-1.73375917e-07
-4.00000000e+05,-5.89852691e-05,-5.88852839e-05,5.91332640e-08,5.87370377e-08
-3.90000000e+05,-1.11407450e-04,-1.99645480e-04,1.11896670e-07,1.99372483e-07
-3.80000000e+05,-1.93878777e-04,-1.21105514e-04,1.94167929e-07,1.20642607e-07
-3.70000000e+05,-5.37298140e-04,-3.35554284e-04,5.38078230e-07,3.34305185e-07
-3.60000000e+05,-2.86249611e-04,-1.28748354e-05,2.86278733e-07,1.22273541e-08
-3.50000000e+05,-8.61036895e-04,2.94589755e-05,8.60972111e-07,-3.13524945e-08
-3.40000000e+05,-2.14705876e-04,1.10487226e-04,2.14469844e-07,-1.10945899e-07
-3.30000000e+05,-6.23985697e-04,4.58916764e-04,6.23034156e-07,-4.60210568e-07
-3.20000000e+05,-7.81668069e-05,9.28699781e-05,7.79800808e-08,-9.30271417e-08
-3.10000000e+05,-1.23474349e-04,3.06166275e-04,1.22878002e-07,-3.06406777e-07
-3.00000000e+05,-4.60762141e-05,-2.79613796e-05,4.61289201e-08,2.78745280e-08
-2.90000000e+05,-1.60976715e-04,-3.51550531e-04,1.61617283e-07,3.51257211e-07
-2.80000000e+05,-1.39779894e-04,-8.99619085e-05,1.39938163e-07,8.97159948e-08
-2.70000000e+05,-9.54928250e-04,-6.26907240e-04,9.55991773e-07,6.25287242e-07
-2.60000000e+05,-2.23166178e-04,-2.08022933e-05,2.23200161e-07,2.04377227e-08
