Index    TIME    V(1)    I(V1)    
0    0.00000000e+00    4.65601775e-01    -4.65649056e-04    
1    9.90099010e-07    5.61470724e-01    -5.61586867e-04    
2    1.98019802e-06    6.54522786e-01    -6.54603043e-04    
3    2.97029703e-06    7.48229002e-01    -7.48334686e-04    
4    3.96039604e-06    8.42175377e-01    -8.42261082e-04    
5    4.95049505e-06    9.36843603e-01    -9.36948419e-04    
6    5.94059406e-06    1.03176725e+00    -1.03185416e-03    
7    6.93069307e-06    1.12721016e+00    -1.12731687e-03    
8    7.92079208e-06    1.22279892e+00    -1.22288299e-03    
9    8.91089109e-06    1.31882228e+00    -1.31893841e-03    
10    9.90099010e-06    1.41481512e+00    -1.41486671e-03    
11    1.08910891e-05    1.42305002e+00    -1.42303932e-03    
12    1.18811881e-05    1.42264147e+00    -1.42264724e-03    
13    1.28712871e-05    1.42248200e+00    -1.42247806e-03    
14    1.38613861e-05    1.42246592e+00    -1.42246859e-03    
15    1.48514851e-05    1.42244159e+00    -1.42243965e-03    
16    1.58415842e-05    1.42244898e+00    -1.42245042e-03    
17    1.68316832e-05    1.42244048e+00    -1.42243938e-03    
18    1.78217822e-05    1.42244610e+00    -1.42244694e-03    
19    1.88118812e-05    1.42244153e+00    -1.42244088e-03    
20    1.98019802e-05    1.42244499e+00    -1.42244549e-03    
21    2.07920792e-05    1.42244231e+00    -1.42244193e-03    
22    2.17821782e-05    1.42244434e+00    -1.42244463e-03    
23    2.27722772e-05    1.42244283e+00    -1.42244262e-03    
24    2.37623762e-05    1.42244391e+00    -1.42244405e-03    
25    2.47524752e-05    1.42244319e+00    -1.42244310e-03    
26    2.57425743e-05    1.42244360e+00    -1.42244364e-03    
27    2.67326733e-05    1.42244346e+00    -1.42244346e-03    
28    2.77227723e-05    1.42244337e+00    -1.42244333e-03    
29    2.87128713e-05    1.42244366e+00    -1.42244374e-03    
30    2.97029703e-05    1.42244318e+00    -1.42244308e-03    
31    3.06930693e-05    1.42244384e+00    -1.42244397e-03    
32    3.16831683e-05    1.42244302e+00    -1.42244286e-03    
33    3.26732673e-05    1.42244399e+00    -1.42244417e-03    
34    3.36633663e-05    1.42244288e+00    -1.42244267e-03    
35    3.46534653e-05    1.42244413e+00    -1.42244436e-03    
36    3.56435644e-05    1.42244273e+00    -1.42244247e-03    
37    3.66336634e-05    1.42244427e+00    -1.42244456e-03    
38    3.76237624e-05    1.42244258e+00    -1.42244227e-03    
39    3.86138614e-05    1.42244444e+00    -1.42244479e-03    
40    3.96039604e-05    1.42244240e+00    -1.42244202e-03    
41    4.05940594e-05    1.42244465e+00    -1.42244507e-03    
42    4.15841584e-05    1.42244215e+00    -1.42244167e-03    
43    4.25742574e-05    1.42244496e+00    -1.42244550e-03    
44    4.35643564e-05    1.42244174e+00    -1.42244111e-03    
45    4.45544554e-05    1.42244553e+00    -1.42244628e-03    
46    4.55445545e-05    1.42244089e+00    -1.42243993e-03    
47    4.65346535e-05    1.42244695e+00    -1.42244828e-03    
48    4.75247525e-05    1.42243816e+00    -1.42243603e-03    
49    4.85148515e-05    1.42245347e+00    -1.42245788e-03    
50    4.95049505e-05    1.42241476e+00    -1.42239898e-03    
51    5.04950495e-05    1.37339338e+00    -1.37331034e-03    
52    5.14851485e-05    1.27616007e+00    -1.27605792e-03    
53    5.24752475e-05    1.17976749e+00    -1.17967262e-03    
54    5.34653465e-05    1.08372440e+00    -1.08362603e-03    
55    5.44554455e-05    9.88010387e-01    -9.87915078e-04    
56    5.54455446e-05    8.92592086e-01    -8.92494848e-04    
57    5.64356436e-05    7.97556090e-01    -7.97461196e-04    
58    5.74257426e-05    7.02942313e-01    -7.02846437e-04    
59    5.84158416e-05    6.08884533e-01    -6.08789269e-04    
60    5.94059406e-05    5.15545906e-01    -5.15460113e-04    
61    6.03960396e-05    4.61737675e-01    -4.61720227e-04    
62    6.13861386e-05    4.64443246e-01    -4.64451174e-04    
63    6.23762376e-05    4.65033902e-01    -4.65030901e-04    
64    6.33663366e-05    4.65269060e-01    -4.65271194e-04    
65    6.43564356e-05    4.65286510e-01    -4.65285139e-04    
66    6.53465347e-05    4.65321848e-01    -4.65322868e-04    
67    6.63366337e-05    4.65309097e-01    -4.65308334e-04    
68    6.73267327e-05    4.65322361e-01    -4.65322950e-04    
69    6.83168317e-05    4.65313096e-01    -4.65312639e-04    
70    6.93069307e-05    4.65320546e-01    -4.65320901e-04    
71    7.02970297e-05    4.65314868e-01    -4.65314598e-04    
72    7.12871287e-05    4.65319178e-01    -4.65319378e-04    
73    7.22772277e-05    4.65316060e-01    -4.65315922e-04    
74    7.32673267e-05    4.65318137e-01    -4.65318219e-04    
