Index       FREQ           Re(I(VPR2))       Im(I(VPR2))      Re(V(NODE3))      Im(V(NODE3))       Re(V(PR1))        Im(V(PR1))    
0       -1.70000000e+07    2.55213345e-07   -5.67069710e-06   -5.10426690e-05    1.13413942e-03   -5.10426690e-05    1.13413942e-03
1       -1.60000000e+07    5.89347293e-07   -6.07943611e-06   -1.17869459e-04    1.21588722e-03   -1.17869459e-04    1.21588722e-03
2       -1.50000000e+07   -2.01204592e-09   -2.35964683e-05    4.02409184e-07    4.71929365e-03    4.02409184e-07    4.71929365e-03
3       -1.40000000e+07    9.95604833e-07   -1.31398603e-05   -1.99120967e-04    2.62797206e-03   -1.99120967e-04    2.62797206e-03
4       -1.30000000e+07   -1.84681341e-07   -4.98525904e-05    3.69362682e-05    9.97051809e-03    3.69362682e-05    9.97051809e-03
5       -1.20000000e+07    1.46164426e-06   -1.66104401e-05   -2.92328852e-04    3.32208802e-03   -2.92328852e-04    3.32208802e-03
6       -1.10000000e+07   -3.01173103e-07   -8.78780415e-05    6.02346206e-05    1.75756083e-02    6.02346206e-05    1.75756083e-02
7       -1.00000000e+07    1.96795588e-06   -1.73448163e-05   -3.93591175e-04    3.46896325e-03   -3.93591175e-04    3.46896325e-03
8       -9.00000000e+06   -3.64244239e-07   -1.43871400e-04    7.28488477e-05    2.87742800e-02    7.28488477e-05    2.87742800e-02
9       -8.00000000e+06    2.48916230e-06   -1.60250250e-05   -4.97832461e-04    3.20500500e-03   -4.97832461e-04    3.20500500e-03
10      -7.00000000e+06   -3.89038280e-07   -2.30863338e-04    7.78076559e-05    4.61726675e-02    7.78076559e-05    4.61726675e-02
11      -6.00000000e+06    2.99645152e-06   -1.32058020e-05   -5.99290304e-04    2.64116040e-03   -5.99290304e-04    2.64116040e-03
12      -5.00000000e+06   -3.90965350e-07   -3.82732624e-04    7.81930700e-05    7.65465249e-02    7.81930700e-05    7.65465249e-02
13      -4.00000000e+06    3.46211605e-06   -9.34528214e-06   -6.92423210e-04    1.86905643e-03   -6.92423210e-04    1.86905643e-03
14      -3.00000000e+06   -3.83674429e-07   -7.25256008e-04    7.67348859e-05    1.45051202e-01    7.67348859e-05    1.45051202e-01
15      -2.00000000e+06    3.87245617e-06   -4.83027921e-06   -7.74491235e-04    9.66055842e-04   -7.74491235e-04    9.66055842e-04
16      -1.00000000e+06   -3.77323960e-07    7.56781885e-03    7.54647919e-05    4.86436230e-01    7.54647919e-05    4.86436230e-01
17       0.00000000e+00   -3.13936778e-05    0.00000000e+00    6.27873556e-03    0.00000000e+00    6.27873556e-03    0.00000000e+00
18       1.00000000e+06   -3.77323960e-07   -7.56781885e-03    7.54647919e-05   -4.86436230e-01    7.54647919e-05   -4.86436230e-01
19       2.00000000e+06    3.87245617e-06    4.83027921e-06   -7.74491235e-04   -9.66055842e-04   -7.74491235e-04   -9.66055842e-04
20       3.00000000e+06   -3.83674429e-07    7.25256008e-04    7.67348859e-05   -1.45051202e-01    7.67348859e-05   -1.45051202e-01
21       4.00000000e+06    3.46211605e-06    9.34528214e-06   -6.92423210e-04   -1.86905643e-03   -6.92423210e-04   -1.86905643e-03
22       5.00000000e+06   -3.90965350e-07    3.82732624e-04    7.81930700e-05   -7.65465249e-02    7.81930700e-05   -7.65465249e-02
23       6.00000000e+06    2.99645152e-06    1.32058020e-05   -5.99290304e-04   -2.64116040e-03   -5.99290304e-04   -2.64116040e-03
24       7.00000000e+06   -3.89038280e-07    2.30863338e-04    7.78076559e-05   -4.61726675e-02    7.78076559e-05   -4.61726675e-02
25       8.00000000e+06    2.48916230e-06    1.60250250e-05   -4.97832461e-04   -3.20500500e-03   -4.97832461e-04   -3.20500500e-03
26       9.00000000e+06   -3.64244239e-07    1.43871400e-04    7.28488477e-05   -2.87742800e-02    7.28488477e-05   -2.87742800e-02
27       1.00000000e+07    1.96795588e-06    1.73448163e-05   -3.93591175e-04   -3.46896325e-03   -3.93591175e-04   -3.46896325e-03
28       1.10000000e+07   -3.01173103e-07    8.78780415e-05    6.02346206e-05   -1.75756083e-02    6.02346206e-05   -1.75756083e-02
29       1.20000000e+07    1.46164426e-06    1.66104401e-05   -2.92328852e-04   -3.32208802e-03   -2.92328852e-04   -3.32208802e-03
30       1.30000000e+07   -1.84681341e-07    4.98525904e-05    3.69362682e-05   -9.97051809e-03    3.69362682e-05   -9.97051809e-03
31       1.40000000e+07    9.95604833e-07    1.31398603e-05   -1.99120967e-04   -2.62797206e-03   -1.99120967e-04   -2.62797206e-03
32       1.50000000e+07   -2.01204592e-09    2.35964683e-05    4.02409184e-07   -4.71929365e-03    4.02409184e-07   -4.71929365e-03
33       1.60000000e+07    5.89347293e-07    6.07943611e-06   -1.17869459e-04   -1.21588722e-03   -1.17869459e-04   -1.21588722e-03
34       1.70000000e+07    2.55213345e-07    5.67069710e-06   -5.10426690e-05   -1.13413942e-03   -5.10426690e-05   -1.13413942e-03
End of Xyce(TM) Simulation
