TIME,I(VPR2),V(NODE3)
0.00000000e+00,5.42101086e-20,0.00000000e+00
2.85714286e-08,2.04688876e-04,6.73289804e-01
5.71428571e-08,3.30162710e-03,7.45173876e-01
8.57142857e-08,6.44564508e-03,7.62468093e-01
1.14285714e-07,9.29906050e-03,7.71942804e-01
1.42857143e-07,1.17467136e-02,7.77983213e-01
1.71428571e-07,1.37020923e-02,7.81963662e-01
2.00000000e-07,1.50987658e-02,7.84472900e-01
2.28571429e-07,1.58900285e-02,7.85793351e-01
2.57142857e-07,1.60496030e-02,7.86051666e-01
2.85714286e-07,1.55722030e-02,7.85271044e-01
3.14285714e-07,1.44736563e-02,7.83379836e-01
3.42857143e-07,1.27905451e-02,7.80184001e-01
3.71428571e-07,1.05795085e-02,7.75277761e-01
4.00000000e-07,7.91679190e-03,7.67782630e-01
4.28571429e-07,4.90075260e-03,7.55384436e-01
4.57142857e-07,1.68203910e-03,7.27739563e-01
4.85714286e-07,1.05636042e-09,3.58557024e-01
5.14285714e-07,-5.02767212e-11,-3.58557226e-01
5.42857143e-07,-1.31899295e-03,-8.00348793e-01
5.71428571e-07,-4.51682399e-03,-8.32170159e-01
6.00000000e-07,-7.52881354e-03,-8.45378301e-01
6.28571429e-07,-1.01898853e-02,-8.53202395e-01
6.57142857e-07,-1.24000791e-02,-8.58277186e-01
6.85714286e-07,-1.40827222e-02,-8.61566650e-01
7.14285714e-07,-1.51810182e-02,-8.63508007e-01
7.42857143e-07,-1.56583200e-02,-8.64308273e-01
7.71428571e-07,-1.54987776e-02,-8.64043524e-01
8.00000000e-07,-1.47076846e-02,-8.62689150e-01
8.28571429e-07,-1.33113585e-02,-8.60110424e-01
8.57142857e-07,-1.13566058e-02,-8.56004775e-01
8.85714286e-07,-8.91010990e-03,-8.49732923e-01
9.14285714e-07,-6.05916407e-03,-8.39764296e-01
9.42857143e-07,-2.92290218e-03,-8.20918861e-01
9.71428571e-07,-3.57522061e-05,-7.07077138e-01
