Index       FREQ           Re(I(VPR2))       Im(I(VPR2))      Re(V(NODE3))      Im(V(NODE3))       Re(V(PR1))        Im(V(PR1))    
0       -1.70000000e+07    8.97172570e-07    4.45037579e-07   -1.79434514e-04   -8.90075157e-05   -1.79434514e-04   -8.90075157e-05
1       -1.60000000e+07   -9.70451875e-07   -1.09406976e-05    1.94090375e-04    2.18813951e-03    1.94090375e-04    2.18813951e-03
2       -1.50000000e+07    2.05436083e-06   -1.67882205e-05   -4.10872166e-04    3.35764410e-03   -4.10872166e-04    3.35764410e-03
3       -1.40000000e+07   -3.52489138e-06   -1.65098416e-05    7.04978275e-04    3.30196831e-03    7.04978275e-04    3.30196831e-03
4       -1.30000000e+07    2.55099027e-06   -4.32870330e-05   -5.10198053e-04    8.65740659e-03   -5.10198053e-04    8.65740659e-03
5       -1.20000000e+07   -6.66543546e-06   -1.85224964e-05    1.33308709e-03    3.70449928e-03    1.33308709e-03    3.70449928e-03
6       -1.10000000e+07    2.49919852e-06   -8.29233405e-05   -4.99839704e-04    1.65846681e-02   -4.99839704e-04    1.65846681e-02
7       -1.00000000e+07   -1.02192401e-05   -1.80361037e-05    2.04384803e-03    3.60722073e-03    2.04384803e-03    3.60722073e-03
8       -9.00000000e+06    2.05602070e-06   -1.42453339e-04   -4.11204140e-04    2.84906677e-02   -4.11204140e-04    2.84906677e-02
9       -8.00000000e+06   -1.39552091e-05   -1.58610130e-05    2.79104181e-03    3.17220259e-03    2.79104181e-03    3.17220259e-03
10      -7.00000000e+06    1.40195024e-06   -2.35815850e-04   -2.80390048e-04    4.71631699e-02   -2.80390048e-04    4.71631699e-02
11      -6.00000000e+06   -1.76073712e-05   -1.26013164e-05    3.52147425e-03    2.52026328e-03    3.52147425e-03    2.52026328e-03
12      -5.00000000e+06    7.17809791e-07   -3.98977289e-04   -1.43561958e-04    7.97954579e-02   -1.43561958e-04    7.97954579e-02
13      -4.00000000e+06   -2.09120438e-05   -8.68923608e-06    4.18240876e-03    1.73784722e-03    4.18240876e-03    1.73784722e-03
14      -3.00000000e+06    1.62426448e-07   -7.65196321e-04   -3.24852895e-05    1.53039264e-01   -3.24852895e-05    1.53039264e-01
15      -2.00000000e+06   -2.36917886e-05   -4.42140390e-06    4.73835772e-03    8.84280780e-04    4.73835772e-03    8.84280780e-04
16      -1.00000000e+06   -1.46527508e-07    7.42407653e-03    2.93055016e-05    5.15184694e-01    2.93055016e-05    5.15184694e-01
17       0.00000000e+00    1.70706059e-04    0.00000000e+00   -3.41412119e-02    0.00000000e+00   -3.41412119e-02    0.00000000e+00
18       1.00000000e+06   -1.46527508e-07   -7.42407653e-03    2.93055016e-05   -5.15184694e-01    2.93055016e-05   -5.15184694e-01
19       2.00000000e+06   -2.36917886e-05    4.42140390e-06    4.73835772e-03   -8.84280780e-04    4.73835772e-03   -8.84280780e-04
20       3.00000000e+06    1.62426448e-07    7.65196321e-04   -3.24852895e-05   -1.53039264e-01   -3.24852895e-05   -1.53039264e-01
21       4.00000000e+06   -2.09120438e-05    8.68923608e-06    4.18240876e-03   -1.73784722e-03    4.18240876e-03   -1.73784722e-03
22       5.00000000e+06    7.17809791e-07    3.98977289e-04   -1.43561958e-04   -7.97954579e-02   -1.43561958e-04   -7.97954579e-02
23       6.00000000e+06   -1.76073712e-05    1.26013164e-05    3.52147425e-03   -2.52026328e-03    3.52147425e-03   -2.52026328e-03
24       7.00000000e+06    1.40195024e-06    2.35815850e-04   -2.80390048e-04   -4.71631699e-02   -2.80390048e-04   -4.71631699e-02
25       8.00000000e+06   -1.39552091e-05    1.58610130e-05    2.79104181e-03   -3.17220259e-03    2.79104181e-03   -3.17220259e-03
26       9.00000000e+06    2.05602070e-06    1.42453339e-04   -4.11204140e-04   -2.84906677e-02   -4.11204140e-04   -2.84906677e-02
27       1.00000000e+07   -1.02192401e-05    1.80361037e-05    2.04384803e-03   -3.60722073e-03    2.04384803e-03   -3.60722073e-03
28       1.10000000e+07    2.49919852e-06    8.29233405e-05   -4.99839704e-04   -1.65846681e-02   -4.99839704e-04   -1.65846681e-02
29       1.20000000e+07   -6.66543546e-06    1.85224964e-05    1.33308709e-03   -3.70449928e-03    1.33308709e-03   -3.70449928e-03
30       1.30000000e+07    2.55099027e-06    4.32870330e-05   -5.10198053e-04   -8.65740659e-03   -5.10198053e-04   -8.65740659e-03
31       1.40000000e+07   -3.52489138e-06    1.65098416e-05    7.04978275e-04   -3.30196831e-03    7.04978275e-04   -3.30196831e-03
32       1.50000000e+07    2.05436083e-06    1.67882205e-05   -4.10872166e-04   -3.35764410e-03   -4.10872166e-04   -3.35764410e-03
33       1.60000000e+07   -9.70451875e-07    1.09406976e-05    1.94090375e-04   -2.18813951e-03    1.94090375e-04   -2.18813951e-03
34       1.70000000e+07    8.97172570e-07   -4.45037579e-07   -1.79434514e-04    8.90075157e-05   -1.79434514e-04    8.90075157e-05
End of Xyce(TM) Simulation
