Index       TIME             I(VPR2)          V(NODE3)           V(PR1)      
0        2.00000000e-06    7.94634322e-13   -1.58928667e-10   -1.58928667e-10
1        2.00010000e-06    2.61049947e-15    2.51327396e-03    2.51327396e-03
2        2.00030000e-06    7.87846773e-15    7.53981790e-03    7.53981790e-03
3        2.00070000e-06    1.85678095e-14    1.75928621e-02    1.75928621e-02
4        2.00150000e-06    4.09971428e-14    3.76985537e-02    3.76985537e-02
5        2.00310000e-06    9.72680921e-14    7.79065714e-02    7.79065714e-02
6        2.00630000e-06    6.13661095e-13    1.58294923e-01    1.58294923e-01
7        2.00950000e-06    1.04409226e-11    2.38619283e-01    2.38619283e-01
8        2.01270000e-06    2.27590049e-10    3.18847141e-01    3.18847141e-01
9        2.01590000e-06    5.03737869e-09    3.98945188e-01    3.98945188e-01
10       2.01910000e-06    1.10852281e-07    4.78861762e-01    4.78861762e-01
11       2.02230000e-06    2.38125678e-06    5.58151831e-01    5.58151831e-01
12       2.02349961e-06    7.27181159e-06    5.87011589e-01    5.87011589e-01
13       2.02469922e-06    2.07518641e-05    6.14120016e-01    6.14120016e-01
14       2.02562818e-06    4.27161677e-05    6.32783124e-01    6.32783124e-01
15       2.02631315e-06    6.78463054e-05    6.44743656e-01    6.44743656e-01
16       2.02690650e-06    9.62151045e-05    6.53774568e-01    6.53774568e-01
17       2.02744052e-06    1.26734763e-04    6.60896848e-01    6.60896848e-01
18       2.02797454e-06    1.61496856e-04    6.67162915e-01    6.67162915e-01
19       2.02850856e-06    1.99945831e-04    6.72683731e-01    6.72683731e-01
20       2.02904258e-06    2.41534008e-04    6.77568683e-01    6.77568683e-01
21       2.02957660e-06    2.85768725e-04    6.81916155e-01    6.81916155e-01
22       2.03011062e-06    3.32228147e-04    6.85810365e-01    6.85810365e-01
23       2.03064464e-06    3.80560324e-04    6.89321555e-01    6.89321555e-01
24       2.03117866e-06    4.30467324e-04    6.92509164e-01    6.92509164e-01
25       2.03224670e-06    5.34142904e-04    6.98085618e-01    6.98085618e-01
26       2.03331473e-06    6.41788629e-04    7.02831796e-01    7.02831796e-01
27       2.03438277e-06    7.52421480e-04    7.06943118e-01    7.06943118e-01
28       2.03545081e-06    8.65323260e-04    7.10562042e-01    7.10562042e-01
29       2.03651885e-06    9.80037771e-04    7.13778626e-01    7.13778626e-01
30       2.03758689e-06    1.09616199e-03    7.16672299e-01    7.16672299e-01
31       2.03972296e-06    1.33152240e-03    7.21709636e-01    7.21709636e-01
32       2.04185904e-06    1.56988900e-03    7.25967762e-01    7.25967762e-01
33       2.04399512e-06    1.81022436e-03    7.29644813e-01    7.29644813e-01
34       2.04613119e-06    2.05178522e-03    7.32880116e-01    7.32880116e-01
35       2.04826727e-06    2.29407260e-03    7.35764183e-01    7.35764183e-01
36       2.05253942e-06    2.77936029e-03    7.40734983e-01    7.40734983e-01
37       2.05681158e-06    3.26405052e-03    7.44891084e-01    7.44891084e-01
38       2.06108373e-06    3.74669165e-03    7.48449976e-01    7.48449976e-01
39       2.06535588e-06    4.22618111e-03    7.51560064e-01    7.51560064e-01
40       2.06962804e-06    4.70169418e-03    7.54314953e-01    7.54314953e-01
41       2.07390019e-06    5.17254456e-03    7.56781404e-01    7.56781404e-01
42       2.07817234e-06    5.63813627e-03    7.59008982e-01    7.59008982e-01
43       2.08244450e-06    6.09793767e-03    7.61035322e-01    7.61035322e-01
44       2.08671665e-06    6.55146416e-03    7.62889626e-01    7.62889626e-01
45       2.09098880e-06    6.99826683e-03    7.64594992e-01    7.64594992e-01
46       2.09526096e-06    7.43792473e-03    7.66169991e-01    7.66169991e-01
47       2.09953311e-06    7.87003971e-03    7.67629772e-01    7.67629772e-01
48       2.10380526e-06    8.29423263e-03    7.68986840e-01    7.68986840e-01
49       2.10807742e-06    8.71014075e-03    7.70251639e-01    7.70251639e-01
50       2.11234957e-06    9.11741586e-03    7.71432972e-01    7.71432972e-01
51       2.11662172e-06    9.51572284e-03    7.72538324e-01    7.72538324e-01
52       2.12089388e-06    9.90473864e-03    7.73574110e-01    7.73574110e-01
53       2.12516603e-06    1.02841516e-02    7.74545864e-01    7.74545864e-01
54       2.12943818e-06    1.06536608e-02    7.75458390e-01    7.75458390e-01
55       2.13371034e-06    1.10129758e-02    7.76315883e-01    7.76315883e-01
56       2.13798249e-06    1.13618162e-02    7.77122023e-01    7.77122023e-01
57       2.14225464e-06    1.16999115e-02    7.77880054e-01    7.77880054e-01
