Index       TIME             I(VPR2)          V(NODE3)           V(PR1)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-10    2.61049501e-15    2.51327396e-03    2.51327396e-03
2        3.00000000e-10    7.87846773e-15    7.53981790e-03    7.53981790e-03
3        7.00000000e-10    1.85678095e-14    1.75928621e-02    1.75928621e-02
4        1.50000000e-09    4.09971428e-14    3.76985537e-02    3.76985537e-02
5        3.10000000e-09    9.72680922e-14    7.79065714e-02    7.79065714e-02
6        6.30000000e-09    6.13661207e-13    1.58294923e-01    1.58294923e-01
7        1.27000000e-08    2.27586752e-10    3.18847141e-01    3.18847141e-01
8        1.91000000e-08    1.10839870e-07    4.78861764e-01    4.78861764e-01
9        2.26533109e-08    3.32152828e-06    5.66755044e-01    5.66755044e-01
10       2.37001446e-08    8.72002968e-06    5.91706623e-01    5.91706623e-01
11       2.47469782e-08    2.15861787e-05    6.15138997e-01    6.15138997e-01
12       2.57938119e-08    4.80501898e-05    6.35825000e-01    6.35825000e-01
13       2.68406455e-08    9.27698745e-05    6.52831945e-01    6.52831945e-01
14       2.78874792e-08    1.55562939e-04    6.66195168e-01    6.66195168e-01
15       2.89343128e-08    2.32873489e-04    6.76624727e-01    6.76624727e-01
16       2.99811465e-08    3.20779829e-04    6.84903840e-01    6.84903840e-01
17       3.10279801e-08    4.16245738e-04    6.91638633e-01    6.91638633e-01
18       3.31216475e-08    6.22082308e-04    7.02025581e-01    7.02025581e-01
19       3.73089821e-08    1.06579721e-03    7.15953184e-01    7.15953184e-01
20       4.14963167e-08    1.52921256e-03    7.25297598e-01    7.25297598e-01
21       4.56836513e-08    2.00119157e-03    7.32215559e-01    7.32215559e-01
22       5.40583205e-08    2.95185449e-03    7.42289381e-01    7.42289381e-01
23       6.24329897e-08    3.89848004e-03    7.49481631e-01    7.49481631e-01
24       7.08076589e-08    4.83225079e-03    7.55011796e-01    7.55011796e-01
25       7.91823281e-08    5.74734506e-03    7.59511935e-01    7.59511935e-01
26       8.75569973e-08    6.63992698e-03    7.63230135e-01    7.63230135e-01
27       9.59316665e-08    7.50624898e-03    7.66411450e-01    7.66411450e-01
28       1.04306336e-07    8.34347092e-03    7.69135476e-01    7.69135476e-01
29       1.12681005e-07    9.14862263e-03    7.71525188e-01    7.71525188e-01
30       1.21055674e-07    9.91930182e-03    7.73608666e-01    7.73608666e-01
31       1.29430343e-07    1.06529764e-02    7.75459885e-01    7.75459885e-01
32       1.37805013e-07    1.13475506e-02    7.77086694e-01    7.77086694e-01
33       1.46179682e-07    1.20008286e-02    7.78539208e-01    7.78539208e-01
34       1.54554351e-07    1.26109885e-02    7.79816086e-01    7.79816086e-01
35       1.62929020e-07    1.31761394e-02    7.80954202e-01    7.80954202e-01
36       1.71303689e-07    1.36947308e-02    7.81947586e-01    7.81947586e-01
37       1.79678359e-07    1.41651695e-02    7.82825042e-01    7.82825042e-01
38       1.88053028e-07    1.45861836e-02    7.83578043e-01    7.83578043e-01
39       1.96427697e-07    1.49564798e-02    7.84230110e-01    7.84230110e-01
40       2.04802366e-07    1.52750743e-02    7.84771150e-01    7.84771150e-01
41       2.13177035e-07    1.55409786e-02    7.85221016e-01    7.85221016e-01
42       2.21551705e-07    1.57535062e-02    7.85568513e-01    7.85568513e-01
43       2.29926374e-07    1.59119782e-02    7.85830813e-01    7.85830813e-01
44       2.38301043e-07    1.60160130e-02    7.85995798e-01    7.85995798e-01
45       2.46675712e-07    1.60652446e-02    7.86078571e-01    7.86078571e-01
46       2.55050381e-07    1.60596009e-02    7.86066096e-01    7.86066096e-01
47       2.63425051e-07    1.59990306e-02    7.85971776e-01    7.85971776e-01
48       2.71799720e-07    1.58837731e-02    7.85781522e-01    7.85781522e-01
49       2.80174389e-07    1.57140908e-02    7.85507218e-01    7.85507218e-01
50       2.88549058e-07    1.54905341e-02    7.85133455e-01    7.85133455e-01
51       2.96923727e-07    1.52136753e-02    7.84670611e-01    7.84670611e-01
52       3.05298397e-07    1.48843728e-02    7.84101519e-01    7.84101519e-01
53       3.13673066e-07    1.45035029e-02    7.83434851e-01    7.83434851e-01
54       3.22047735e-07    1.40722272e-02    7.82650993e-01    7.82650993e-01
55       3.30422404e-07    1.35917179e-02    7.81756416e-01    7.81756416e-01
56       3.38797074e-07    1.30634335e-02    7.80727948e-01    7.80727948e-01
57       3.47171743e-07    1.24888342e-02    7.79568853e-01    7.79568853e-01
58       3.55546412e-07    1.18696699e-02    7.78250515e-01    7.78250515e-01
59       3.63921081e-07    1.12076823e-02    7.76770999e-01    7.76770999e-01
60       3.72295750e-07    1.05049118e-02    7.75092840e-01    7.75092840e-01
61       3.80670420e-07    9.76338308e-03    7.73204807e-01    7.73204807e-01
62       3.89045089e-07    8.98544060e-03    7.71053797e-01    7.71053797e-01
63       3.97419758e-07    8.17341597e-03    7.68610128e-01    7.68610128e-01
64       4.05794427e-07    7.33001116e-03    7.65789737e-01    7.65789737e-01
65       4.14169096e-07    6.45795736e-03    7.62521138e-01    7.62521138e-01
66       4.22543766e-07    5.56049581e-03    7.58647927e-01    7.58647927e-01
67       4.30918435e-07    4.64109697e-03    7.53983602e-01    7.53983602e-01
68       4.39293104e-07    3.70425068e-03    7.48152122e-01    7.48152122e-01
69       4.47667773e-07    2.75576648e-03    7.40526393e-01    7.40526393e-01
70       4.56042442e-07    1.80565846e-03    7.29649822e-01    7.29649822e-01
71       4.64417112e-07    8.80098104e-04    7.10844234e-01    7.10844234e-01
72       4.65307756e-07    7.84877414e-04    7.08047380e-01    7.08047380e-01
73       4.67089045e-07    6.00758073e-04    7.01108683e-01    7.01108683e-01
74       4.70651623e-07    2.66449685e-04    6.80142103e-01    6.80142103e-01
75       4.71053147e-07    2.33870900e-04    6.76735215e-01    6.76735215e-01
76       4.71454671e-07    2.02714531e-04    6.73039239e-01    6.73039239e-01
77       4.72257720e-07    1.45891323e-04    6.64535819e-01    6.64535819e-01
78       4.73060769e-07    9.79539238e-05    6.54237576e-01    6.54237576e-01
79       4.73863818e-07    6.05708403e-05    6.41811315e-01    6.41811315e-01
80       4.74666867e-07    3.43372000e-05    6.27138516e-01    6.27138516e-01
81       4.75469916e-07    1.80170909e-05    6.10466871e-01    6.10466871e-01
82       4.76272964e-07    8.93366361e-06    5.92332255e-01    5.92332255e-01
83       4.77076013e-07    4.27797340e-06    5.73296966e-01    5.73296966e-01
84       4.78682111e-07    9.35176966e-07    5.33989328e-01    5.33989328e-01
85       4.80288208e-07    1.99893116e-07    4.94105789e-01    4.94105789e-01
86       4.83500404e-07    9.01986014e-09    4.13935890e-01    4.13935890e-01
87       4.86712599e-07    3.77733848e-10    3.33560934e-01    3.33560934e-01
88       4.93136989e-07    2.51064907e-11    1.72432820e-01    1.72432820e-01
89       5.05985770e-07   -2.43128129e-11   -1.50403340e-01   -1.50403340e-01
90       5.14626977e-07   -6.98207989e-11   -3.67098743e-01   -3.67098743e-01
91       5.21767356e-07   -6.85825522e-08   -5.45355650e-01   -5.45355650e-01
92       5.24491535e-07   -9.36658270e-07   -6.12925570e-01   -6.12925570e-01
93       5.27215714e-07   -1.17566233e-05   -6.78325489e-01   -6.78325489e-01
94       5.27587822e-07   -1.62208272e-05   -6.86646474e-01   -6.86646474e-01
95       5.28332038e-07   -2.97788314e-05   -7.02351161e-01   -7.02351161e-01
96       5.29820471e-07   -8.23031943e-05   -7.28631998e-01   -7.28631998e-01
97       5.31160060e-07   -1.60906542e-04   -7.45962841e-01   -7.45962841e-01
98       5.32365690e-07   -2.51614963e-04   -7.57520452e-01   -7.57520452e-01
99       5.33571320e-07   -3.55284341e-04   -7.66439515e-01   -7.66439515e-01
100      5.34776950e-07   -4.67758533e-04   -7.73549556e-01   -7.73549556e-01
101      5.37188210e-07   -7.09247144e-04   -7.84310627e-01   -7.84310627e-01
102      5.42010731e-07   -1.22583641e-03   -7.98459107e-01   -7.98459107e-01
103      5.46833252e-07   -1.76143856e-03   -8.07846890e-01   -8.07846890e-01
104      5.51655772e-07   -2.30411839e-03   -8.14754055e-01   -8.14754055e-01
105      5.61300814e-07   -3.39040492e-03   -8.24764902e-01   -8.24764902e-01
106      5.70945855e-07   -4.46360415e-03   -8.31875621e-01   -8.31875621e-01
107      5.80590896e-07   -5.51349654e-03   -8.37315973e-01   -8.37315973e-01
108      5.90235938e-07   -6.53296385e-03   -8.41718717e-01   -8.41718717e-01
109      5.99880979e-07   -7.51694218e-03   -8.45331886e-01   -8.45331886e-01
110      6.09526020e-07   -8.46053043e-03   -8.48399913e-01   -8.48399913e-01
111      6.19171062e-07   -9.35981382e-03   -8.51001627e-01   -8.51001627e-01
112      6.28816103e-07   -1.02108303e-02   -8.53259547e-01   -8.53259547e-01
113      6.38461144e-07   -1.10102786e-02   -8.55200785e-01   -8.55200785e-01
114      6.48106186e-07   -1.17548194e-02   -8.56898999e-01   -8.56898999e-01
115      6.57751227e-07   -1.24416548e-02   -8.58360860e-01   -8.58360860e-01
116      6.67396268e-07   -1.30679870e-02   -8.59636220e-01   -8.59636220e-01
117      6.77041310e-07   -1.36315071e-02   -8.60722293e-01   -8.60722293e-01
118      6.86686351e-07   -1.41299431e-02   -8.61655678e-01   -8.61655678e-01
119      6.96331392e-07   -1.45614867e-02   -8.62428616e-01   -8.62428616e-01
120      7.05976434e-07   -1.49243971e-02   -8.63069556e-01   -8.63069556e-01
121      7.15621475e-07   -1.52173840e-02   -8.63567741e-01   -8.63567741e-01
122      7.25266516e-07   -1.54392475e-02   -8.63946172e-01   -8.63946172e-01
123      7.34911558e-07   -1.55892306e-02   -8.64191947e-01   -8.64191947e-01
124      7.44556599e-07   -1.56666828e-02   -8.64324120e-01   -8.64324120e-01
125      7.54201640e-07   -1.56713915e-02   -8.64327901e-01   -8.64327901e-01
126      7.63846682e-07   -1.56032595e-02   -8.64219207e-01   -8.64219207e-01
127      7.73491723e-07   -1.54626231e-02   -8.63981237e-01   -8.63981237e-01
128      7.83136764e-07   -1.52499374e-02   -8.63627092e-01   -8.63627092e-01
129      7.92781806e-07   -1.49660863e-02   -8.63137479e-01   -8.63137479e-01
130      8.02426847e-07   -1.46120700e-02   -8.62522564e-01   -8.62522564e-01
131      8.12071888e-07   -1.41893132e-02   -8.61759638e-01   -8.61759638e-01
132      8.21716930e-07   -1.36993493e-02   -8.60855246e-01   -8.60855246e-01
133      8.31361971e-07   -1.31441326e-02   -8.59781606e-01   -8.59781606e-01
134      8.41007012e-07   -1.25257147e-02   -8.58540021e-01   -8.58540021e-01
135      8.50652054e-07   -1.18465683e-02   -8.57094615e-01   -8.57094615e-01
136      8.60297095e-07   -1.11092507e-02   -8.55437946e-01   -8.55437946e-01
137      8.69942136e-07   -1.03167488e-02   -8.53520084e-01   -8.53520084e-01
138      8.79587178e-07   -9.47212760e-03   -8.51316995e-01   -8.51316995e-01
139      8.89232219e-07   -8.57891442e-03   -8.48751514e-01   -8.48751514e-01
140      8.98877260e-07   -7.64073707e-03   -8.45763365e-01   -8.45763365e-01
141      9.08522302e-07   -6.66178911e-03   -8.42213695e-01   -8.42213695e-01
142      9.18167343e-07   -5.64650909e-03   -8.37946653e-01   -8.37946653e-01
143      9.27812384e-07   -4.60028709e-03   -8.32645398e-01   -8.32645398e-01
144      9.37457426e-07   -3.52955018e-03   -8.25812202e-01   -8.25812202e-01
145      9.47102467e-07   -2.44390262e-03   -8.16337529e-01   -8.16337529e-01
146      9.56747508e-07   -1.36302169e-03   -8.01117883e-01   -8.01117883e-01
147      9.58174012e-07   -1.20553136e-03   -7.98037130e-01   -7.98037130e-01
148      9.59600516e-07   -1.05019529e-03   -7.94442049e-01   -7.94442049e-01
149      9.62453524e-07   -7.46310969e-04   -7.85655027e-01   -7.85655027e-01
150      9.65306531e-07   -4.59925838e-04   -7.73067748e-01   -7.73067748e-01
151      9.68159539e-07   -2.09892091e-04   -7.52932224e-01   -7.52932224e-01
152      9.68552348e-07   -1.81081292e-04   -7.49016524e-01   -7.49016524e-01
153      9.68945156e-07   -1.53786294e-04   -7.44792881e-01   -7.44792881e-01
154      9.69730773e-07   -1.05544883e-04   -7.35061764e-01   -7.35061764e-01
155      9.70516390e-07   -6.71009506e-05   -7.23352727e-01   -7.23352727e-01
156      9.71302007e-07   -3.92698542e-05   -7.09503170e-01   -7.09503170e-01
157      9.72087624e-07   -2.12825153e-05   -6.93667384e-01   -6.93667384e-01
158      9.72873241e-07   -1.08704183e-05   -6.76299543e-01   -6.76299543e-01
159      9.73658858e-07   -5.34298671e-06   -6.57938237e-01   -6.57938237e-01
160      9.75230092e-07   -1.22108938e-06   -6.19781336e-01   -6.19781336e-01
161      9.76801326e-07   -2.71703603e-07   -5.80929504e-01   -5.80929504e-01
162      9.79943794e-07   -1.31692639e-08   -5.02731729e-01   -5.02731729e-01
163      9.83086263e-07   -6.59593146e-10   -4.24288763e-01   -4.24288763e-01
164      9.89371199e-07    2.28140492e-11   -2.66932394e-01   -2.66932394e-01
165      1.00194107e-06   -2.44686646e-11    4.87832378e-02    4.87832378e-02
166      1.00822601e-06    3.16821445e-12    2.06650082e-01    2.06650082e-01
167      1.01034545e-06    2.34335262e-11    2.59826347e-01    2.59826347e-01
168      1.01458432e-06    1.41038425e-09    3.66030958e-01    3.66030958e-01
169      1.02306208e-06    4.86373354e-06    5.76614235e-01    5.76614235e-01
170      1.02496957e-06    2.58612998e-05    6.19810248e-01    6.19810248e-01
171      1.02562538e-06    4.26301093e-05    6.32730983e-01    6.32730983e-01
172      1.02628119e-06    6.64916756e-05    6.44222278e-01    6.44222278e-01
173      1.02687142e-06    9.43706704e-05    6.53274189e-01    6.53274189e-01
174      1.02740262e-06    1.24422565e-04    6.60420852e-01    6.60420852e-01
175      1.02793383e-06    1.58709595e-04    6.66712853e-01    6.66712853e-01
176      1.02899624e-06    2.37813553e-04    6.77167386e-01    6.77167386e-01
177      1.03005865e-06    3.27619414e-04    6.85449246e-01    6.85449246e-01
178      1.03112106e-06    4.25023067e-04    6.92178083e-01    6.92178083e-01
179      1.03324588e-06    6.34750225e-04    7.02546729e-01    7.02546729e-01
180      1.03749552e-06    1.08615156e-03    7.16441776e-01    7.16441776e-01
181      1.04174517e-06    1.55708655e-03    7.25764463e-01    7.25764463e-01
182      1.04599481e-06    2.03642607e-03    7.32666819e-01    7.32666819e-01
183      1.05449410e-06    3.00131442e-03    7.42718910e-01    7.42718910e-01
184      1.06299338e-06    3.96143394e-03    7.49895710e-01    7.49895710e-01
185      1.07149267e-06    4.90786494e-03    7.55413211e-01    7.55413211e-01
186      1.07999195e-06    5.83467847e-03    7.59901781e-01    7.59901781e-01
187      1.08849124e-06    6.73793056e-03    7.63608919e-01    7.63608919e-01
188      1.09699052e-06    7.61377061e-03    7.66779114e-01    7.66779114e-01
189      1.10548981e-06    8.45925922e-03    7.69491774e-01    7.69491774e-01
190      1.11398910e-06    9.27133348e-03    7.71869623e-01    7.71869623e-01
191      1.12248838e-06    1.00475042e-02    7.73940645e-01    7.73940645e-01
