Index       FREQ              VM(1)      
0       -1.00000000e+05    2.45527664e-03
1       -9.00000000e+04    4.43543407e-03
2       -8.00000000e+04    5.13331626e-03
3       -7.00000000e+04    1.70709922e-02
4       -6.00000000e+04    5.37144758e-03
5       -5.00000000e+04    3.98964418e-02
6       -4.00000000e+04    4.25968430e-03
7       -3.00000000e+04    8.80015484e-02
8       -2.00000000e+04    2.71731664e-03
9       -1.00000000e+04    2.99982039e-01
10       0.00000000e+00    9.42058623e-01
11       1.00000000e+04    2.99982039e-01
12       2.00000000e+04    2.71731664e-03
13       3.00000000e+04    8.80015484e-02
14       4.00000000e+04    4.25968430e-03
15       5.00000000e+04    3.98964418e-02
16       6.00000000e+04    5.37144758e-03
17       7.00000000e+04    1.70709922e-02
18       8.00000000e+04    5.13331626e-03
19       9.00000000e+04    4.43543407e-03
20       1.00000000e+05    2.45527664e-03
End of Xyce(TM) Simulation
