Index       FREQ            Re(V(A))          Im(V(A))          Re(V(B))          Im(V(B))         Re(V(A,B))        Im(V(A,B))          VR(A,B)           VI(A,B)           VM(A,B)          VDB(A,B)           VP(A,B)     
0       -1.00000000e+05   -9.52380952e-02   -8.83680384e-02   -7.87275104e-02   -5.19960880e-02   -1.65105848e-02   -3.63719504e-02   -1.65105848e-02   -3.63719504e-02    3.99439380e-02   -2.79709824e+01   -1.14415070e+02
1       -9.00000000e+04   -9.52380952e-02    1.19424794e-01   -5.43025546e-02    9.50488646e-02   -4.09355406e-02    2.43759294e-02   -4.09355406e-02    2.43759294e-02    4.76435140e-02   -2.64399243e+01    1.49227426e+02
2       -8.00000000e+04   -9.52380952e-02   -6.49322339e-02   -7.32178129e-02   -3.59090885e-02   -2.20202824e-02   -2.90231454e-02   -2.20202824e-02   -2.90231454e-02    3.64312476e-02   -2.87705191e+01   -1.27188119e+02
3       -7.00000000e+04   -9.52380952e-02    1.64957220e-01   -5.11591035e-02    1.22896115e-01   -4.40789917e-02    4.20611045e-02   -4.40789917e-02    4.20611045e-02    6.09269565e-02   -2.43038103e+01    1.36341945e+02
4       -6.00000000e+04   -9.52380952e-02   -4.58642494e-02   -6.89922114e-02   -2.39798562e-02   -2.62458838e-02   -2.18843932e-02   -2.62458838e-02   -2.18843932e-02    3.41726950e-02   -2.93264154e+01   -1.40177912e+02
5       -5.00000000e+04   -9.52380952e-02    2.42662709e-01   -4.85969213e-02    1.71543644e-01   -4.66411739e-02    7.11190651e-02   -4.66411739e-02    7.11190651e-02    8.50489302e-02   -2.14066229e+01    1.23257590e+02
6       -4.00000000e+04   -9.52380952e-02   -2.93770618e-02   -6.59548719e-02   -1.46782567e-02   -2.92832233e-02   -1.46988051e-02   -2.92832233e-02   -1.46988051e-02    3.27652566e-02   -2.96917285e+01   -1.53345495e+02
7       -3.00000000e+04   -9.52380952e-02    4.17265359e-01   -4.67789295e-02    2.84266464e-01   -4.84591658e-02    1.32998895e-01   -4.84591658e-02    1.32998895e-01    1.41552099e-01   -1.69816737e+01    1.10019599e+02
8       -2.00000000e+04   -9.52380952e-02   -1.43548332e-02   -6.41113853e-02   -6.96222362e-03   -3.11267099e-02   -7.39260954e-03   -3.11267099e-02   -7.39260954e-03    3.19925421e-02   -2.98990250e+01   -1.66639754e+02
9       -1.00000000e+04   -9.52380952e-02    1.27086406e+00   -4.58341377e-02    8.49312135e-01   -4.94039575e-02    4.21551926e-01   -4.94039575e-02    4.21551926e-01    4.24437012e-01   -7.44373504e+00    9.66843121e+01
10       0.00000000e+00    2.90476190e+00    0.00000000e+00    1.93650794e+00    0.00000000e+00    9.68253968e-01    0.00000000e+00    9.68253968e-01    0.00000000e+00    9.68253968e-01   -2.80214289e-01    0.00000000e+00
11       1.00000000e+04   -9.52380952e-02   -1.27086406e+00   -4.58341377e-02   -8.49312135e-01   -4.94039575e-02   -4.21551926e-01   -4.94039575e-02   -4.21551926e-01    4.24437012e-01   -7.44373504e+00   -9.66843121e+01
12       2.00000000e+04   -9.52380952e-02    1.43548332e-02   -6.41113853e-02    6.96222362e-03   -3.11267099e-02    7.39260954e-03   -3.11267099e-02    7.39260954e-03    3.19925421e-02   -2.98990250e+01    1.66639754e+02
13       3.00000000e+04   -9.52380952e-02   -4.17265359e-01   -4.67789295e-02   -2.84266464e-01   -4.84591658e-02   -1.32998895e-01   -4.84591658e-02   -1.32998895e-01    1.41552099e-01   -1.69816737e+01   -1.10019599e+02
14       4.00000000e+04   -9.52380952e-02    2.93770618e-02   -6.59548719e-02    1.46782567e-02   -2.92832233e-02    1.46988051e-02   -2.92832233e-02    1.46988051e-02    3.27652566e-02   -2.96917285e+01    1.53345495e+02
15       5.00000000e+04   -9.52380952e-02   -2.42662709e-01   -4.85969213e-02   -1.71543644e-01   -4.66411739e-02   -7.11190651e-02   -4.66411739e-02   -7.11190651e-02    8.50489302e-02   -2.14066229e+01   -1.23257590e+02
16       6.00000000e+04   -9.52380952e-02    4.58642494e-02   -6.89922114e-02    2.39798562e-02   -2.62458838e-02    2.18843932e-02   -2.62458838e-02    2.18843932e-02    3.41726950e-02   -2.93264154e+01    1.40177912e+02
17       7.00000000e+04   -9.52380952e-02   -1.64957220e-01   -5.11591035e-02   -1.22896115e-01   -4.40789917e-02   -4.20611045e-02   -4.40789917e-02   -4.20611045e-02    6.09269565e-02   -2.43038103e+01   -1.36341945e+02
18       8.00000000e+04   -9.52380952e-02    6.49322339e-02   -7.32178129e-02    3.59090885e-02   -2.20202824e-02    2.90231454e-02   -2.20202824e-02    2.90231454e-02    3.64312476e-02   -2.87705191e+01    1.27188119e+02
19       9.00000000e+04   -9.52380952e-02   -1.19424794e-01   -5.43025546e-02   -9.50488646e-02   -4.09355406e-02   -2.43759294e-02   -4.09355406e-02   -2.43759294e-02    4.76435140e-02   -2.64399243e+01   -1.49227426e+02
20       1.00000000e+05   -9.52380952e-02    8.83680384e-02   -7.87275104e-02    5.19960880e-02   -1.65105848e-02    3.63719504e-02   -1.65105848e-02    3.63719504e-02    3.99439380e-02   -2.79709824e+01    1.14415070e+02
End of Xyce(TM) Simulation
