Index       TIME              V(A)              V(B)             V(A,B)            VR(A,B)           VI(A,B)           VM(A,B)          VDB(A,B)           VP(A,B)     
0        0.00000000e+00    1.00000000e+00    6.66666667e-01    3.33333333e-01    3.33333333e-01    0.00000000e+00    3.33333333e-01   -9.54242509e+00    0.00000000e+00
1        2.50000000e-11    1.02000000e+00    6.86666417e-01    3.33333583e-01    3.33333583e-01    0.00000000e+00    3.33333583e-01   -9.54241858e+00    0.00000000e+00
2        7.50000000e-11    1.06000000e+00    7.26664917e-01    3.33335083e-01    3.33335083e-01    0.00000000e+00    3.33335083e-01   -9.54237950e+00    0.00000000e+00
3        1.75000000e-10    1.14000000e+00    8.06657918e-01    3.33342082e-01    3.33342082e-01    0.00000000e+00    3.33342082e-01   -9.54219713e+00    0.00000000e+00
4        3.75000000e-10    1.30000000e+00    9.66627930e-01    3.33372070e-01    3.33372070e-01    0.00000000e+00    3.33372070e-01   -9.54141576e+00    0.00000000e+00
5        7.75000000e-10    1.62000000e+00    1.28650403e+00    3.33495973e-01    3.33495973e-01    0.00000000e+00    3.33495973e-01   -9.53818813e+00    0.00000000e+00
6        1.57500000e-09    2.26000000e+00    1.92600083e+00    3.33999174e-01    3.33999174e-01    0.00000000e+00    3.33999174e-01   -9.52509215e+00    0.00000000e+00
7        3.17500000e-09    3.54000000e+00    3.20397529e+00    3.36024714e-01    3.36024714e-01    0.00000000e+00    3.36024714e-01   -9.47257559e+00    0.00000000e+00
8        4.77500000e-09    4.82000000e+00    4.48093305e+00    3.39066954e-01    3.39066954e-01    0.00000000e+00    3.39066954e-01   -9.39429071e+00    0.00000000e+00
9        5.00000000e-09    5.00000000e+00    4.66048513e+00    3.39514867e-01    3.39514867e-01    0.00000000e+00    3.39514867e-01   -9.38282406e+00    0.00000000e+00
10       5.32000000e-09    5.00000000e+00    4.65984841e+00    3.40151595e-01    3.40151595e-01    0.00000000e+00    3.40151595e-01   -9.36654977e+00    0.00000000e+00
11       5.96000000e-09    5.00000000e+00    4.65857617e+00    3.41423828e-01    3.41423828e-01    0.00000000e+00    3.41423828e-01   -9.33412346e+00    0.00000000e+00
12       7.24000000e-09    5.00000000e+00    4.65603658e+00    3.43963418e-01    3.43963418e-01    0.00000000e+00    3.43963418e-01   -9.26975488e+00    0.00000000e+00
13       9.80000000e-09    5.00000000e+00    4.65097683e+00    3.49023169e-01    3.49023169e-01    0.00000000e+00    3.49023169e-01   -9.14291485e+00    0.00000000e+00
14       1.49200000e-08    5.00000000e+00    4.64093445e+00    3.59065546e-01    3.59065546e-01    0.00000000e+00    3.59065546e-01   -8.89652532e+00    0.00000000e+00
15       2.51600000e-08    5.00000000e+00    4.62115354e+00    3.78846464e-01    3.78846464e-01    0.00000000e+00    3.78846464e-01   -8.43073524e+00    0.00000000e+00
