Index       FREQ            Re(V(1))          Im(V(1))          Re(I(V1))         Im(I(V1))    
0       -1.00000000e+05   -7.72422405e-17    2.12188865e-16    9.79142805e-18   -2.06819024e-17
1       -9.00000000e+04   -9.70607042e-17   -7.93788495e-17    7.85828532e-18    7.75871524e-18
2       -8.00000000e+04   -2.04866902e-16    1.69894654e-16    2.31112935e-17   -1.53951261e-17
3       -7.00000000e+04    1.97781009e-17   -2.01595675e-16   -7.12425700e-18    1.07506577e-17
4       -6.00000000e+04   -1.63373215e-16   -1.48833424e-19    1.79339795e-17   -4.01323458e-20
5       -5.00000000e+04    8.25264812e-17   -1.17007254e-16   -1.67290794e-18    1.60374340e-17
6       -4.00000000e+04    5.74442376e-18   -1.29999310e-17   -4.79032466e-18    4.71749592e-18
7       -3.00000000e+04   -1.91516366e-16    5.01543159e-17    1.51567650e-17   -6.84431161e-18
8       -2.00000000e+04    2.34996242e-16   -9.75883519e-17   -2.48967990e-17    1.00042722e-17
9       -1.00000000e+04   -2.17979391e-18    5.00000000e-01    3.40654751e-18   -5.00000000e-02
10       0.00000000e+00    2.96523067e-16    0.00000000e+00   -2.85619280e-17    0.00000000e+00
11       1.00000000e+04   -2.17979391e-18   -5.00000000e-01    3.40654751e-18    5.00000000e-02
12       2.00000000e+04    2.34996242e-16    9.75883519e-17   -2.48967990e-17   -1.00042722e-17
13       3.00000000e+04   -1.91516366e-16   -5.01543159e-17    1.51567650e-17    6.84431161e-18
14       4.00000000e+04    5.74442376e-18    1.29999310e-17   -4.79032466e-18   -4.71749592e-18
15       5.00000000e+04    8.25264812e-17    1.17007254e-16   -1.67290794e-18   -1.60374340e-17
16       6.00000000e+04   -1.63373215e-16    1.48833424e-19    1.79339795e-17    4.01323458e-20
17       7.00000000e+04    1.97781009e-17    2.01595675e-16   -7.12425700e-18   -1.07506577e-17
18       8.00000000e+04   -2.04866902e-16   -1.69894654e-16    2.31112935e-17    1.53951261e-17
19       9.00000000e+04   -9.70607042e-17    7.93788495e-17    7.85828532e-18   -7.75871524e-18
20       1.00000000e+05   -7.72422405e-17   -2.12188865e-16    9.79142805e-18    2.06819024e-17
End of Xyce(TM) Simulation
