Index       TIME              V(1)              I(V1)      
0        2.00000000e-04   -4.89859482e-16    1.32252760e-16
1        2.00000100e-04    6.28318531e-06   -6.28318531e-07
2        2.00000300e-04    1.88495559e-05   -1.88495559e-06
3        2.00000700e-04    4.39822971e-05   -4.39822971e-06
4        2.00001500e-04    9.42477795e-05   -9.42477795e-06
5        2.00003100e-04    1.94778743e-04   -1.94778743e-05
6        2.00006300e-04    3.95840664e-04   -3.95840664e-05
7        2.00012700e-04    7.97964449e-04   -7.97964449e-05
8        2.00025500e-04    1.60221157e-03   -1.60221157e-04
9        2.00051100e-04    3.21070218e-03   -3.21070218e-04
10       2.00102300e-04    6.42765431e-03   -6.42765431e-04
11       2.00204700e-04    1.28613257e-02   -1.28613257e-03
12       2.00409500e-04    2.57268050e-02   -2.57268050e-03
13       2.00819100e-04    5.14428543e-02   -5.14428543e-03
14       2.01228700e-04    7.71248330e-02   -7.71248330e-03
15       2.01638300e-04    1.02755732e-01   -1.02755732e-02
16       2.02047900e-04    1.28318575e-01   -1.28318575e-02
17       2.02457500e-04    1.53796433e-01   -1.53796433e-02
18       2.02867100e-04    1.79172431e-01   -1.79172431e-02
19       2.03276700e-04    2.04429764e-01   -2.04429764e-02
20       2.03686300e-04    2.29551702e-01   -2.29551702e-02
21       2.04095900e-04    2.54521607e-01   -2.54521607e-02
22       2.04505500e-04    2.79322943e-01   -2.79322943e-02
23       2.04915100e-04    3.03939283e-01   -3.03939283e-02
24       2.05324700e-04    3.28354323e-01   -3.28354323e-02
25       2.05734300e-04    3.52551894e-01   -3.52551894e-02
26       2.06143900e-04    3.76515969e-01   -3.76515969e-02
27       2.06553500e-04    4.00230677e-01   -4.00230677e-02
28       2.06963100e-04    4.23680312e-01   -4.23680312e-02
29       2.07372700e-04    4.46849342e-01   -4.46849342e-02
30       2.07782300e-04    4.69722424e-01   -4.69722424e-02
31       2.08191900e-04    4.92284408e-01   -4.92284408e-02
32       2.08601500e-04    5.14520351e-01   -5.14520351e-02
33       2.09011100e-04    5.36415527e-01   -5.36415527e-02
34       2.09420700e-04    5.57955434e-01   -5.57955434e-02
35       2.09830300e-04    5.79125807e-01   -5.79125807e-02
