Index       TIME              V(1)              I(V1)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-10    6.28318531e-06   -6.28318531e-07
2        3.00000000e-10    1.88495559e-05   -1.88495559e-06
3        7.00000000e-10    4.39822971e-05   -4.39822971e-06
4        1.50000000e-09    9.42477795e-05   -9.42477795e-06
5        3.10000000e-09    1.94778743e-04   -1.94778743e-05
6        6.30000000e-09    3.95840664e-04   -3.95840664e-05
7        1.27000000e-08    7.97964449e-04   -7.97964449e-05
8        2.55000000e-08    1.60221157e-03   -1.60221157e-04
9        5.11000000e-08    3.21070218e-03   -3.21070218e-04
10       1.02300000e-07    6.42765431e-03   -6.42765431e-04
11       2.04700000e-07    1.28613257e-02   -1.28613257e-03
12       4.09500000e-07    2.57268050e-02   -2.57268050e-03
13       8.19100000e-07    5.14428543e-02   -5.14428543e-03
14       1.22870000e-06    7.71248330e-02   -7.71248330e-03
15       2.04790000e-06    1.28318575e-01   -1.28318575e-02
16       2.86710000e-06    1.79172431e-01   -1.79172431e-02
17       3.68630000e-06    2.29551702e-01   -2.29551702e-02
18       4.50550000e-06    2.79322943e-01   -2.79322943e-02
19       5.32470000e-06    3.28354323e-01   -3.28354323e-02
20       6.14390000e-06    3.76515969e-01   -3.76515969e-02
21       6.96310000e-06    4.23680312e-01   -4.23680312e-02
22       7.78230000e-06    4.69722424e-01   -4.69722424e-02
23       8.60150000e-06    5.14520351e-01   -5.14520351e-02
24       9.42070000e-06    5.57955434e-01   -5.57955434e-02
25       1.02399000e-05    5.99912623e-01   -5.99912623e-02
26       1.10591000e-05    6.40280783e-01   -6.40280783e-02
27       1.18783000e-05    6.78952989e-01   -6.78952989e-02
28       1.26975000e-05    7.15826807e-01   -7.15826807e-02
29       1.35167000e-05    7.50804566e-01   -7.50804566e-02
30       1.43359000e-05    7.83793619e-01   -7.83793619e-02
31       1.51551000e-05    8.14706585e-01   -8.14706585e-02
32       1.59743000e-05    8.43461583e-01   -8.43461583e-02
33       1.67935000e-05    8.69982449e-01   -8.69982449e-02
34       1.76127000e-05    8.94198933e-01   -8.94198933e-02
35       1.84319000e-05    9.16046894e-01   -9.16046894e-02
36       1.92511000e-05    9.35468459e-01   -9.35468459e-02
37       2.00703000e-05    9.52412187e-01   -9.52412187e-02
38       2.08895000e-05    9.66833196e-01   -9.66833196e-02
39       2.17087000e-05    9.78693290e-01   -9.78693290e-02
40       2.25279000e-05    9.87961054e-01   -9.87961054e-02
41       2.33471000e-05    9.94611939e-01   -9.94611939e-02
42       2.41663000e-05    9.98628329e-01   -9.98628329e-02
43       2.49855000e-05    9.99999585e-01   -9.99999585e-02
44       2.58047000e-05    9.98722075e-01   -9.98722075e-02
45       2.66239000e-05    9.94799184e-01   -9.94799184e-02
46       2.74431000e-05    9.88241301e-01   -9.88241301e-02
47       2.82623000e-05    9.79065798e-01   -9.79065798e-02
48       2.90815000e-05    9.67296977e-01   -9.67296977e-02
49       2.99007000e-05    9.52966012e-01   -9.52966012e-02
50       3.07199000e-05    9.36110863e-01   -9.36110863e-02
51       3.15391000e-05    9.16776174e-01   -9.16776174e-02
52       3.23583000e-05    8.95013158e-01   -8.95013158e-02
53       3.31775000e-05    8.70879462e-01   -8.70879462e-02
54       3.39967000e-05    8.44439008e-01   -8.44439008e-02
55       3.48159000e-05    8.15761833e-01   -8.15761833e-02
56       3.56351000e-05    7.84923895e-01   -7.84923895e-02
57       3.64543000e-05    7.52006876e-01   -7.52006876e-02
58       3.72735000e-05    7.17097966e-01   -7.17097966e-02
59       3.80927000e-05    6.80289631e-01   -6.80289631e-02
60       3.89119000e-05    6.41679368e-01   -6.41679368e-02
61       3.97311000e-05    6.01369445e-01   -6.01369445e-02
62       4.05503000e-05    5.59466635e-01   -5.59466635e-02
63       4.13695000e-05    5.16081928e-01   -5.16081928e-02
64       4.21887000e-05    4.71330240e-01   -4.71330240e-02
65       4.30079000e-05    4.25330109e-01   -4.25330109e-02
66       4.38271000e-05    3.78203377e-01   -3.78203377e-02
67       4.46463000e-05    3.30074872e-01   -3.30074872e-02
68       4.54655000e-05    2.81072077e-01   -2.81072077e-02
69       4.62847000e-05    2.31324786e-01   -2.31324786e-02
70       4.71039000e-05    1.80964771e-01   -1.80964771e-02
71       4.79231000e-05    1.30125421e-01   -1.30125421e-02
72       4.87423000e-05    7.89414004e-02   -7.89414004e-03
73       4.95615000e-05    2.75482819e-02   -2.75482819e-03
74       5.04117557e-05   -2.58684863e-02    2.58684863e-03
75       5.10969579e-05   -6.88693373e-02    6.88693373e-03
76       5.17136398e-05   -1.07463246e-01    1.07463246e-02
77       5.22686536e-05   -1.42061481e-01    1.42061481e-02
78       5.28236673e-05   -1.76486974e-01    1.76486974e-02
79       5.33786811e-05   -2.10697864e-01    2.10697864e-02
80       5.39336949e-05   -2.44652551e-01    2.44652551e-02
81       5.44887086e-05   -2.78309748e-01    2.78309748e-02
82       5.50437224e-05   -3.11628529e-01    3.11628529e-02
83       5.55987362e-05   -3.44568378e-01    3.44568378e-02
84       5.61537499e-05   -3.77089242e-01    3.77089242e-02
85       5.67087637e-05   -4.09151576e-01    4.09151576e-02
86       5.72637775e-05   -4.40716394e-01    4.40716394e-02
87       5.78187912e-05   -4.71745313e-01    4.71745313e-02
88       5.83738050e-05   -5.02200604e-01    5.02200604e-02
89       5.89288187e-05   -5.32045234e-01    5.32045234e-02
90       5.94838325e-05   -5.61242912e-01    5.61242912e-02
91       6.00388463e-05   -5.89758134e-01    5.89758134e-02
92       6.05938600e-05   -6.17556228e-01    6.17556228e-02
93       6.11488738e-05   -6.44603392e-01    6.44603392e-02
94       6.17038876e-05   -6.70866736e-01    6.70866736e-02
95       6.22589013e-05   -6.96314326e-01    6.96314326e-02
96       6.28139151e-05   -7.20915218e-01    7.20915218e-02
97       6.33689288e-05   -7.44639498e-01    7.44639498e-02
98       6.39239426e-05   -7.67458318e-01    7.67458318e-02
99       6.44789564e-05   -7.89343930e-01    7.89343930e-02
100      6.50339701e-05   -8.10269723e-01    8.10269723e-02
101      6.55889839e-05   -8.30210252e-01    8.30210252e-02
102      6.61439977e-05   -8.49141269e-01    8.49141269e-02
103      6.66990114e-05   -8.67039755e-01    8.67039755e-02
104      6.72540252e-05   -8.83883946e-01    8.83883946e-02
105      6.78090390e-05   -8.99653360e-01    8.99653360e-02
106      6.83640527e-05   -9.14328821e-01    9.14328821e-02
107      6.89190665e-05   -9.27892484e-01    9.27892484e-02
108      6.94740802e-05   -9.40327858e-01    9.40327858e-02
109      7.00290940e-05   -9.51619819e-01    9.51619819e-02
