Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
0        0.00000000e+00    4.65601775e-01    4.65601775e-01    0.00000000e+00    4.65601775e-01    0.00000000e+00   -6.63970746e+00   -4.65649056e-04   -4.65649056e-04    0.00000000e+00    4.65649056e-04    1.80000000e+02   -6.66388255e+01    4.65601775e-04    4.65601775e-04    0.00000000e+00    4.65601775e-04    0.00000000e+00   -6.66397075e+01
1        9.90099010e-07    5.61470724e-01    5.61470724e-01    0.00000000e+00    5.61470724e-01    0.00000000e+00   -5.01345768e+00   -5.61586867e-04   -5.61586867e-04    0.00000000e+00    5.61586867e-04    1.80000000e+02   -6.50116611e+01    5.61470724e-04    5.61470724e-04    0.00000000e+00    5.61470724e-04    0.00000000e+00   -6.50134577e+01
2        1.98019802e-06    6.54522786e-01    6.54522786e-01    0.00000000e+00    6.54522786e-01    0.00000000e+00   -3.68150460e+00   -6.54603043e-04   -6.54603043e-04    0.00000000e+00    6.54603043e-04    1.80000000e+02   -6.36804396e+01    6.54522786e-04    6.54522786e-04    0.00000000e+00    6.54522786e-04    0.00000000e+00   -6.36815046e+01
3        2.97029703e-06    7.48229002e-01    7.48229002e-01    0.00000000e+00    7.48229002e-01    0.00000000e+00   -2.51930925e+00   -7.48334686e-04   -7.48334686e-04    0.00000000e+00    7.48334686e-04    1.80000000e+02   -6.25180825e+01    7.48229002e-04    7.48229002e-04    0.00000000e+00    7.48229002e-04    0.00000000e+00   -6.25193092e+01
4        3.96039604e-06    8.42175377e-01    8.42175377e-01    0.00000000e+00    8.42175377e-01    0.00000000e+00   -1.49194920e+00   -8.42261082e-04   -8.42261082e-04    0.00000000e+00    8.42261082e-04    1.80000000e+02   -6.14910653e+01    8.42175377e-04    8.42175377e-04    0.00000000e+00    8.42175377e-04    0.00000000e+00   -6.14919492e+01
5        4.95049505e-06    9.36843603e-01    9.36843603e-01    0.00000000e+00    9.36843603e-01    0.00000000e+00   -5.66658088e-01   -9.36948419e-04   -9.36948419e-04    0.00000000e+00    9.36948419e-04    1.80000000e+02   -6.05656863e+01    9.36843603e-04    9.36843603e-04    0.00000000e+00    9.36843603e-04    0.00000000e+00   -6.05666581e+01
6        5.94059406e-06    1.03176725e+00    1.03176725e+00    0.00000000e+00    1.03176725e+00    0.00000000e+00    2.71634791e-01   -1.03185416e-03   -1.03185416e-03    0.00000000e+00    1.03185416e-03    1.80000000e+02   -5.97276336e+01    1.03176725e-03    1.03176725e-03    0.00000000e+00    1.03176725e-03    0.00000000e+00   -5.97283652e+01
7        6.93069307e-06    1.12721016e+00    1.12721016e+00    0.00000000e+00    1.12721016e+00    0.00000000e+00    1.04009790e+00   -1.12731687e-03   -1.12731687e-03    0.00000000e+00    1.12731687e-03    1.80000000e+02   -5.89590798e+01    1.12721016e-03    1.12721016e-03    0.00000000e+00    1.12721016e-03    0.00000000e+00   -5.89599021e+01
8        7.92079208e-06    1.22279892e+00    1.22279892e+00    0.00000000e+00    1.22279892e+00    0.00000000e+00    1.74710090e+00   -1.22288299e-03   -1.22288299e-03    0.00000000e+00    1.22288299e-03    1.80000000e+02   -5.82523019e+01    1.22279892e-03    1.22279892e-03    0.00000000e+00    1.22279892e-03    0.00000000e+00   -5.82528991e+01
9        8.91089109e-06    1.31882228e+00    1.31882228e+00    0.00000000e+00    1.31882228e+00    0.00000000e+00    2.40372548e+00   -1.31893841e-03   -1.31893841e-03    0.00000000e+00    1.31893841e-03    1.80000000e+02   -5.75955097e+01    1.31882228e-03    1.31882228e-03    0.00000000e+00    1.31882228e-03    0.00000000e+00   -5.75962745e+01
