Index       FREQ            Re(V(1))          Im(V(1))            VR(1)             VI(1)           Re(I(R1))         Im(I(R1))          IR(R1)            II(R1)      
0       -1.00000000e+05   -1.33965410e-03   -2.05759818e-03   -1.33965410e-03   -2.05759818e-03   -1.33965410e-06   -2.05759818e-06   -1.33965410e-06   -2.05759818e-06
1       -9.00000000e+04   -2.18531416e-03   -3.85972505e-03   -2.18531416e-03   -3.85972505e-03   -2.18531416e-06   -3.85972505e-06   -2.18531416e-06   -3.85972505e-06
2       -8.00000000e+04   -4.18243429e-03   -2.97626934e-03   -4.18243429e-03   -2.97626934e-03   -4.18243429e-06   -2.97626934e-06   -4.18243429e-06   -2.97626934e-06
3       -7.00000000e+04   -1.42951724e-02   -9.33096041e-03   -1.42951724e-02   -9.33096041e-03   -1.42951724e-05   -9.33096041e-06   -1.42951724e-05   -9.33096041e-06
4       -6.00000000e+04   -5.30328396e-03   -8.53011296e-04   -5.30328396e-03   -8.53011296e-04   -5.30328396e-06   -8.53011296e-07   -5.30328396e-06   -8.53011296e-07
5       -5.00000000e+04   -3.98926328e-02    5.51282505e-04   -3.98926328e-02    5.51282505e-04   -3.98926328e-05    5.51282505e-07   -3.98926328e-05    5.51282505e-07
6       -4.00000000e+04   -4.15657260e-03    9.31565635e-04   -4.15657260e-03    9.31565635e-04   -4.15657260e-06    9.31565635e-07   -4.15657260e-06    9.31565635e-07
7       -3.00000000e+04   -7.10908773e-02    5.18686773e-02   -7.10908773e-02    5.18686773e-02   -7.10908773e-05    5.18686773e-05   -7.10908773e-05    5.18686773e-05
8       -2.00000000e+04   -2.51356016e-03    1.03238804e-03   -2.51356016e-03    1.03238804e-03   -2.51356016e-06    1.03238804e-06   -2.51356016e-06    1.03238804e-06
9       -1.00000000e+04   -9.27680217e-02    2.85277615e-01   -9.27680217e-02    2.85277615e-01   -9.27680217e-05    2.85277615e-04   -9.27680217e-05    2.85277615e-04
10       0.00000000e+00    9.42058623e-01    0.00000000e+00    9.42058623e-01    0.00000000e+00    9.42058623e-04    0.00000000e+00    9.42058623e-04    0.00000000e+00
11       1.00000000e+04   -9.27680217e-02   -2.85277615e-01   -9.27680217e-02   -2.85277615e-01   -9.27680217e-05   -2.85277615e-04   -9.27680217e-05   -2.85277615e-04
12       2.00000000e+04   -2.51356016e-03   -1.03238804e-03   -2.51356016e-03   -1.03238804e-03   -2.51356016e-06   -1.03238804e-06   -2.51356016e-06   -1.03238804e-06
13       3.00000000e+04   -7.10908773e-02   -5.18686773e-02   -7.10908773e-02   -5.18686773e-02   -7.10908773e-05   -5.18686773e-05   -7.10908773e-05   -5.18686773e-05
14       4.00000000e+04   -4.15657260e-03   -9.31565635e-04   -4.15657260e-03   -9.31565635e-04   -4.15657260e-06   -9.31565635e-07   -4.15657260e-06   -9.31565635e-07
15       5.00000000e+04   -3.98926328e-02   -5.51282505e-04   -3.98926328e-02   -5.51282505e-04   -3.98926328e-05   -5.51282505e-07   -3.98926328e-05   -5.51282505e-07
16       6.00000000e+04   -5.30328396e-03    8.53011296e-04   -5.30328396e-03    8.53011296e-04   -5.30328396e-06    8.53011296e-07   -5.30328396e-06    8.53011296e-07
17       7.00000000e+04   -1.42951724e-02    9.33096041e-03   -1.42951724e-02    9.33096041e-03   -1.42951724e-05    9.33096041e-06   -1.42951724e-05    9.33096041e-06
18       8.00000000e+04   -4.18243429e-03    2.97626934e-03   -4.18243429e-03    2.97626934e-03   -4.18243429e-06    2.97626934e-06   -4.18243429e-06    2.97626934e-06
19       9.00000000e+04   -2.18531416e-03    3.85972505e-03   -2.18531416e-03    3.85972505e-03   -2.18531416e-06    3.85972505e-06   -2.18531416e-06    3.85972505e-06
20       1.00000000e+05   -1.33965410e-03    2.05759818e-03   -1.33965410e-03    2.05759818e-03   -1.33965410e-06    2.05759818e-06   -1.33965410e-06    2.05759818e-06
End of Xyce(TM) Simulation
