Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
0        0.00000000e+00    4.40811639e-01    4.40811639e-01    0.00000000e+00    4.40811639e-01    0.00000000e+00   -7.11493895e+00   -8.81623278e-04   -8.81623278e-04    0.00000000e+00    8.81623278e-04    1.80000000e+02   -6.10943390e+01    8.81623278e-04    8.81623278e-04    0.00000000e+00    8.81623278e-04    0.00000000e+00   -6.10943390e+01
1        1.00000000e-10    4.40821626e-01    4.40821626e-01    0.00000000e+00    4.40821626e-01    0.00000000e+00   -7.11474217e+00   -8.81743119e-04   -8.81743119e-04    0.00000000e+00    8.81743119e-04    1.80000000e+02   -6.10931584e+01    8.81643251e-04    8.81643251e-04    0.00000000e+00    8.81643251e-04    0.00000000e+00   -6.10941423e+01
2        3.00000000e-10    4.40841620e-01    4.40841620e-01    0.00000000e+00    4.40841620e-01    0.00000000e+00   -7.11434821e+00   -8.81783210e-04   -8.81783210e-04    0.00000000e+00    8.81783210e-04    1.80000000e+02   -6.10927635e+01    8.81683239e-04    8.81683239e-04    0.00000000e+00    8.81683239e-04    0.00000000e+00   -6.10937483e+01
3        7.00000000e-10    4.40881606e-01    4.40881606e-01    0.00000000e+00    4.40881606e-01    0.00000000e+00   -7.11356040e+00   -8.81863178e-04   -8.81863178e-04    0.00000000e+00    8.81863178e-04    1.80000000e+02   -6.10919758e+01    8.81763212e-04    8.81763212e-04    0.00000000e+00    8.81763212e-04    0.00000000e+00   -6.10929605e+01
4        1.50000000e-09    4.40961572e-01    4.40961572e-01    0.00000000e+00    4.40961572e-01    0.00000000e+00   -7.11198512e+00   -8.82023102e-04   -8.82023102e-04    0.00000000e+00    8.82023102e-04    1.80000000e+02   -6.10904008e+01    8.81923144e-04    8.81923144e-04    0.00000000e+00    8.81923144e-04    0.00000000e+00   -6.10913852e+01
5        3.10000000e-09    4.41121477e-01    4.41121477e-01    0.00000000e+00    4.41121477e-01    0.00000000e+00   -7.10883595e+00   -8.82342894e-04   -8.82342894e-04    0.00000000e+00    8.82342894e-04    1.80000000e+02   -6.10872522e+01    8.82242953e-04    8.82242953e-04    0.00000000e+00    8.82242953e-04    0.00000000e+00   -6.10882360e+01
6        6.30000000e-09    4.41441176e-01    4.41441176e-01    0.00000000e+00    4.41441176e-01    0.00000000e+00   -7.10254319e+00   -8.82982259e-04   -8.82982259e-04    0.00000000e+00    8.82982259e-04    1.80000000e+02   -6.10809604e+01    8.82882353e-04    8.82882353e-04    0.00000000e+00    8.82882353e-04    0.00000000e+00   -6.10819433e+01
7        1.27000000e-08    4.42080143e-01    4.42080143e-01    0.00000000e+00    4.42080143e-01    0.00000000e+00   -7.08997984e+00   -8.84260124e-04   -8.84260124e-04    0.00000000e+00    8.84260124e-04    1.80000000e+02   -6.10683992e+01    8.84160286e-04    8.84160286e-04    0.00000000e+00    8.84160286e-04    0.00000000e+00   -6.10693799e+01
8        2.55000000e-08    4.43356371e-01    4.43356371e-01    0.00000000e+00    4.43356371e-01    0.00000000e+00   -7.06494092e+00   -8.86812448e-04   -8.86812448e-04    0.00000000e+00    8.86812448e-04    1.80000000e+02   -6.10433644e+01    8.86712743e-04    8.86712743e-04    0.00000000e+00    8.86712743e-04    0.00000000e+00   -6.10443410e+01
9        5.11000000e-08    4.45902242e-01    4.45902242e-01    0.00000000e+00    4.45902242e-01    0.00000000e+00   -7.01520687e+00   -8.91903933e-04   -8.91903933e-04    0.00000000e+00    8.91903933e-04    1.80000000e+02   -6.09936384e+01    8.91804485e-04    8.91804485e-04    0.00000000e+00    8.91804485e-04    0.00000000e+00   -6.09946070e+01
10       7.67000000e-08    4.48441755e-01    4.48441755e-01    0.00000000e+00    4.48441755e-01    0.00000000e+00   -6.96587913e+00   -8.96982709e-04   -8.96982709e-04    0.00000000e+00    8.96982709e-04    1.80000000e+02   -6.09443186e+01    8.96883510e-04    8.96883510e-04    0.00000000e+00    8.96883510e-04    0.00000000e+00   -6.09452792e+01
