Index       FREQ              VM(1)      
0       -1.00000000e+05    2.46044322e-03
1       -9.00000000e+04    4.43625919e-03
2       -8.00000000e+04    5.14063064e-03
3       -7.00000000e+04    1.70770973e-02
4       -6.00000000e+04    5.37867757e-03
5       -5.00000000e+04    3.99131707e-02
6       -4.00000000e+04    4.26346590e-03
7       -3.00000000e+04    8.80409346e-02
8       -2.00000000e+04    2.71304839e-03
9       -1.00000000e+04    3.00119845e-01
10       0.00000000e+00    9.50198065e-01
11       1.00000000e+04    3.00119845e-01
12       2.00000000e+04    2.71304839e-03
13       3.00000000e+04    8.80409346e-02
14       4.00000000e+04    4.26346590e-03
15       5.00000000e+04    3.99131707e-02
16       6.00000000e+04    5.37867757e-03
17       7.00000000e+04    1.70770973e-02
18       8.00000000e+04    5.14063064e-03
19       9.00000000e+04    4.43625919e-03
20       1.00000000e+05    2.46044322e-03


0       -1.00000000e+05    2.46797277e-03
1       -9.00000000e+04    4.43743818e-03
2       -8.00000000e+04    5.15125561e-03
3       -7.00000000e+04    1.70860387e-02
4       -6.00000000e+04    5.38913655e-03
5       -5.00000000e+04    3.99376174e-02
6       -4.00000000e+04    4.26891681e-03
7       -3.00000000e+04    8.80983312e-02
8       -2.00000000e+04    2.70688012e-03
9       -1.00000000e+04    3.00320341e-01
10       0.00000000e+00    9.62474607e-01
11       1.00000000e+04    3.00320341e-01
12       2.00000000e+04    2.70688012e-03
13       3.00000000e+04    8.80983312e-02
14       4.00000000e+04    4.26891681e-03
15       5.00000000e+04    3.99376174e-02
16       6.00000000e+04    5.38913655e-03
17       7.00000000e+04    1.70860387e-02
18       8.00000000e+04    5.15125561e-03
19       9.00000000e+04    4.43743818e-03
20       1.00000000e+05    2.46797277e-03


0       -1.00000000e+05    2.47340782e-03
1       -9.00000000e+04    4.43827052e-03
2       -8.00000000e+04    5.15889441e-03
3       -7.00000000e+04    1.70925477e-02
4       -6.00000000e+04    5.39661208e-03
5       -5.00000000e+04    3.99553556e-02
6       -4.00000000e+04    4.27278686e-03
7       -3.00000000e+04    8.81398194e-02
8       -2.00000000e+04    2.70246446e-03
9       -1.00000000e+04    3.00464947e-01
10       0.00000000e+00    9.71647565e-01
11       1.00000000e+04    3.00464947e-01
12       2.00000000e+04    2.70246446e-03
13       3.00000000e+04    8.81398194e-02
14       4.00000000e+04    4.27278686e-03
15       5.00000000e+04    3.99553556e-02
16       6.00000000e+04    5.39661208e-03
17       7.00000000e+04    1.70925477e-02
18       8.00000000e+04    5.15889441e-03
19       9.00000000e+04    4.43827052e-03
20       1.00000000e+05    2.47340782e-03


0       -1.00000000e+05    2.47764093e-03
1       -9.00000000e+04    4.43890629e-03
2       -8.00000000e+04    5.16482237e-03
3       -7.00000000e+04    1.70976612e-02
4       -6.00000000e+04    5.40237945e-03
5       -5.00000000e+04    3.99692463e-02
6       -4.00000000e+04    4.27574915e-03
7       -3.00000000e+04    8.81721911e-02
8       -2.00000000e+04    2.69904462e-03
9       -1.00000000e+04    3.00577540e-01
10       0.00000000e+00    9.78974571e-01
11       1.00000000e+04    3.00577540e-01
12       2.00000000e+04    2.69904462e-03
13       3.00000000e+04    8.81721911e-02
14       4.00000000e+04    4.27574915e-03
15       5.00000000e+04    3.99692463e-02
16       6.00000000e+04    5.40237945e-03
17       7.00000000e+04    1.70976612e-02
18       8.00000000e+04    5.16482237e-03
19       9.00000000e+04    4.43890629e-03
20       1.00000000e+05    2.47764093e-03
End of Xyce(TM) Parameter Sweep
