Index       FREQ            Re(V(1))          Im(V(1))            VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)           Re(I(V1))         Im(I(V1))          IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)          Re(I(R1))         Im(I(R1))          IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
0       -5.00000000e+05   -7.08507061e-05   -1.02302118e-04   -7.08507061e-05   -1.02302118e-04    1.24440933e-04   -1.24705058e+02   -7.81007348e+01    1.42022804e-07    2.04381651e-07    1.42022804e-07    2.04381651e-07    2.48882173e-07    5.52049423e+01   -1.32080124e+02   -1.41701412e-07   -2.04604236e-07   -1.41701412e-07   -2.04604236e-07    2.48881866e-07   -1.24705058e+02   -1.32080135e+02
1       -4.90000000e+05   -9.04654326e-05   -1.33497179e-04   -9.04654326e-05   -1.33497179e-04    1.61262182e-04   -1.24123845e+02   -7.58493494e+01    1.81341871e-07    2.66715836e-07    1.81341871e-07    2.66715836e-07    3.22524745e-07    5.57879553e+01   -1.29828739e+02   -1.80930865e-07   -2.66994357e-07   -1.80930865e-07   -2.66994357e-07    3.22524363e-07   -1.24123845e+02   -1.29828749e+02
2       -4.80000000e+05   -2.67373389e-04   -1.71617442e-04   -2.67373389e-04   -1.71617442e-04    3.17712252e-04   -1.47305042e+02   -6.99593207e+01    5.35264363e-07    3.42428505e-07    5.35264363e-07    3.42428505e-07    6.35425227e-07    3.26085583e+01   -1.23938711e+02   -5.34746777e-07   -3.43234884e-07   -5.34746777e-07   -3.43234884e-07    6.35424505e-07   -1.47305042e+02   -1.23938721e+02
3       -4.70000000e+05   -3.58188173e-04   -2.08488558e-04   -3.58188173e-04   -2.08488558e-04    4.14446916e-04   -1.49797842e+02   -6.76506218e+01    7.16992033e-07    4.15919352e-07    7.16992033e-07    4.15919352e-07    8.28894735e-07    3.01175584e+01   -1.21630012e+02   -7.16376346e-07   -4.16977117e-07   -7.16376346e-07   -4.16977117e-07    8.28893832e-07   -1.49797842e+02   -1.21630022e+02
4       -4.60000000e+05   -3.80283955e-04   -8.19406840e-06   -3.80283955e-04   -8.19406840e-06    3.80372224e-04   -1.78765625e+02   -6.83958241e+01    7.60591592e-07    1.52890153e-08    7.60591592e-07    1.52890153e-08    7.60745243e-07    1.15157477e+00   -1.22375215e+02   -7.60567909e-07   -1.63881368e-08   -7.60567909e-07   -1.63881368e-08    7.60744448e-07   -1.78765625e+02   -1.22375224e+02
5       -4.50000000e+05   -5.43027751e-04    2.36898016e-05   -5.43027751e-04    2.36898016e-05    5.43544244e-04    1.77502033e+02   -6.52953020e+01    1.08598852e-06   -4.89149779e-08    1.08598852e-06   -4.89149779e-08    1.08708957e-06   -2.57896722e+00   -1.19274693e+02   -1.08605550e-06    4.73796031e-08   -1.08605550e-06    4.73796031e-08    1.08708849e-06    1.77502033e+02   -1.19274702e+02
6       -4.40000000e+05   -2.63644482e-04    1.51579250e-04   -2.63644482e-04    1.51579250e-04    3.04112943e-04    1.50103765e+02   -7.03393019e+01    5.26869908e-07   -3.03887373e-07    5.26869908e-07   -3.03887373e-07    6.08226467e-07   -2.99754352e+01   -1.24318694e+02   -5.27288964e-07    3.03158501e-07   -5.27288964e-07    3.03158501e-07    6.08225886e-07    1.50103765e+02   -1.24318702e+02
7       -4.30000000e+05   -3.83602791e-04    2.75057033e-04   -3.83602791e-04    2.75057033e-04    4.72024865e-04    1.44358112e+02   -6.65207025e+01    7.66462442e-07   -5.51150473e-07    7.66462442e-07   -5.51150473e-07    9.44050591e-07   -3.57192876e+01   -1.20500095e+02   -7.67205582e-07    5.50114066e-07   -7.67205582e-07    5.50114066e-07    9.44049729e-07    1.44358112e+02   -1.20500103e+02
8       -4.20000000e+05   -8.10552283e-05    1.07325111e-04   -8.10552283e-05    1.07325111e-04    1.34493976e-04    1.27061226e+02   -7.74259434e+01    1.61827232e-07   -2.14864122e-07    1.61827232e-07   -2.14864122e-07    2.68988186e-07   -5.30143741e+01   -1.31405336e+02   -1.62110457e-07    2.14650223e-07   -1.62110457e-07    2.14650223e-07    2.68987952e-07    1.27061226e+02   -1.31405343e+02
9       -4.10000000e+05   -8.63041593e-05    1.73364630e-04   -8.63041593e-05    1.73364630e-04    1.93658728e-04    1.16464982e+02   -7.42592585e+01    1.72161713e-07   -3.46951589e-07    1.72161713e-07   -3.46951589e-07    3.87317777e-07   -6.36088182e+01   -1.28238651e+02   -1.72608319e-07    3.46729261e-07   -1.72608319e-07    3.46729261e-07    3.87317456e-07    1.16464982e+02   -1.28238659e+02
