Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
0        0.00000000e+00    4.41112436e-01    4.41112436e-01    0.00000000e+00    4.41112436e-01    0.00000000e+00   -7.10901397e+00   -8.82272113e-04   -8.82272113e-04    0.00000000e+00    8.82272113e-04    1.80000000e+02   -6.10879490e+01    8.82224872e-04    8.82224872e-04    0.00000000e+00    8.82224872e-04    0.00000000e+00   -6.10884141e+01
1        9.90099010e-07    5.36798678e-01    5.36798678e-01    0.00000000e+00    5.36798678e-01    0.00000000e+00   -5.40377125e+00   -1.07371320e-03   -1.07371320e-03    0.00000000e+00    1.07371320e-03    1.80000000e+02   -5.93822342e+01    1.07359736e-03    1.07359736e-03    0.00000000e+00    1.07359736e-03    0.00000000e+00   -5.93831713e+01
2        1.98019802e-06    6.29564870e-01    6.29564870e-01    0.00000000e+00    6.29564870e-01    0.00000000e+00   -4.01919028e+00   -1.25920975e-03   -1.25920975e-03    0.00000000e+00    1.25920975e-03    1.80000000e+02   -5.79980384e+01    1.25912974e-03    1.25912974e-03    0.00000000e+00    1.25912974e-03    0.00000000e+00   -5.79985904e+01
3        2.97029703e-06    7.23058361e-01    7.23058361e-01    0.00000000e+00    7.23058361e-01    0.00000000e+00   -2.81653295e+00   -1.44622221e-03   -1.44622221e-03    0.00000000e+00    1.44622221e-03    1.80000000e+02   -5.67952995e+01    1.44611672e-03    1.44611672e-03    0.00000000e+00    1.44611672e-03    0.00000000e+00   -5.67959330e+01
4        3.96039604e-06    8.16824984e-01    8.16824984e-01    0.00000000e+00    8.16824984e-01    0.00000000e+00   -1.75741974e+00   -1.63373552e-03   -1.63373552e-03    0.00000000e+00    1.63373552e-03    1.80000000e+02   -5.57363650e+01    1.63364997e-03    1.63364997e-03    0.00000000e+00    1.63364997e-03    0.00000000e+00   -5.57368198e+01
5        4.95049505e-06    9.11354770e-01    9.11354770e-01    0.00000000e+00    9.11354770e-01    0.00000000e+00   -8.06250585e-01   -1.82281422e-03   -1.82281422e-03    0.00000000e+00    1.82281422e-03    1.80000000e+02   -5.47851518e+01    1.82270954e-03    1.82270954e-03    0.00000000e+00    1.82270954e-03    0.00000000e+00   -5.47856507e+01
6        5.94059406e-06    1.00615842e+00    1.00615842e+00    0.00000000e+00    1.00615842e+00    0.00000000e+00    5.33272821e-02   -2.01240363e-03   -2.01240363e-03    0.00000000e+00    2.01240363e-03    1.80000000e+02   -5.39256982e+01    2.01231683e-03    2.01231683e-03    0.00000000e+00    2.01231683e-03    0.00000000e+00   -5.39260728e+01
7        6.93069307e-06    1.10150427e+00    1.10150427e+00    0.00000000e+00    1.10150427e+00    0.00000000e+00    8.39723731e-01   -2.20311516e-03   -2.20311516e-03    0.00000000e+00    2.20311516e-03    1.80000000e+02   -5.31392560e+01    2.20300855e-03    2.20300855e-03    0.00000000e+00    2.20300855e-03    0.00000000e+00   -5.31396764e+01
8        7.92079208e-06    1.19700569e+00    1.19700569e+00    0.00000000e+00    1.19700569e+00    0.00000000e+00    1.56192432e+00   -2.39409539e-03   -2.39409539e-03    0.00000000e+00    2.39409539e-03    1.80000000e+02   -5.24171710e+01    2.39401139e-03    2.39401139e-03    0.00000000e+00    2.39401139e-03    0.00000000e+00   -5.24174758e+01
9        8.91089109e-06    1.29295707e+00    1.29295707e+00    0.00000000e+00    1.29295707e+00    0.00000000e+00    2.23168209e+00   -2.58603020e-03   -2.58603020e-03    0.00000000e+00    2.58603020e-03    1.80000000e+02   -5.17473282e+01    2.58591414e-03    2.58591414e-03    0.00000000e+00    2.58591414e-03    0.00000000e+00   -5.17477180e+01
10       9.90099010e-06    1.38888097e+00    1.38888097e+00    0.00000000e+00    1.38888097e+00    0.00000000e+00    2.85330057e+00   -2.77781348e-03   -2.77781348e-03    0.00000000e+00    2.77781348e-03    1.80000000e+02   -5.11259384e+01    2.77776195e-03    2.77776195e-03    0.00000000e+00    2.77776195e-03    0.00000000e+00   -5.11260995e+01
11       1.08910891e-05    1.39708570e+00    1.39708570e+00    0.00000000e+00    1.39708570e+00    0.00000000e+00    2.90446095e+00   -2.79416069e-03   -2.79416069e-03    0.00000000e+00    2.79416069e-03    1.80000000e+02   -5.10749724e+01    2.79417140e-03    2.79417140e-03    0.00000000e+00    2.79417140e-03    0.00000000e+00   -5.10749391e+01
12       1.18811881e-05    1.39667193e+00    1.39667193e+00    0.00000000e+00    1.39667193e+00    0.00000000e+00    2.90188812e+00   -2.79334963e-03   -2.79334963e-03    0.00000000e+00    2.79334963e-03    1.80000000e+02   -5.10774940e+01    2.79334387e-03    2.79334387e-03    0.00000000e+00    2.79334387e-03    0.00000000e+00   -5.10775120e+01
13       1.28712871e-05    1.39651052e+00    1.39651052e+00    0.00000000e+00    1.39651052e+00    0.00000000e+00    2.90088423e+00   -2.79301709e-03   -2.79301709e-03    0.00000000e+00    2.79301709e-03    1.80000000e+02   -5.10785281e+01    2.79302104e-03    2.79302104e-03    0.00000000e+00    2.79302104e-03    0.00000000e+00   -5.10785159e+01
14       1.38613861e-05    1.39649462e+00    1.39649462e+00    0.00000000e+00    1.39649462e+00    0.00000000e+00    2.90078535e+00   -2.79299191e-03   -2.79299191e-03    0.00000000e+00    2.79299191e-03    1.80000000e+02   -5.10786065e+01    2.79298924e-03    2.79298924e-03    0.00000000e+00    2.79298924e-03    0.00000000e+00   -5.10786147e+01
15       1.48514851e-05    1.39646996e+00    1.39646996e+00    0.00000000e+00    1.39646996e+00    0.00000000e+00    2.90063195e+00   -2.79293797e-03   -2.79293797e-03    0.00000000e+00    2.79293797e-03    1.80000000e+02   -5.10787742e+01    2.79293992e-03    2.79293992e-03    0.00000000e+00    2.79293992e-03    0.00000000e+00   -5.10787681e+01
16       1.58415842e-05    1.39647756e+00    1.39647756e+00    0.00000000e+00    1.39647756e+00    0.00000000e+00    2.90067924e+00   -2.79295657e-03   -2.79295657e-03    0.00000000e+00    2.79295657e-03    1.80000000e+02   -5.10787164e+01    2.79295512e-03    2.79295512e-03    0.00000000e+00    2.79295512e-03    0.00000000e+00   -5.10787208e+01
17       1.68316832e-05    1.39646890e+00    1.39646890e+00    0.00000000e+00    1.39646890e+00    0.00000000e+00    2.90062535e+00   -2.79293670e-03   -2.79293670e-03    0.00000000e+00    2.79293670e-03    1.80000000e+02   -5.10787782e+01    2.79293779e-03    2.79293779e-03    0.00000000e+00    2.79293779e-03    0.00000000e+00   -5.10787747e+01
18       1.78217822e-05    1.39647465e+00    1.39647465e+00    0.00000000e+00    1.39647465e+00    0.00000000e+00    2.90066113e+00   -2.79295014e-03   -2.79295014e-03    0.00000000e+00    2.79295014e-03    1.80000000e+02   -5.10787363e+01    2.79294930e-03    2.79294930e-03    0.00000000e+00    2.79294930e-03    0.00000000e+00   -5.10787390e+01
19       1.88118812e-05    1.39646998e+00    1.39646998e+00    0.00000000e+00    1.39646998e+00    0.00000000e+00    2.90063210e+00   -2.79293932e-03   -2.79293932e-03    0.00000000e+00    2.79293932e-03    1.80000000e+02   -5.10787700e+01    2.79293997e-03    2.79293997e-03    0.00000000e+00    2.79293997e-03    0.00000000e+00   -5.10787680e+01
20       1.98019802e-05    1.39647352e+00    1.39647352e+00    0.00000000e+00    1.39647352e+00    0.00000000e+00    2.90065409e+00   -2.79294754e-03   -2.79294754e-03    0.00000000e+00    2.79294754e-03    1.80000000e+02   -5.10787444e+01    2.79294704e-03    2.79294704e-03    0.00000000e+00    2.79294704e-03    0.00000000e+00   -5.10787460e+01
21       2.07920792e-05    1.39647078e+00    1.39647078e+00    0.00000000e+00    1.39647078e+00    0.00000000e+00    2.90063705e+00   -2.79294117e-03   -2.79294117e-03    0.00000000e+00    2.79294117e-03    1.80000000e+02   -5.10787642e+01    2.79294156e-03    2.79294156e-03    0.00000000e+00    2.79294156e-03    0.00000000e+00   -5.10787630e+01
22       2.17821782e-05    1.39647286e+00    1.39647286e+00    0.00000000e+00    1.39647286e+00    0.00000000e+00    2.90064999e+00   -2.79294601e-03   -2.79294601e-03    0.00000000e+00    2.79294601e-03    1.80000000e+02   -5.10787492e+01    2.79294572e-03    2.79294572e-03    0.00000000e+00    2.79294572e-03    0.00000000e+00   -5.10787501e+01
23       2.27722772e-05    1.39647131e+00    1.39647131e+00    0.00000000e+00    1.39647131e+00    0.00000000e+00    2.90064034e+00   -2.79294241e-03   -2.79294241e-03    0.00000000e+00    2.79294241e-03    1.80000000e+02   -5.10787604e+01    2.79294262e-03    2.79294262e-03    0.00000000e+00    2.79294262e-03    0.00000000e+00   -5.10787597e+01
