Index       FREQ            Re(V(1))          Im(V(1))          Re(I(V1))         Im(I(V1))    
0       -1.00000000e+05   -4.37995443e-17    2.05332433e-17    9.84546099e-18   -7.43831909e-18
1       -9.00000000e+04   -5.60295354e-17   -6.13260324e-17    9.16172012e-18    8.52581013e-18
2       -8.00000000e+04   -3.89870207e-17    1.70766077e-17    2.91961669e-19    1.03772124e-18
3       -7.00000000e+04   -2.52852040e-17   -7.13743843e-17    6.68494284e-18    1.31084701e-17
4       -6.00000000e+04   -3.06697925e-17   -5.43795152e-17    7.07555738e-18    6.59309270e-18
5       -5.00000000e+04    1.51244085e-17   -6.95058296e-17   -2.82801802e-18    6.52143901e-18
6       -4.00000000e+04   -4.73067901e-18   -4.08796100e-17   -3.95627914e-18    1.01606896e-17
7       -3.00000000e+04    3.84594251e-17   -4.01627554e-17   -8.69215946e-18    5.24709779e-18
8       -2.00000000e+04    3.62627510e-17   -4.20674678e-17   -4.32873541e-18    5.92467783e-18
9       -1.00000000e+04    1.16924428e-16    5.00000000e-01   -1.22004773e-17   -7.50000000e-02
10       0.00000000e+00   -1.45378382e-17    0.00000000e+00   -2.11530597e-18    0.00000000e+00
11       1.00000000e+04    1.16924428e-16   -5.00000000e-01   -1.22004773e-17    7.50000000e-02
12       2.00000000e+04    3.62627510e-17    4.20674678e-17   -4.32873541e-18   -5.92467783e-18
13       3.00000000e+04    3.84594251e-17    4.01627554e-17   -8.69215946e-18   -5.24709779e-18
14       4.00000000e+04   -4.73067901e-18    4.08796100e-17   -3.95627914e-18   -1.01606896e-17
15       5.00000000e+04    1.51244085e-17    6.95058296e-17   -2.82801802e-18   -6.52143901e-18
16       6.00000000e+04   -3.06697925e-17    5.43795152e-17    7.07555738e-18   -6.59309270e-18
17       7.00000000e+04   -2.52852040e-17    7.13743843e-17    6.68494284e-18   -1.31084701e-17
18       8.00000000e+04   -3.89870207e-17   -1.70766077e-17    2.91961669e-19   -1.03772124e-18
19       9.00000000e+04   -5.60295354e-17    6.13260324e-17    9.16172012e-18   -8.52581013e-18
20       1.00000000e+05   -4.37995443e-17   -2.05332433e-17    9.84546099e-18    7.43831909e-18
End of Xyce(TM) Simulation
