Index    FREQ    Re(V(1))    Im(V(1))    VR(1)    VI(1)    VM(1)    VP(1)    VDB(1)    Re(I(V1))    Im(I(V1))    IR(V1)    II(V1)    IM(V1)    IP(V1)    IDB(V1)    
0   -5.00000000e+005   -7.11116631e-005   -1.02416073e-004   -7.11116631e-005   -1.02416073e-004   1.24683281e-004   -2.17771410e+000   -7.80838355e+001   7.14334127e-008   1.02192669e-007   7.14334127e-008   1.02192669e-007   1.24683896e-007   9.60736973e-001   -1.38083793e+002   
1   -4.90000000e+005   -9.06982043e-005   -1.33635240e-004   -9.06982043e-005   -1.33635240e-004   1.61507095e-004   -2.16708333e+000   -7.58361679e+001   9.11096352e-008   1.33356002e-007   9.11096352e-008   1.33356002e-007   1.61507860e-007   9.71430575e-001   -1.35836127e+002   
2   -4.80000000e+005   -2.67670163e-004   -1.71964350e-004   -2.67670163e-004   -1.71964350e-004   3.18149420e-004   -2.57054423e+000   -6.99473773e+001   2.68188795e-007   1.71157075e-007   2.68188795e-007   1.71157075e-007   3.18150867e-007   5.68032503e-001   -1.29947338e+002   
3   -4.70000000e+005   -3.58345304e-004   -2.08835243e-004   -3.58345304e-004   -2.08835243e-004   4.14757176e-004   -2.61393372e+000   -6.76441218e+001   3.58962014e-007   2.07777014e-007   3.58962014e-007   2.07777014e-007   4.14758985e-007   5.24705842e-001   -1.27644084e+002   
4   -4.60000000e+005   -3.80674631e-004   -8.48927964e-006   -3.80674631e-004   -8.48927964e-006   3.80769277e-004   -3.11929573e+000   -6.83867620e+001   3.80699167e-007   7.38902899e-009   3.80699167e-007   7.38902899e-009   3.80770868e-007   1.94066654e-002   -1.28386726e+002   
5   -4.50000000e+005   -5.43341443e-004   2.31747972e-005   -5.43341443e-004   2.31747972e-005   5.43835448e-004   3.09896613e+000   -6.52906498e+001   5.43275918e-007   -2.47110589e-008   5.43275918e-007   -2.47110589e-008   5.43837622e-007   -4.54539537e-002   -1.25290615e+002   
6   -4.40000000e+005   -2.63933088e-004   1.51364462e-004   -2.63933088e-004   1.51364462e-004   3.04256266e-004   2.62088971e+000   -7.03352094e+001   2.63514625e-007   -1.52094132e-007   2.63514625e-007   -1.52094132e-007   3.04257428e-007   -5.23467537e-001   -1.30335176e+002   
7   -4.30000000e+005   -3.84125333e-004   2.74632056e-004   -3.84125333e-004   2.74632056e-004   4.72202327e-004   2.52090060e+000   -6.65174375e+001   3.83383341e-007   -2.75669874e-007   3.83383341e-007   -2.75669874e-007   4.72204051e-007   -6.23393817e-001   -1.26517406e+002   
8   -4.20000000e+005   -8.12114930e-005   1.06962193e-004   -8.12114930e-005   1.06962193e-004   1.34298985e-004   2.22019386e+000   -7.74385454e+001   8.09292265e-008   -1.07176505e-007   8.09292265e-008   -1.07176505e-007   1.34299453e-007   -9.24037730e-001   -1.37438515e+002   
9   -4.10000000e+005   -8.67658009e-005   1.73152399e-004   -8.67658009e-005   1.73152399e-004   1.93675134e-004   2.03531955e+000   -7.42585227e+001   8.63197420e-008   -1.73375917e-007   8.63197420e-008   -1.73375917e-007   1.93675776e-007   -1.10884920e+000   -1.34258494e+002   
