Index    TIME    V(1)    VR(1)    VI(1)    I(V1)    
0   0.00000000e-001   4.65316936e-001   4.65316936e-001   0.00000000e-001   -4.65316936e-004   
1   1.00000000e-010   4.65326924e-001   4.65326924e-001   0.00000000e-001   -4.65426798e-004   
2   3.00000000e-010   4.65346919e-001   4.65346919e-001   0.00000000e-001   -4.65446896e-004   
3   7.00000000e-010   4.65386908e-001   4.65386908e-001   0.00000000e-001   -4.65486881e-004   
4   1.50000000e-009   4.65466880e-001   4.65466880e-001   0.00000000e-001   -4.65566845e-004   
5   3.10000000e-009   4.65626798e-001   4.65626798e-001   0.00000000e-001   -4.65726746e-004   
6   6.30000000e-009   4.65946530e-001   4.65946530e-001   0.00000000e-001   -4.66046447e-004   
7   1.27000000e-008   4.66585587e-001   4.66585587e-001   0.00000000e-001   -4.66685439e-004   
8   2.55000000e-008   4.67862095e-001   4.67862095e-001   0.00000000e-001   -4.67961822e-004   
9   5.11000000e-008   4.70408904e-001   4.70408904e-001   0.00000000e-001   -4.70508388e-004   
10   7.67000000e-008   4.72949718e-001   4.72949718e-001   0.00000000e-001   -4.73048968e-004   
11   1.02300000e-007   4.75484743e-001   4.75484743e-001   0.00000000e-001   -4.75583768e-004   
12   1.27900000e-007   4.78014183e-001   4.78014183e-001   0.00000000e-001   -4.78112990e-004   
13   1.53500000e-007   4.80538236e-001   4.80538236e-001   0.00000000e-001   -4.80636832e-004   
14   2.04700000e-007   4.85566218e-001   4.85566218e-001   0.00000000e-001   -4.85664421e-004   
15   2.50780000e-007   4.90076201e-001   4.90076201e-001   0.00000000e-001   -4.90174074e-004   
16   2.96860000e-007   4.94571975e-001   4.94571975e-001   0.00000000e-001   -4.94669540e-004   
17   3.42940000e-007   4.99054496e-001   4.99054496e-001   0.00000000e-001   -4.99151773e-004   
18   3.89020000e-007   5.03524676e-001   5.03524676e-001   0.00000000e-001   -5.03621685e-004   
19   4.35100000e-007   5.07983379e-001   5.07983379e-001   0.00000000e-001   -5.08080139e-004   
20   4.81180000e-007   5.12431427e-001   5.12431427e-001   0.00000000e-001   -5.12527956e-004   
