      FREQ             INOISE            ONOISE      
   1.00000000e+02    3.32178129e-15    8.30445314e-16
   1.58489319e+02    3.32178129e-15    8.30445301e-16
   2.51188643e+02    3.32178129e-15    8.30445270e-16
   3.98107171e+02    3.32178129e-15    8.30445191e-16
   6.30957344e+02    3.32178129e-15    8.30444992e-16
   1.00000000e+03    3.32178129e-15    8.30444493e-16
   1.58489319e+03    3.32178129e-15    8.30443240e-16
   2.51188643e+03    3.32178129e-15    8.30440093e-16
   3.98107171e+03    3.32178129e-15    8.30432186e-16
   6.30957344e+03    3.32178129e-15    8.30412327e-16
   1.00000000e+04    3.32178129e-15    8.30362448e-16
   1.58489319e+04    3.32178129e-15    8.30237182e-16
   2.51188643e+04    3.32178129e-15    8.29922696e-16
   3.98107171e+04    3.32178129e-15    8.29133791e-16
   6.30957344e+04    3.32178129e-15    8.27158753e-16
   1.00000000e+05    3.32178129e-15    8.22238935e-16
   1.58489319e+05    3.32178129e-15    8.10135248e-16
   2.51188643e+05    3.32178129e-15    7.81247847e-16
   3.98107171e+05    3.32178129e-15    7.17025585e-16
   6.30957344e+05    3.32178129e-15    5.94307639e-16
   1.00000000e+06    3.32178129e-15    4.15627092e-16
   1.58489319e+06    3.32178129e-15    2.36796635e-16
   2.51188643e+06    3.32178129e-15    1.13801814e-16
   3.98107171e+06    3.32178129e-15    4.93781056e-17
   6.30957344e+06    3.32178129e-15    2.03874112e-17
   1.00000000e+07    3.32178129e-15    8.23810455e-18
   1.58489319e+07    3.32178129e-15    3.29934838e-18
   2.51188643e+07    3.32178129e-15    1.31664275e-18
   3.98107171e+07    3.32178129e-15    5.24665598e-19
   6.30957344e+07    3.32178129e-15    2.08952595e-19
   1.00000000e+08    3.32178129e-15    8.31981263e-20
End of Xyce(TM) Simulation
