Index       TIME              VR(1)            {VR(1)}            VI(1)            {VI(1)}            VM(1)            {VM(1)}            VP(1)            {VP(1)}           VDB(1)           {VDB(1)}           IR(V1)           {IR(V1)}           II(V1)           {II(V1)}           IM(V1)           {IM(V1)}           IP(V1)           {IP(V1)}           IDB(V1)          {IDB(V1)}    
147      0.00000000e+00    4.65316936e-01    4.65316936e-01    0.00000000e+00    0.00000000e+00    4.65316936e-01    4.65316936e-01    0.00000000e+00    0.00000000e+00   -6.64502280e+00   -6.64502280e+00   -4.65316936e-04   -4.65316936e-04    0.00000000e+00    0.00000000e+00    4.65316936e-04    4.65316936e-04    1.80000000e+02    1.80000000e+02   -6.66450228e+01   -6.66450228e+01
148      1.00000000e-10    4.65326924e-01    4.65326924e-01    0.00000000e+00    0.00000000e+00    4.65326924e-01    4.65326924e-01    0.00000000e+00    0.00000000e+00   -6.64483637e+00   -6.64483637e+00   -4.65426798e-04   -4.65426798e-04    0.00000000e+00    0.00000000e+00    4.65426798e-04    4.65426798e-04    1.80000000e+02    1.80000000e+02   -6.66429723e+01   -6.66429723e+01
149      3.00000000e-10    4.65346919e-01    4.65346919e-01    0.00000000e+00    0.00000000e+00    4.65346919e-01    4.65346919e-01    0.00000000e+00    0.00000000e+00   -6.64446314e+00   -6.64446314e+00   -4.65446896e-04   -4.65446896e-04    0.00000000e+00    0.00000000e+00    4.65446896e-04    4.65446896e-04    1.80000000e+02    1.80000000e+02   -6.66425972e+01   -6.66425972e+01
150      7.00000000e-10    4.65386908e-01    4.65386908e-01    0.00000000e+00    0.00000000e+00    4.65386908e-01    4.65386908e-01    0.00000000e+00    0.00000000e+00   -6.64371676e+00   -6.64371676e+00   -4.65486881e-04   -4.65486881e-04    0.00000000e+00    0.00000000e+00    4.65486881e-04    4.65486881e-04    1.80000000e+02    1.80000000e+02   -6.66418511e+01   -6.66418511e+01
151      1.50000000e-09    4.65466880e-01    4.65466880e-01    0.00000000e+00    0.00000000e+00    4.65466880e-01    4.65466880e-01    0.00000000e+00    0.00000000e+00   -6.64222431e+00   -6.64222431e+00   -4.65566845e-04   -4.65566845e-04    0.00000000e+00    0.00000000e+00    4.65566845e-04    4.65566845e-04    1.80000000e+02    1.80000000e+02   -6.66403591e+01   -6.66403591e+01
152      3.10000000e-09    4.65626798e-01    4.65626798e-01    0.00000000e+00    0.00000000e+00    4.65626798e-01    4.65626798e-01    0.00000000e+00    0.00000000e+00   -6.63924066e+00   -6.63924066e+00   -4.65726746e-04   -4.65726746e-04    0.00000000e+00    0.00000000e+00    4.65726746e-04    4.65726746e-04    1.80000000e+02    1.80000000e+02   -6.66373764e+01   -6.66373764e+01
153      6.30000000e-09    4.65946530e-01    4.65946530e-01    0.00000000e+00    0.00000000e+00    4.65946530e-01    4.65946530e-01    0.00000000e+00    0.00000000e+00   -6.63327836e+00   -6.63327836e+00   -4.66046447e-04   -4.66046447e-04    0.00000000e+00    0.00000000e+00    4.66046447e-04    4.66046447e-04    1.80000000e+02    1.80000000e+02   -6.66314160e+01   -6.66314160e+01
154      1.27000000e-08    4.66585587e-01    4.66585587e-01    0.00000000e+00    0.00000000e+00    4.66585587e-01    4.66585587e-01    0.00000000e+00    0.00000000e+00   -6.62137362e+00   -6.62137362e+00   -4.66685439e-04   -4.66685439e-04    0.00000000e+00    0.00000000e+00    4.66685439e-04    4.66685439e-04    1.80000000e+02    1.80000000e+02   -6.66195150e+01   -6.66195150e+01
155      2.55000000e-08    4.67862095e-01    4.67862095e-01    0.00000000e+00    0.00000000e+00    4.67862095e-01    4.67862095e-01    0.00000000e+00    0.00000000e+00   -6.59764278e+00   -6.59764278e+00   -4.67961822e-04   -4.67961822e-04    0.00000000e+00    0.00000000e+00    4.67961822e-04    4.67961822e-04    1.80000000e+02    1.80000000e+02   -6.65957915e+01   -6.65957915e+01
156      5.11000000e-08    4.70408904e-01    4.70408904e-01    0.00000000e+00    0.00000000e+00    4.70408904e-01    4.70408904e-01    0.00000000e+00    0.00000000e+00   -6.55048933e+00   -6.55048933e+00   -4.70508388e-04   -4.70508388e-04    0.00000000e+00    0.00000000e+00    4.70508388e-04    4.70508388e-04    1.80000000e+02    1.80000000e+02   -6.65486526e+01   -6.65486526e+01
