Index       FREQ              VR(1)            {VR(1)}            VI(1)            {VI(1)}            VM(1)            {VM(1)}            VP(1)            {VP(1)}           VDB(1)           {VDB(1)}           IR(V1)           {IR(V1)}           II(V1)           {II(V1)}           IM(V1)           {IM(V1)}           IP(V1)           {IP(V1)}           IDB(V1)          {IDB(V1)}    
0       -5.00000000e+05   -7.11116631e-05   -7.11116631e-05   -1.02416073e-04   -1.02416073e-04    1.24683281e-04    1.24683281e-04   -2.17771410e+00   -2.17771410e+00   -7.80838355e+01   -7.80838355e+01    7.14334127e-08    7.14334127e-08    1.02192669e-07    1.02192669e-07    1.24683896e-07    1.24683896e-07    9.60736973e-01    9.60736973e-01   -1.38083793e+02   -1.38083793e+02
1       -4.90000000e+05   -9.06982043e-05   -9.06982043e-05   -1.33635240e-04   -1.33635240e-04    1.61507095e-04    1.61507095e-04   -2.16708333e+00   -2.16708333e+00   -7.58361679e+01   -7.58361679e+01    9.11096352e-08    9.11096352e-08    1.33356002e-07    1.33356002e-07    1.61507860e-07    1.61507860e-07    9.71430575e-01    9.71430575e-01   -1.35836127e+02   -1.35836127e+02
2       -4.80000000e+05   -2.67670163e-04   -2.67670163e-04   -1.71964350e-04   -1.71964350e-04    3.18149420e-04    3.18149420e-04   -2.57054423e+00   -2.57054423e+00   -6.99473773e+01   -6.99473773e+01    2.68188795e-07    2.68188795e-07    1.71157075e-07    1.71157075e-07    3.18150867e-07    3.18150867e-07    5.68032503e-01    5.68032503e-01   -1.29947338e+02   -1.29947338e+02
3       -4.70000000e+05   -3.58345304e-04   -3.58345304e-04   -2.08835243e-04   -2.08835243e-04    4.14757176e-04    4.14757176e-04   -2.61393372e+00   -2.61393372e+00   -6.76441218e+01   -6.76441218e+01    3.58962014e-07    3.58962014e-07    2.07777014e-07    2.07777014e-07    4.14758985e-07    4.14758985e-07    5.24705842e-01    5.24705842e-01   -1.27644084e+02   -1.27644084e+02
4       -4.60000000e+05   -3.80674631e-04   -3.80674631e-04   -8.48927964e-06   -8.48927964e-06    3.80769277e-04    3.80769277e-04   -3.11929573e+00   -3.11929573e+00   -6.83867620e+01   -6.83867620e+01    3.80699167e-07    3.80699167e-07    7.38902899e-09    7.38902899e-09    3.80770868e-07    3.80770868e-07    1.94066654e-02    1.94066654e-02   -1.28386726e+02   -1.28386726e+02
5       -4.50000000e+05   -5.43341443e-04   -5.43341443e-04    2.31747972e-05    2.31747972e-05    5.43835448e-04    5.43835448e-04    3.09896613e+00    3.09896613e+00   -6.52906498e+01   -6.52906498e+01    5.43275918e-07    5.43275918e-07   -2.47110589e-08   -2.47110589e-08    5.43837622e-07    5.43837622e-07   -4.54539537e-02   -4.54539537e-02   -1.25290615e+02   -1.25290615e+02
6       -4.40000000e+05   -2.63933088e-04   -2.63933088e-04    1.51364462e-04    1.51364462e-04    3.04256266e-04    3.04256266e-04    2.62088971e+00    2.62088971e+00   -7.03352094e+01   -7.03352094e+01    2.63514625e-07    2.63514625e-07   -1.52094132e-07   -1.52094132e-07    3.04257428e-07    3.04257428e-07   -5.23467537e-01   -5.23467537e-01   -1.30335176e+02   -1.30335176e+02
7       -4.30000000e+05   -3.84125333e-04   -3.84125333e-04    2.74632056e-04    2.74632056e-04    4.72202327e-04    4.72202327e-04    2.52090060e+00    2.52090060e+00   -6.65174375e+01   -6.65174375e+01    3.83383341e-07    3.83383341e-07   -2.75669874e-07   -2.75669874e-07    4.72204051e-07    4.72204051e-07   -6.23393817e-01   -6.23393817e-01   -1.26517406e+02   -1.26517406e+02
8       -4.20000000e+05   -8.12114930e-05   -8.12114930e-05    1.06962193e-04    1.06962193e-04    1.34298985e-04    1.34298985e-04    2.22019386e+00    2.22019386e+00   -7.74385454e+01   -7.74385454e+01    8.09292265e-08    8.09292265e-08   -1.07176505e-07   -1.07176505e-07    1.34299453e-07    1.34299453e-07   -9.24037730e-01   -9.24037730e-01   -1.37438515e+02   -1.37438515e+02
9       -4.10000000e+05   -8.67658009e-05   -8.67658009e-05    1.73152399e-04    1.73152399e-04    1.93675134e-04    1.93675134e-04    2.03531955e+00    2.03531955e+00   -7.42585227e+01   -7.42585227e+01    8.63197420e-08    8.63197420e-08   -1.73375917e-07   -1.73375917e-07    1.93675776e-07    1.93675776e-07   -1.10884920e+00   -1.10884920e+00   -1.34258494e+02   -1.34258494e+02
