      V(1)              R1:R              R2:R             {V(2)}       d{V(2)}/d(R2:R)_Dir
   1.00000000e+00    1.00000000e+00    1.00000000e+00    5.00000000e-01    2.50000000e-01
   2.00000000e+00    1.00000000e+00    1.00000000e+00    1.00000000e+00    5.00000000e-01
   3.00000000e+00    1.00000000e+00    1.00000000e+00    1.50000000e+00    7.50000000e-01
   4.00000000e+00    1.00000000e+00    1.00000000e+00    2.00000000e+00    1.00000000e+00
   5.00000000e+00    1.00000000e+00    1.00000000e+00    2.50000000e+00    1.25000000e+00
   6.00000000e+00    1.00000000e+00    1.00000000e+00    3.00000000e+00    1.50000000e+00
   7.00000000e+00    1.00000000e+00    1.00000000e+00    3.50000000e+00    1.75000000e+00
   8.00000000e+00    1.00000000e+00    1.00000000e+00    4.00000000e+00    2.00000000e+00
   9.00000000e+00    1.00000000e+00    1.00000000e+00    4.50000000e+00    2.25000000e+00
   1.00000000e+01    1.00000000e+00    1.00000000e+00    5.00000000e+00    2.50000000e+00
   1.10000000e+01    1.00000000e+00    1.00000000e+00    5.50000000e+00    2.75000000e+00
   1.20000000e+01    1.00000000e+00    1.00000000e+00    6.00000000e+00    3.00000000e+00
   1.30000000e+01    1.00000000e+00    1.00000000e+00    6.50000000e+00    3.25000000e+00
   1.40000000e+01    1.00000000e+00    1.00000000e+00    7.00000000e+00    3.50000000e+00
   1.50000000e+01    1.00000000e+00    1.00000000e+00    7.50000000e+00    3.75000000e+00
   1.60000000e+01    1.00000000e+00    1.00000000e+00    8.00000000e+00    4.00000000e+00
   1.70000000e+01    1.00000000e+00    1.00000000e+00    8.50000000e+00    4.25000000e+00
   1.80000000e+01    1.00000000e+00    1.00000000e+00    9.00000000e+00    4.50000000e+00
   1.90000000e+01    1.00000000e+00    1.00000000e+00    9.50000000e+00    4.75000000e+00
   2.00000000e+01    1.00000000e+00    1.00000000e+00    1.00000000e+01    5.00000000e+00
   2.10000000e+01    1.00000000e+00    1.00000000e+00    1.05000000e+01    5.25000000e+00
   2.20000000e+01    1.00000000e+00    1.00000000e+00    1.10000000e+01    5.50000000e+00
   2.30000000e+01    1.00000000e+00    1.00000000e+00    1.15000000e+01    5.75000000e+00
   2.40000000e+01    1.00000000e+00    1.00000000e+00    1.20000000e+01    6.00000000e+00
   2.50000000e+01    1.00000000e+00    1.00000000e+00    1.25000000e+01    6.25000000e+00
End of Xyce(TM) Sensitivity Simulation
