Index       FREQ           Re(S(1,1))        Im(S(1,1))    
0       -1.00000000e+05    3.33333281e-01    2.20963282e-04
1       -8.00000000e+04    3.33333300e-01    1.76929784e-04
2       -6.00000000e+04    3.33333314e-01    1.32955230e-04
3       -4.00000000e+04    3.33333325e-01    8.91280402e-05
4       -2.00000000e+04    3.33333331e-01    4.58903116e-05
5        0.00000000e+00    4.28604080e-01    0.00000000e+00
6        2.00000000e+04    3.33333331e-01   -4.58903116e-05
7        4.00000000e+04    3.33333325e-01   -8.91280402e-05
8        6.00000000e+04    3.33333314e-01   -1.32955230e-04
9        8.00000000e+04    3.33333300e-01   -1.76929784e-04
10       1.00000000e+05    3.33333281e-01   -2.20963282e-04
0       -1.00000000e+05    3.33333281e-01    2.20786443e-04
1       -8.00000000e+04    3.33333300e-01    1.76708736e-04
2       -6.00000000e+04    3.33333315e-01    1.32660499e-04
3       -4.00000000e+04    3.33333325e-01    8.86859432e-05
4       -2.00000000e+04    3.33333331e-01    4.50061175e-05
5        0.00000000e+00    4.28604080e-01    0.00000000e+00
6        2.00000000e+04    3.33333331e-01   -4.50061175e-05
7        4.00000000e+04    3.33333325e-01   -8.86859432e-05
8        6.00000000e+04    3.33333315e-01   -1.32660499e-04
9        8.00000000e+04    3.33333300e-01   -1.76708736e-04
10       1.00000000e+05    3.33333281e-01   -2.20786443e-04
End of Xyce(TM) Parameter Sweep
