Index       V(1)              V(2)              V(12)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        8.57151020e-02    8.57093880e-02    2.85697960e-02
2        1.71430204e-01    1.71418776e-01    5.71395920e-02
3        2.57145306e-01    2.57128164e-01    8.57093880e-02
4        3.42860408e-01    3.42837552e-01    1.14279184e-01
5        4.28575510e-01    4.28546940e-01    1.42848980e-01
6        5.14290612e-01    5.14256328e-01    1.71418776e-01
7        6.00005714e-01    5.99965716e-01    1.99988572e-01
8        6.85720816e-01    6.85675104e-01    2.28558368e-01
9        7.71435918e-01    7.71384492e-01    2.57128164e-01
10       8.57151020e-01    8.57093880e-01    2.85697960e-01
End of Xyce(TM) Simulation
