Index       FREQ              VM(1)             VM(2)      
0        1.00000000e+01    3.18046780e-02    3.18021671e-02
1        1.25892541e+01    2.52692364e-02    2.52660748e-02
2        1.58489319e+01    2.00759016e-02    2.00719211e-02
3        1.99526231e+01    1.59498903e-02    1.59448791e-02
4        2.51188643e+01    1.26723703e-02    1.26660618e-02
5        3.16227766e+01    1.00692493e-02    1.00613084e-02
6        3.98107171e+01    8.00212558e-03    7.99213062e-03
7        5.01187234e+01    6.36102829e-03    6.34844983e-03
8        6.30957344e+01    5.05861676e-03    5.04279045e-03
9        7.94328235e+01    4.02555567e-03    4.00564963e-03
10       1.00000000e+02    3.20683418e-03    3.18181002e-03
11       1.25892541e+02    2.55883830e-03    2.52740626e-03
12       1.58489319e+02    2.04702202e-03    2.00759252e-03
13       1.99526231e+02    1.64405092e-03    1.59468861e-03
14       2.51188643e+02    1.32831393e-03    1.26670678e-03
15       3.16227766e+02    1.08271540e-03    1.00618126e-03
16       3.98107171e+02    8.93674374e-04    7.99238333e-04
17       5.01187234e+02    7.50277446e-04    6.34857649e-04
18       6.30957344e+02    6.43564910e-04    5.04285393e-04
19       7.94328235e+02    5.65974284e-04    4.00568145e-04
20       1.00000000e+03    5.10991414e-04    3.18182597e-04
21       1.25892541e+03    4.73022510e-04    2.52741425e-04
22       1.58489319e+03    4.47410894e-04    2.00759652e-04
23       1.99526231e+03    4.30467716e-04    1.59469061e-04
24       2.51188643e+03    4.19425274e-04    1.26670779e-04
25       3.16227766e+03    4.12305824e-04    1.00618176e-04
26       3.98107171e+03    4.07749799e-04    7.99238585e-05
27       5.01187234e+03    4.04848762e-04    6.34857775e-05
28       6.30957344e+03    4.03007586e-04    5.04285456e-05
29       7.94328235e+03    4.01841542e-04    4.00568177e-05
30       1.00000000e+04    4.01104074e-04    3.18182613e-05
31       1.25892541e+04    4.00638065e-04    2.52741433e-05
32       1.58489319e+04    4.00343754e-04    2.00759656e-05
33       1.99526231e+04    4.00157944e-04    1.59469063e-05
34       2.51188643e+04    4.00040662e-04    1.26670780e-05
35       3.16227766e+04    3.99966645e-04    1.00618177e-05
36       3.98107171e+04    3.99919936e-04    7.99238588e-06
37       5.01187234e+04    3.99890461e-04    6.34857777e-06
38       6.30957344e+04    3.99871863e-04    5.04285457e-06
39       7.94328235e+04    3.99860128e-04    4.00568177e-06
40       1.00000000e+05    3.99852724e-04    3.18182613e-06
End of Xyce(TM) Simulation
