Index       FREQ             SP(1,1)           SP(1,2)           SP(2,1)           SP(2,2)           YP(1,1)           YP(1,2)           YP(2,1)           YP(2,2)           ZP(1,1)           ZP(1,2)           ZP(2,1)           ZP(2,2)     
0        1.00000000e+01   -3.07795472e+00   -1.53263044e+00   -1.53263044e+00   -4.23726808e-03    1.55027429e+00    3.12902818e+00    3.12902818e+00    1.30595906e-06   -1.55823062e+00   -1.57079640e+00   -1.57079640e+00   -7.95762882e-03
1        1.25892541e+01   -3.09103620e+00   -1.54047467e+00   -1.54047467e+00   -3.36781170e-03    1.54865813e+00    3.12577541e+00    3.12577541e+00    1.64395902e-06   -1.55497752e+00   -1.57079641e+00   -1.57079641e+00   -6.32104155e-03
2        1.58489319e+01   -3.10143070e+00   -1.54670827e+00   -1.54670827e+00   -2.67617566e-03    1.54586364e+00    3.12168089e+00    3.12168089e+00    2.06933049e-06   -1.55088260e+00   -1.57079644e+00   -1.57079644e+00   -5.02103549e-03
3        1.99526231e+01   -3.10968911e+00   -1.55166116e+00   -1.55166116e+00   -2.12628902e-03    1.54174258e+00    3.11652717e+00    3.11652717e+00    2.60455173e-06   -1.54572837e+00   -1.57079646e+00   -1.57079646e+00   -3.98839917e-03
4        2.51188643e+01   -3.11624988e+00   -1.55559606e+00   -1.55559606e+00   -1.68925047e-03    1.53607664e+00    3.11004094e+00    3.11004094e+00    3.27777781e-06   -1.53924151e+00   -1.57079650e+00   -1.57079650e+00   -3.16815029e-03
5        3.16227766e+01   -3.12146173e+00   -1.55872202e+00   -1.55872202e+00   -1.34197783e-03    1.52856638e+00    3.10187910e+00    3.10187910e+00    4.12416835e-06   -1.53107887e+00   -1.57079655e+00   -1.57079655e+00   -2.51661226e-03
6        3.98107171e+01   -3.12560187e+00   -1.56120524e+00   -1.56120524e+00   -1.06607374e-03    1.51881647e+00    3.09161162e+00    3.09161162e+00    5.18741934e-06   -1.52081038e+00   -1.57079660e+00   -1.57079660e+00   -1.99909066e-03
7        5.01187234e+01   -3.12889061e+00   -1.56317782e+00   -1.56317782e+00   -8.46893491e-04    1.50631685e+00    3.07870086e+00    3.07870086e+00    6.52141567e-06   -1.50789836e+00   -1.57079667e+00   -1.57079667e+00   -1.58802674e-03
8        6.30957344e+01   -3.13150300e+00   -1.56474476e+00   -1.56474476e+00   -6.72789123e-04    1.49042008e+00    3.06247750e+00    3.06247750e+00    8.19177127e-06   -1.49167342e+00   -1.57079676e+00   -1.57079676e+00   -1.26153045e-03
9        7.94328235e+01   -3.13357813e+00   -1.56598946e+00   -1.56598946e+00   -5.34501054e-04    1.47031571e+00    3.04211370e+00    3.04211370e+00    1.02767217e-05   -1.47130765e+00   -1.57079688e+00   -1.57079688e+00   -1.00221496e-03
10       1.00000000e+02   -3.13522648e+00   -1.56697819e+00   -1.56697819e+00   -4.24671012e-04    1.44500449e+00    3.01659639e+00    3.01659639e+00    1.28662565e-05   -1.44578789e+00   -1.57079702e+00   -1.57079702e+00   -7.96270919e-04
11       1.25892541e+02   -3.13653581e+00   -1.56776361e+00   -1.56776361e+00   -3.37453192e-04    1.41327875e+00    2.98470694e+00    2.98470694e+00    1.60573487e-05   -1.41389542e+00   -1.57079720e+00   -1.57079720e+00   -6.32731135e-04
12       1.58489319e+02   -3.13757586e+00   -1.56838752e+00   -1.56838752e+00   -2.68204452e-04    1.37372223e+00    2.94502035e+00    2.94502035e+00    1.99414802e-05   -1.37420517e+00   -1.57079742e+00   -1.57079742e+00   -5.02886555e-04
13       1.99526231e+02   -3.13840200e+00   -1.56888316e+00   -1.56888316e+00   -2.13237809e-04    1.32475354e+00    2.89594831e+00    2.89594831e+00    2.45785113e-05   -1.32512879e+00   -1.57079771e+00   -1.57079771e+00   -3.99822499e-04
14       2.51188643e+02   -3.13905823e+00   -1.56927692e+00   -1.56927692e+00   -1.69626471e-04    1.26475350e+00    2.83586614e+00    2.83586614e+00    2.99496231e-05   -1.26504160e+00   -1.57079806e+00   -1.57079806e+00   -3.18050439e-04
15       3.16227766e+02   -3.13957949e+00   -1.56958976e+00   -1.56958976e+00   -1.35048169e-04    1.19233023e+00    2.76337759e+00    2.76337759e+00    3.58858688e-05   -1.19254756e+00   -1.57079851e+00   -1.57079851e+00   -2.53215720e-04
16       3.98107171e+02   -3.13999354e+00   -1.56983835e+00   -1.56983835e+00   -1.07661577e-04    1.10676788e+00    2.67776332e+00    2.67776332e+00    4.19864265e-05   -1.10692776e+00   -1.57079908e+00   -1.57079908e+00   -2.01865659e-04
17       5.01187234e+02   -3.14032243e+00   -1.57003592e+00   -1.57003592e+00   -8.60083087e-05    1.00863160e+00    2.57958573e+00    2.57958573e+00    4.75788442e-05   -1.00874529e+00   -1.57079979e+00   -1.57079979e+00   -1.61265680e-04
18       6.30957344e+02   -3.14058368e+00   -1.57019300e+00   -1.57019300e+00   -6.89352719e-05    9.00331818e-01    2.47125304e+00    2.47125304e+00    5.18123143e-05   -9.00409260e-01   -1.57080069e+00   -1.57080069e+00   -1.29253686e-04
19       7.94328235e+02   -3.14079120e+00   -1.57031795e+00   -1.57031795e+00   -5.55332776e-05    7.86257656e-01    2.35715262e+00    2.35715262e+00    5.39405854e-05   -7.86307840e-01   -1.57080182e+00   -1.57080182e+00   -1.04124921e-04
20       1.00000000e+03   -3.14095603e+00   -1.57041742e+00   -1.57041742e+00   -4.50886267e-05    6.72128377e-01    2.24300233e+00    2.24300233e+00    5.36853369e-05   -6.72159233e-01   -1.57080324e+00   -1.57080324e+00   -8.45411877e-05
21       1.25892541e+03   -3.14108697e+00   -1.57049672e+00   -1.57049672e+00   -3.70451065e-05    5.63675121e-01    2.13453221e+00    2.13453221e+00    5.14126755e-05   -5.63693168e-01   -1.57080503e+00   -1.57080503e+00   -6.94595811e-05
22       1.58489319e+03   -3.14119097e+00   -1.57056006e+00   -1.57056006e+00   -3.09743719e-05    4.65316008e-01    2.03615946e+00    2.03615946e+00    4.79669206e-05   -4.65326118e-01   -1.57080728e+00   -1.57080728e+00   -5.80769504e-05
23       1.99526231e+03   -3.14127359e+00   -1.57061082e+00   -1.57061082e+00   -2.65531347e-05    3.79493712e-01    1.95032604e+00    1.95032604e+00    4.43134408e-05   -3.79499185e-01   -1.57081012e+00   -1.57081012e+00   -4.97871290e-05
