Index       FREQ            {S(1,1)}          {SR(1,1)}         {SI(1,1)}         {SM(1,1)}         {SP(1,1)}        {SDB(1,1)}         {S(1,2)}          {SR(1,2)}         {SI(1,2)}         {SM(1,2)}         {SP(1,2)}        {SDB(1,2)}         {S(2,1)}          {SR(2,1)}         {SI(2,1)}         {SM(2,1)}         {SP(2,1)}        {SDB(2,1)}         {S(2,2)}          {SR(2,2)}         {SI(2,2)}         {SM(2,2)}         {SP(2,2)}        {SDB(2,2)}         {Y(1,1)}          {YR(1,1)}         {YI(1,1)}         {YM(1,1)}         {YP(1,1)}        {YDB(1,1)}         {Y(1,2)}          {YR(1,2)}         {YI(1,2)}         {YM(1,2)}         {YP(1,2)}        {YDB(1,2)}         {Y(2,1)}          {YR(2,1)}         {YI(2,1)}         {YM(2,1)}         {YP(2,1)}        {YDB(2,1)}         {Y(2,2)}          {YR(2,2)}         {YI(2,2)}         {YM(2,2)}         {YP(2,2)}        {YDB(2,2)}         {Z(1,1)}          {ZR(1,1)}         {ZI(1,1)}         {ZM(1,1)}         {ZP(1,1)}        {ZDB(1,1)}         {Z(1,2)}          {ZR(1,2)}         {ZI(1,2)}         {ZM(1,2)}         {ZP(1,2)}        {ZDB(1,2)}         {Z(2,1)}          {ZR(2,1)}         {ZI(2,1)}         {ZM(2,1)}         {ZP(2,1)}        {ZDB(2,1)}         {Z(2,2)}          {ZR(2,2)}         {ZI(2,2)}         {ZM(2,2)}         {ZP(2,2)}        {ZDB(2,2)}    
0        1.00000000e+01   -9.96774902e-01   -9.96774902e-01   -6.35184649e-02    9.98796676e-01   -1.76353815e+02   -1.04582332e-02    4.85277304e-04    4.85277304e-04   -1.27087745e-02    1.27180361e-02   -8.78132557e+01   -3.79115989e+01    4.85277304e-04    4.85277304e-04   -1.27087745e-02    1.27180361e-02   -8.78132557e+01   -3.79115989e+01    6.00097094e-01    6.00097094e-01   -2.54278748e-03    6.00102481e-01   -2.42777578e-01   -4.43549155e+00    1.28915693e-02    1.28915693e-02    6.28093721e-01    6.28226007e-01    8.88241742e+01   -4.03768178e+00   -4.99871084e-03   -4.99871084e-03    6.28094695e-05    4.99910543e-03    1.79280109e+02   -4.60221541e+01   -4.99871084e-03   -4.99871084e-03    6.28094695e-05    4.99910543e-03    1.79280109e+02   -4.60221541e+01    4.99950013e-03    4.99950013e-03    6.52914251e-09    4.99950013e-03    7.48259425e-05   -4.60214683e+01    2.00000000e-02    2.00000000e-02   -1.59154943e+00    1.59167509e+00   -8.92800379e+01    4.03708838e+00   -1.10000010e-07   -1.10000010e-07   -1.59154943e+00    1.59154943e+00   -9.00000040e+01    4.03640262e+00   -1.10000010e-07   -1.10000010e-07   -1.59154943e+00    1.59154943e+00   -9.00000040e+01    4.03640262e+00    2.00000000e+02    2.00000000e+02   -1.59155936e+00    2.00006332e+02   -4.55938546e-01    4.60208749e+01
1        1.25892541e+01   -9.97669162e-01   -9.97669162e-01   -5.04816339e-02    9.98945520e-01   -1.77103328e+02   -9.16393056e-03    3.06353745e-04    3.06353745e-04   -1.01003653e-02    1.01050103e-02   -8.82626968e+01   -3.99092648e+01    3.06353745e-04    3.06353745e-04   -1.01003653e-02    1.01050103e-02   -8.82626968e+01   -3.99092648e+01    6.00061295e-01    6.00061295e-01   -2.02090109e-03    6.00064698e-01   -1.92961397e-01   -4.43603844e+00    1.75064322e-02    1.75064322e-02    7.90650146e-01    7.90843935e-01    8.87315745e+01   -2.03818424e+00   -4.99824935e-03   -4.99824935e-03    7.90651372e-05    4.99887466e-03    1.79093739e+02   -4.60225550e+01   -4.99824935e-03   -4.99824935e-03    7.90651372e-05    4.99887466e-03    1.79093739e+02   -4.60225550e+01    4.99950018e-03    4.99950018e-03    8.21897341e-09    4.99950018e-03    9.41919136e-05   -4.60214682e+01    2.00000000e-02    2.00000000e-02   -1.26421265e+00    1.26437084e+00   -8.90936493e+01    2.03748942e+00   -1.10000006e-07   -1.10000006e-07   -1.26421265e+00    1.26421265e+00   -9.00000050e+01    2.03640262e+00   -1.10000006e-07   -1.10000006e-07   -1.26421265e+00    1.26421265e+00   -9.00000050e+01    2.03640262e+00    2.00000000e+02    2.00000000e+02   -1.26422515e+00    2.00003995e+02   -3.62169003e-01    4.60207734e+01
2        1.58489319e+01   -9.98233897e-01   -9.98233897e-01   -4.01125932e-02    9.99039505e-01   -1.77698890e+02   -8.34676318e-03    1.93361595e-04    1.93361595e-04   -8.02572765e-03    8.02805661e-03   -8.86198559e+01   -4.19077915e+01    1.93361595e-04    1.93361595e-04   -8.02572765e-03    8.02805661e-03   -8.86198559e+01   -4.19077915e+01    6.00038688e-01    6.00038688e-01   -1.60581276e-03    6.00040836e-01   -1.53333570e-01   -4.43638384e+00    2.48187517e-02    2.48187517e-02    9.95223941e-01    9.95533356e-01    8.85714622e+01   -3.88836815e-02   -4.99751812e-03   -4.99751812e-03    9.95225484e-05    4.99850899e-03    1.78859140e+02   -4.60231905e+01   -4.99751812e-03   -4.99751812e-03    9.95225484e-05    4.99850899e-03    1.78859140e+02   -4.60231905e+01    4.99950025e-03    4.99950025e-03    1.03456183e-08    4.99950025e-03    1.18563903e-04   -4.60214681e+01    2.00000000e-02    2.00000000e-02   -1.00419980e+00    1.00439895e+00   -8.88590277e+01    3.81249603e-02   -1.09999999e-07   -1.09999999e-07   -1.00419980e+00    1.00419980e+00   -9.00000063e+01    3.64026242e-02   -1.09999999e-07   -1.09999999e-07   -1.00419980e+00    1.00419980e+00   -9.00000063e+01    3.64026242e-02    2.00000000e+02    2.00000000e+02   -1.00421554e+00    2.00002521e+02   -2.87684142e-01    4.60207094e+01
3        1.99526231e+01   -9.98590417e-01   -9.98590417e-01   -3.18693883e-02    9.99098834e-01   -1.78172061e+02   -7.83095919e-03    1.22028906e-04    1.22028906e-04   -6.37642721e-03    6.37759477e-03   -8.89036356e+01   -4.39068616e+01    1.22028906e-04    1.22028906e-04   -6.37642721e-03    6.37759477e-03   -8.89036356e+01   -4.39068616e+01    6.00024415e-01    6.00024415e-01   -1.27582725e-03    6.00025772e-01   -1.21827387e-01   -4.43660191e+00    3.64036155e-02    3.64036155e-02    1.25262227e+00    1.25315114e+00    8.83353429e+01    1.96006905e+00   -4.99635963e-03   -4.99635963e-03    1.25262421e-04    4.99792960e-03    1.78563853e+02   -4.60241973e+01   -4.99635963e-03   -4.99635963e-03    1.25262421e-04    4.99792960e-03    1.78563853e+02   -4.60241973e+01    4.99950036e-03    4.99950036e-03    1.30214573e-08    4.99950036e-03    1.49229822e-04   -4.60214679e+01    2.00000000e-02    2.00000000e-02   -7.97664256e-01    7.97914948e-01   -8.85637121e+01   -1.96086797e+00   -1.10000002e-07   -1.10000002e-07   -7.97664256e-01    7.97664256e-01   -9.00000079e+01   -1.96359738e+00   -1.10000002e-07   -1.10000002e-07   -7.97664256e-01    7.97664256e-01   -9.00000079e+01   -1.96359738e+00    2.00000000e+02    2.00000000e+02   -7.97684063e-01    2.00001591e+02   -2.28518440e-01    4.60206690e+01
4        2.51188643e+01   -9.98815445e-01   -9.98815445e-01   -2.53181757e-02    9.99136279e-01   -1.78547966e+02   -7.50542673e-03    7.70053004e-05    7.70053004e-05   -5.06566059e-03    5.06624586e-03   -8.91290891e+01   -4.59062748e+01    7.70053004e-05    7.70053004e-05   -5.06566059e-03    5.06624586e-03   -8.91290891e+01   -4.59062748e+01    6.00015407e-01    6.00015407e-01   -1.01357727e-03    6.00016263e-01   -9.67869224e-02   -4.43673956e+00    5.47533894e-02    5.47533894e-02    1.57637885e+00    1.57732945e+00    8.80107082e+01    3.95844826e+00   -4.99452465e-03   -4.99452465e-03    1.57638129e-04    4.99701174e-03    1.78192220e+02   -4.60257926e+01   -4.99452465e-03   -4.99452465e-03    1.57638129e-04    4.99701174e-03    1.78192220e+02   -4.60257926e+01    4.99950055e-03    4.99950055e-03    1.63872519e-08    4.99950055e-03    1.87802835e-04   -4.60214676e+01    2.00000000e-02    2.00000000e-02   -6.33607240e-01    6.33922814e-01   -8.81920421e+01   -3.95927236e+00   -1.10000000e-07   -1.10000000e-07   -6.33607240e-01    6.33607240e-01   -9.00000099e+01   -3.96359738e+00   -1.10000000e-07   -1.10000000e-07   -6.33607240e-01    6.33607240e-01   -9.00000099e+01   -3.96359738e+00    2.00000000e+02    2.00000000e+02   -6.33632177e-01    2.00001004e+02   -1.81521640e-01    4.60206435e+01
5        3.16227766e+01   -9.98957460e-01   -9.98957460e-01   -2.01126566e-02    9.99159910e-01   -1.78846583e+02   -7.29999692e-03    4.85910647e-05    4.85910647e-05   -4.02414034e-03    4.02443369e-03   -8.93081932e+01   -4.79059045e+01    4.85910647e-05    4.85910647e-05   -4.02414034e-03    4.02443369e-03   -8.93081932e+01   -4.79059045e+01    6.00009722e-01    6.00009722e-01   -8.05200229e-04    6.00010262e-01   -7.68896660e-02   -4.43682643e+00    8.38082281e-02    8.38082281e-02    1.98338891e+00    1.98515879e+00    8.75804025e+01    5.95590500e+00   -4.99161916e-03   -4.99161916e-03    1.98339199e-04    4.99555806e-03    1.77724581e+02   -4.60283198e+01   -4.99161916e-03   -4.99161916e-03    1.98339199e-04    4.99555806e-03    1.77724581e+02   -4.60283198e+01    4.99950084e-03    4.99950084e-03    2.06187831e-08    4.99950084e-03    2.36297440e-04   -4.60214671e+01    2.00000000e-02    2.00000000e-02   -5.03292121e-01    5.03689347e-01   -8.77243574e+01   -5.95674468e+00   -1.10000001e-07   -1.10000001e-07   -5.03292121e-01    5.03292121e-01   -9.00000125e+01   -5.96359738e+00   -1.10000001e-07   -1.10000001e-07   -5.03292121e-01    5.03292121e-01   -9.00000125e+01   -5.96359738e+00    2.00000000e+02    2.00000000e+02   -5.03323514e-01    2.00000633e+02   -1.44191261e-01    4.60206274e+01
6        3.98107171e+01   -9.99047077e-01   -9.99047077e-01   -1.59769106e-02    9.99174822e-01   -1.79083795e+02   -7.17036645e-03    3.06604006e-05    3.06604006e-05   -3.19666027e-03    3.19680731e-03   -8.94504709e+01   -4.99056708e+01    3.06604006e-05    3.06604006e-05   -3.19666027e-03    3.19680731e-03   -8.94504709e+01   -4.99056708e+01    6.00006134e-01    6.00006134e-01   -6.39651023e-04    6.00006475e-01   -6.10815257e-02   -4.43688125e+00    1.29787864e-01    1.29787864e-01    2.49463868e+00    2.49801262e+00    8.70217738e+01    7.95189256e+00   -4.98702119e-03   -4.98702119e-03    2.49464255e-04    4.99325673e-03    1.77136298e+02   -4.60323221e+01   -4.98702119e-03   -4.98702119e-03    2.49464255e-04    4.99325673e-03    1.77136298e+02   -4.60323221e+01    4.99950130e-03    4.99950130e-03    2.59345097e-08    4.99950130e-03    2.97217235e-04   -4.60214663e+01    2.00000000e-02    2.00000000e-02   -3.99779142e-01    4.00279105e-01   -8.71360161e+01   -7.95274159e+00   -1.10000001e-07   -1.10000001e-07   -3.99779142e-01    3.99779142e-01   -9.00000158e+01   -7.96359738e+00   -1.10000001e-07   -1.10000001e-07   -3.99779142e-01    3.99779142e-01   -9.00000158e+01   -7.96359738e+00    2.00000000e+02    2.00000000e+02   -3.99818663e-01    2.00000399e+02   -1.14539457e-01    4.60206173e+01
7        5.01187234e+01   -9.99103627e-01   -9.99103627e-01   -1.26913420e-02    9.99184231e-01   -1.79272226e+02   -7.08856996e-03    1.93459236e-05    1.93459236e-05   -2.53928372e-03    2.53935741e-03   -8.95634917e+01   -5.19055234e+01    1.93459236e-05    1.93459236e-05   -2.53928372e-03    2.53935741e-03   -8.95634917e+01   -5.19055234e+01    6.00003871e-01    6.00003871e-01   -5.08139494e-04    6.00004086e-01   -4.85234228e-02   -4.43691584e+00    2.02487415e-01    2.02487415e-01    3.13598580e+00    3.14251620e+00    8.63055982e+01    9.94555050e+00   -4.97975123e-03   -4.97975123e-03    3.13599066e-04    4.98961588e-03    1.76396566e+02   -4.60386577e+01   -4.97975123e-03   -4.97975123e-03    3.13599066e-04    4.98961588e-03    1.76396566e+02   -4.60386577e+01    4.99950202e-03    4.99950202e-03    3.26038308e-08    4.99950202e-03    3.73649594e-04   -4.60214650e+01    2.00000000e-02    2.00000000e-02   -3.17555860e-01    3.18185047e-01   -8.63962118e+01   -9.94640467e+00   -1.10000000e-07   -1.10000000e-07   -3.17555860e-01    3.17555860e-01   -9.00000198e+01   -9.96359738e+00   -1.10000000e-07   -1.10000000e-07   -3.17555860e-01    3.17555860e-01   -9.00000198e+01   -9.96359738e+00    2.00000000e+02    2.00000000e+02   -3.17605615e-01    2.00000252e+02   -9.09872300e-02    4.60206109e+01
8        6.30957344e+01   -9.99139310e-01   -9.99139310e-01   -1.00813073e-02    9.99190168e-01   -1.79421906e+02   -7.03695780e-03    1.22065759e-05    1.22065759e-05   -2.01706796e-03    2.01710489e-03   -8.96532706e+01   -5.39054303e+01    1.22065759e-05    1.22065759e-05   -2.01706796e-03    2.01710489e-03   -8.96532706e+01   -5.39054303e+01    6.00002442e-01    6.00002442e-01   -4.03675178e-04    6.00002578e-01   -3.85479773e-02   -4.43693767e+00    3.17275264e-01    3.17275264e-01    3.93887177e+00    3.95162934e+00    8.53947802e+01    1.19355240e+01   -4.96827243e-03   -4.96827243e-03    3.93887788e-04    4.98386180e-03    1.75467036e+02   -4.60486802e+01   -4.96827243e-03   -4.96827243e-03    3.93887788e-04    4.98386180e-03    1.75467036e+02   -4.60486802e+01    4.99950317e-03    4.99950317e-03    4.09547865e-08    4.99950317e-03    4.69353921e-04   -4.60214630e+01    2.00000000e-02    2.00000000e-02   -2.52243586e-01    2.53035228e-01   -8.54665912e+01   -1.19363802e+01   -1.10000000e-07   -1.10000000e-07   -2.52243586e-01    2.52243586e-01   -9.00000250e+01   -1.19635974e+01   -1.10000000e-07   -1.10000000e-07   -2.52243586e-01    2.52243586e-01   -9.00000250e+01   -1.19635974e+01    2.00000000e+02    2.00000000e+02   -2.52306223e-01    2.00000159e+02   -7.22803705e-02    4.60206068e+01
9        7.94328235e+01   -9.99161824e-01   -9.99161824e-01   -8.00797523e-03    9.99193915e-01   -1.79540802e+02   -7.00439191e-03    7.70179472e-06    7.70179472e-06   -1.60223568e-03    1.60225420e-03   -8.97245868e+01   -5.59053716e+01    7.70179472e-06    7.70179472e-06   -1.60223568e-03    1.60225420e-03   -8.97245868e+01   -5.59053716e+01    6.00001541e-01    6.00001541e-01   -3.20701486e-04    6.00001627e-01   -3.06246545e-02   -4.43695144e+00    4.98121697e-01    4.98121697e-01    4.94069580e+00    4.96574266e+00    8.42428847e+01    1.39196842e+01   -4.95018775e-03   -4.95018775e-03    4.94070346e-04    4.97478284e-03    1.74300276e+02   -4.60645174e+01   -4.95018775e-03   -4.95018775e-03    4.94070346e-04    4.97478284e-03    1.74300276e+02   -4.60645174e+01    4.99950498e-03    4.99950498e-03    5.13785212e-08    4.99950498e-03    5.88812779e-04   -4.60214599e+01    2.00000000e-02    2.00000000e-02   -2.00364202e-01    2.01359910e-01   -8.42997186e+01   -1.39205398e+01   -1.10000000e-07   -1.10000000e-07   -2.00364202e-01    2.00364202e-01   -9.00000315e+01   -1.39635974e+01   -1.10000000e-07   -1.10000000e-07   -2.00364202e-01    2.00364202e-01   -9.00000315e+01   -1.39635974e+01    2.00000000e+02    2.00000000e+02   -2.00443058e-01    2.00000100e+02   -5.74226873e-02    4.60206043e+01
