TIME,V(1),V(2)
0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-02,6.27765091e-02,3.13882546e-02
2.00000000e-02,1.25331306e-01,6.26656528e-02
3.00000000e-02,1.87339637e-01,9.36698185e-02
4.00000000e-02,2.48681917e-01,1.24340958e-01
5.00000000e-02,3.08948700e-01,1.54474350e-01
6.00000000e-02,3.68106870e-01,1.84053435e-01
7.00000000e-02,4.25686097e-01,2.12843048e-01
8.00000000e-02,4.81723163e-01,2.40861581e-01
9.00000000e-02,5.35711030e-01,2.67855515e-01
1.00000000e-01,5.87739438e-01,2.93869719e-01
1.10000000e-01,6.37288532e-01,3.18644266e-01
1.20000000e-01,6.84484222e-01,3.42242111e-01
1.30000000e-01,7.28816811e-01,3.64408406e-01
1.40000000e-01,7.70432271e-01,3.85216135e-01
1.50000000e-01,8.08852515e-01,4.04426257e-01
1.60000000e-01,8.44228616e-01,4.22114308e-01
1.70000000e-01,8.76133480e-01,4.38066740e-01
1.80000000e-01,9.04709918e-01,4.52354959e-01
1.90000000e-01,9.29598637e-01,4.64799318e-01
2.00000000e-01,9.50922805e-01,4.75461403e-01
2.10000000e-01,9.68404738e-01,4.84202369e-01
2.20000000e-01,9.82138896e-01,4.91069448e-01
2.30000000e-01,9.91939658e-01,4.95969829e-01
2.40000000e-01,9.97866277e-01,4.98933139e-01
2.50000000e-01,9.99832045e-01,4.99916023e-01
2.60000000e-01,9.97857259e-01,4.98928629e-01
2.70000000e-01,9.91957181e-01,4.95978591e-01
2.80000000e-01,9.82112267e-01,4.91056134e-01
2.90000000e-01,9.68438951e-01,4.84219476e-01
3.00000000e-01,9.50879839e-01,4.75439919e-01
3.10000000e-01,9.29647896e-01,4.64823948e-01
3.20000000e-01,9.04652695e-01,4.52326348e-01
3.30000000e-01,8.76195376e-01,4.38097688e-01
3.40000000e-01,8.44159972e-01,4.22079986e-01
3.50000000e-01,8.08923933e-01,4.04461967e-01
3.60000000e-01,7.70355721e-01,3.85177860e-01
3.70000000e-01,7.28894021e-01,3.64447010e-01
3.80000000e-01,6.84403864e-01,3.42201932e-01
3.90000000e-01,6.37367283e-01,3.18683641e-01
4.00000000e-01,5.87659842e-01,2.93829921e-01
4.10000000e-01,5.35786672e-01,2.67893336e-01
4.20000000e-01,4.81649246e-01,2.40824623e-01
4.30000000e-01,4.25753704e-01,2.12876852e-01
4.40000000e-01,3.68043758e-01,1.84021879e-01
4.50000000e-01,3.09003215e-01,1.54501607e-01
4.60000000e-01,2.48634802e-01,1.24317401e-01
4.70000000e-01,1.87376008e-01,9.36880041e-02
