Index       TIME              V(1)              I(V1)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-11    3.14158749e-02   -3.14158749e-03
2        1.50000000e-10    9.42463843e-02   -9.42463843e-03
3        3.50000000e-10    2.19893761e-01   -2.19893761e-02
4        7.50000000e-10    4.71064507e-01   -4.71064507e-02
5        1.15000000e-09    7.21937719e-01   -7.21937719e-02
6        1.95000000e-09    1.22215800e+00   -1.22215800e-01
7        2.75000000e-09    1.71929100e+00   -1.71929100e-01
8        3.55000000e-09    2.21208093e+00   -2.21208093e-01
9        4.35000000e-09    2.69928294e+00   -2.69928294e-01
10       5.15000000e-09    3.17966634e+00   -3.17966634e-01
11       5.95000000e-09    3.65201762e+00   -3.65201762e-01
12       6.75000000e-09    4.11514359e+00   -4.11514359e-01
13       7.55000000e-09    4.56787434e+00   -4.56787434e-01
14       8.35000000e-09    5.00906625e+00   -5.00906625e-01
15       9.15000000e-09    5.43760483e+00   -5.43760483e-01
16       9.95000000e-09    5.85240754e+00   -5.85240754e-01
17       1.00000000e-08    5.87785252e+00   -5.87785252e-01
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-11    3.14158749e-02   -3.14158749e-03
2        1.50000000e-10    9.42463843e-02   -9.42463843e-03
3        3.50000000e-10    2.19893761e-01   -2.19893761e-02
4        7.50000000e-10    4.71064507e-01   -4.71064507e-02
5        1.15000000e-09    7.21937719e-01   -7.21937719e-02
6        1.95000000e-09    1.22215800e+00   -1.22215800e-01
7        2.75000000e-09    1.71929100e+00   -1.71929100e-01
8        3.55000000e-09    2.21208093e+00   -2.21208093e-01
9        4.35000000e-09    2.69928294e+00   -2.69928294e-01
10       5.15000000e-09    3.17966634e+00   -3.17966634e-01
11       5.95000000e-09    3.65201762e+00   -3.65201762e-01
12       6.75000000e-09    4.11514359e+00   -4.11514359e-01
13       7.55000000e-09    4.56787434e+00   -4.56787434e-01
14       8.35000000e-09    5.00906625e+00   -5.00906625e-01
15       9.15000000e-09    5.43760483e+00   -5.43760483e-01
16       9.95000000e-09    5.85240754e+00   -5.85240754e-01
17       1.00000000e-08    5.87785252e+00   -5.87785252e-01
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-11    3.14158749e-02   -3.14158749e-03
2        1.50000000e-10    9.42463843e-02   -9.42463843e-03
3        3.50000000e-10    2.19893761e-01   -2.19893761e-02
4        7.50000000e-10    4.71064507e-01   -4.71064507e-02
5        1.15000000e-09    7.21937719e-01   -7.21937719e-02
6        1.95000000e-09    1.22215800e+00   -1.22215800e-01
7        2.75000000e-09    1.71929100e+00   -1.71929100e-01
8        3.55000000e-09    2.21208093e+00   -2.21208093e-01
9        4.35000000e-09    2.69928294e+00   -2.69928294e-01
10       5.15000000e-09    3.17966634e+00   -3.17966634e-01
11       5.95000000e-09    3.65201762e+00   -3.65201762e-01
12       6.75000000e-09    4.11514359e+00   -4.11514359e-01
13       7.55000000e-09    4.56787434e+00   -4.56787434e-01
14       8.35000000e-09    5.00906625e+00   -5.00906625e-01
15       9.15000000e-09    5.43760483e+00   -5.43760483e-01
16       9.95000000e-09    5.85240754e+00   -5.85240754e-01
17       1.00000000e-08    5.87785252e+00   -5.87785252e-01
End of Xyce(TM) Parameter Sweep
