Index              V(2)           V(1)
0       0.00000000e+00   0.00000000e+00   
1       1.00000000e-01   3.33333333e-02   
2       2.00000000e-01   6.66666667e-02   
3       3.00000000e-01   1.00000000e-01   
4       4.00000000e-01   1.33333333e-01   
5       5.00000000e-01   1.66666667e-01   
6       6.00000000e-01   2.00000000e-01   
7       7.00000000e-01   2.33333333e-01   
8       8.00000000e-01   2.66666667e-01   
9       9.00000000e-01   3.00000000e-01   
10      1.00000000e+00   3.33333333e-01   
11      1.10000000e+00   3.66666667e-01   
12      1.20000000e+00   4.00000000e-01   
13      1.30000000e+00   4.33333333e-01   
14      1.40000000e+00   4.66666667e-01   
15      1.50000000e+00   5.00000000e-01   
16      1.60000000e+00   5.33333333e-01   
17      1.70000000e+00   5.66666667e-01   
18      1.80000000e+00   6.00000000e-01   
19      1.90000000e+00   6.33333333e-01   
20      2.00000000e+00   6.66666667e-01   
21      2.10000000e+00   7.00000000e-01   
22      2.20000000e+00   7.33333333e-01   
23      2.30000000e+00   7.66666667e-01   
24      2.40000000e+00   8.00000000e-01   
25      2.50000000e+00   8.33333333e-01   
26      2.60000000e+00   8.66666667e-01   
27      2.70000000e+00   9.00000000e-01   
28      2.80000000e+00   9.33333333e-01   
29      2.90000000e+00   9.66666667e-01   
30      3.00000000e+00   1.00000000e+00   
31      3.10000000e+00   1.03333333e+00   
32      3.20000000e+00   1.06666667e+00   
33      3.30000000e+00   1.10000000e+00   
34      3.40000000e+00   1.13333333e+00   
35      3.50000000e+00   1.16666667e+00   
36      3.60000000e+00   1.20000000e+00   
37      3.70000000e+00   1.23333333e+00   
38      3.80000000e+00   1.26666667e+00   
39      3.90000000e+00   1.30000000e+00   
40      4.00000000e+00   1.33333333e+00   
41      4.10000000e+00   1.36666667e+00   
42      4.20000000e+00   1.40000000e+00   
43      4.30000000e+00   1.43333333e+00   
44      4.40000000e+00   1.46666667e+00   
45      4.50000000e+00   1.50000000e+00   
46      4.60000000e+00   1.53333333e+00   
47      4.70000000e+00   1.56666667e+00   
48      4.80000000e+00   1.60000000e+00   
49      4.90000000e+00   1.63333333e+00   
50      5.00000000e+00   1.66666667e+00   
End of Xyce(TM) Simulation
