Index        V(D)             V(G)            ID(M1)           IS(M1)       {ID(M2)/ID(M1)}  {IS(M2)/IS(M1)}
0       1.00000000e+00   1.50000000e+00   7.87201777e-04   -7.87201777e-04  1.00000000e+00   1.00000000e+00   
1       2.00000000e+00   1.50000000e+00   8.38520725e-04   -8.38520725e-04  1.00000000e+00   1.00000000e+00   
2       3.00000000e+00   1.50000000e+00   8.67406261e-04   -8.67406261e-04  1.00000000e+00   1.00000000e+00   
3       1.00000000e+00   2.50000000e+00   2.06455633e-03   -2.06455633e-03  1.00000000e+00   1.00000000e+00   
4       2.00000000e+00   2.50000000e+00   2.25094314e-03   -2.25094314e-03  1.00000000e+00   1.00000000e+00   
5       3.00000000e+00   2.50000000e+00   2.31359733e-03   -2.31359733e-03  1.00000000e+00   1.00000000e+00   
6       1.00000000e+00   3.50000000e+00   3.03038494e-03   -3.03038494e-03  1.00000000e+00   1.00000000e+00   
7       2.00000000e+00   3.50000000e+00   3.54439225e-03   -3.54439225e-03  1.00000000e+00   1.00000000e+00   
8       3.00000000e+00   3.50000000e+00   3.66299614e-03   -3.66299614e-03  1.00000000e+00   1.00000000e+00   
End of Xyce(TM) Simulation
