Index       TIME          {V(6,2)+0.1}     {V(15,10)+0.1}     {V(5,3)+1.5}   
0        0.00000000e+00    1.00000000e-01    1.00000000e-01    1.50000000e+00
1        1.00000000e-09    1.01256505e-01    1.00942422e-01    1.50000348e+00
2        3.00000000e-09    1.03766340e-01    1.02825927e-01    1.50019835e+00
3        5.00000000e-09    1.06266662e-01    1.04705416e-01    1.50065503e+00
4        9.00000000e-09    1.11213538e-01    1.08441672e-01    1.50479793e+00
5        1.30000000e-08    1.16047180e-01    1.12129962e-01    1.51653915e+00
6        1.70000000e-08    1.20718779e-01    1.15749326e-01    1.53948814e+00
7        2.10000000e-08    1.25181160e-01    1.19279200e-01    1.57548222e+00
8        2.50000000e-08    1.29389263e-01    1.22699525e-01    1.62460634e+00
9        2.90000000e-08    1.33300593e-01    1.25990867e-01    1.68561989e+00
10       3.30000000e-08    1.36875656e-01    1.29134524e-01    1.75644648e+00
11       3.70000000e-08    1.40078349e-01    1.32112633e-01    1.83459398e+00
12       4.10000000e-08    1.42876333e-01    1.34908271e-01    1.91745309e+00
13       4.50000000e-08    1.45241353e-01    1.37505553e-01    2.00249874e+00
14       4.90000000e-08    1.47149527e-01    1.39889722e-01    2.08740140e+00
15       5.30000000e-08    1.48581587e-01    1.42047229e-01    2.17008721e+00
16       5.70000000e-08    1.49523071e-01    1.43965816e-01    2.24874961e+00
17       6.10000000e-08    1.49964474e-01    1.45634579e-01    2.32184046e+00
18       6.50000000e-08    1.49901336e-01    1.47044038e-01    2.38803643e+00
19       6.90000000e-08    1.49334297e-01    1.48186184e-01    2.44620054e+00
20       7.30000000e-08    1.48269082e-01    1.49054526e-01    2.49533243e+00
21       7.70000000e-08    1.46716447e-01    1.49644130e-01    2.53452307e+00
22       8.10000000e-08    1.44692071e-01    1.49951647e-01    2.56290845e+00
23       8.50000000e-08    1.42216396e-01    1.49975328e-01    2.57963615e+00
24       8.90000000e-08    1.39314422e-01    1.49715040e-01    2.58384224e+00
25       9.30000000e-08    1.36015451e-01    1.49172260e-01    2.57465314e+00
26       9.70000000e-08    1.32352798e-01    1.48350074e-01    2.55121358e+00
27       1.01000000e-07    1.28363447e-01    1.47253154e-01    2.51275650e+00
28       1.05000000e-07    1.24087684e-01    1.45887731e-01    2.45871598e+00
29       1.09000000e-07    1.19568683e-01    1.44261566e-01    2.38889208e+00
30       1.13000000e-07    1.14852079e-01    1.42383897e-01    2.30365313e+00
31       1.17000000e-07    1.09985499e-01    1.40265394e-01    2.20415628e+00
32       1.21000000e-07    1.05018086e-01    1.37918096e-01    2.09253525e+00
33       1.25000000e-07    1.00000000e-01    1.35355339e-01    1.97199994e+00
34       1.29000000e-07    9.49819143e-02    1.32591686e-01    1.84678112e+00
35       1.37000000e-07    8.51479209e-02    1.26525559e-01    1.60463724e+00
36       1.43861030e-07    7.71762461e-02    1.20837910e-01    1.42811967e+00
37       1.49544558e-07    7.10756731e-02    1.15858510e-01    1.32023237e+00
38       1.54345076e-07    6.63771967e-02    1.11508702e-01    1.26190556e+00
39       1.58665542e-07    6.25647181e-02    1.07512328e-01    1.23615501e+00
40       1.62986008e-07    5.91931956e-02    1.03466157e-01    1.23487701e+00
41       1.67306474e-07    5.63023427e-02    9.93970108e-02    1.25615918e+00
42       1.71626939e-07    5.39262112e-02    9.53318615e-02    1.29740717e+00
43       1.75947405e-07    5.20927900e-02    9.12976555e-02    1.35561633e+00
44       1.80267871e-07    5.08236753e-02    8.73211341e-02    1.42754824e+00
45       1.84588337e-07    5.01338160e-02    8.34286561e-02    1.50985250e+00
46       1.88908803e-07    5.00313383e-02    7.96460233e-02    1.59913677e+00
47       1.93229269e-07    5.05174491e-02    7.59983094e-02    1.69202699e+00
