Index       V(4)            I(VMON1)          I(VMON2)            V(1)              V(2)       
0        0.00000000e+00    6.55133278e-17   -5.34962056e-18   -2.46985246e-11    1.06992411e-14
1        1.00000000e-02    1.86602126e-15    1.36056979e-13    9.99999930e-03    9.99999973e-03
2        2.00000000e-02    3.77131725e-15    3.36192033e-13    1.99999986e-02    1.99999993e-02
3        3.00000000e-02    5.86475197e-15    6.30598082e-13    2.99999978e-02    2.99999987e-02
4        4.00000000e-02    8.24279282e-15    1.06370548e-12    3.99999969e-02    3.99999979e-02
5        5.00000000e-02    1.10212849e-14    1.70088353e-12    4.99999958e-02    4.99999966e-02
6        6.00000000e-02    1.43437054e-14    2.63830754e-12    5.99999946e-02    5.99999947e-02
7        7.00000000e-02    1.83922842e-14    4.01747495e-12    6.99999931e-02    6.99999920e-02
8        8.00000000e-02    2.34032285e-14    6.04656065e-12    7.99999912e-02    7.99999879e-02
9        9.00000000e-02    2.96878200e-14    9.03183292e-12    8.99999888e-02    8.99999819e-02
10       1.00000000e-01    3.76619003e-14    1.34238688e-11    9.99999858e-02    9.99999732e-02
11       1.10000000e-01    4.78873642e-14    1.98855390e-11    1.09999982e-01    1.09999960e-01
12       1.20000000e-01    6.11308346e-14    2.93920141e-11    1.19999977e-01    1.19999941e-01
13       1.30000000e-01    7.84469759e-14    4.33778704e-11    1.29999970e-01    1.29999913e-01
14       1.40000000e-01    1.01297154e-13    6.39534729e-11    1.39999962e-01    1.39999872e-01
15       1.50000000e-01    1.31718919e-13    9.42232500e-11    1.49999950e-01    1.49999812e-01
16       1.60000000e-01    1.72568657e-13    1.38753828e-10    1.59999935e-01    1.59999722e-01
17       1.70000000e-01    2.27869710e-13    2.04262568e-10    1.69999914e-01    1.69999591e-01
18       1.80000000e-01    3.03312865e-13    3.00630237e-10    1.79999886e-01    1.79999399e-01
19       1.90000000e-01    4.06977198e-13    4.42390375e-10    1.89999847e-01    1.89999115e-01
20       2.00000000e-01    5.50370114e-13    6.50919653e-10    1.99999793e-01    1.99998698e-01
21       2.10000000e-01    7.49930298e-13    9.57659071e-10    2.09999717e-01    2.09998085e-01
22       2.20000000e-01    1.02920281e-12    1.40885092e-09    2.19999612e-01    2.19997182e-01
23       2.30000000e-01    1.42199110e-12    2.07250444e-09    2.29999464e-01    2.29995855e-01
24       2.40000000e-01    1.97692997e-12    3.04863823e-09    2.39999255e-01    2.39993903e-01
25       2.50000000e-01    2.76412736e-12    4.48433963e-09    2.49998958e-01    2.49991031e-01
26       2.60000000e-01    3.88481946e-12    6.59590467e-09    2.59998535e-01    2.59986808e-01
27       2.70000000e-01    5.48541791e-12    9.70138369e-09    2.69997932e-01    2.69980597e-01
28       2.80000000e-01    7.77796100e-12    1.42684157e-08    2.79997068e-01    2.79971463e-01
29       2.90000000e-01    1.10699045e-11    2.09845182e-08    2.89995827e-01    2.89958031e-01
30       3.00000000e-01    1.58075354e-11    3.08603424e-08    2.99994041e-01    2.99938279e-01
31       3.10000000e-01    2.26392509e-11    4.53812897e-08    3.09991465e-01    3.09909237e-01
32       3.20000000e-01    3.25077916e-11    6.67300048e-08    3.19987745e-01    3.19866540e-01
33       3.30000000e-01    4.67846338e-11    9.81125940e-08    3.29982362e-01    3.29803775e-01
34       3.40000000e-01    6.74656595e-11    1.44236323e-07    3.39974565e-01    3.39711527e-01
35       3.50000000e-01    9.74556584e-11    2.12007865e-07    3.49963259e-01    3.49575984e-01
36       3.60000000e-01    1.40981063e-10    3.11551225e-07    3.59946850e-01    3.59376898e-01
37       3.70000000e-01    2.04186627e-10    4.57685985e-07    3.69923022e-01    3.69084628e-01
38       3.80000000e-01    2.95993418e-10    6.72061903e-07    3.79888410e-01    3.78655876e-01
39       3.90000000e-01    4.29322674e-10    9.86215732e-07    3.89838145e-01    3.88027569e-01
40       4.00000000e-01    6.22820443e-10    1.44589499e-06    3.99765197e-01    3.97108210e-01
41       4.10000000e-01    9.03243837e-10    2.11706207e-06    4.09659477e-01    4.05765876e-01
42       4.20000000e-01    1.30867185e-09    3.09400243e-06    4.19506631e-01    4.13811995e-01
43       4.30000000e-01    1.89264228e-09    4.50981148e-06    4.29286474e-01    4.20980377e-01
44       4.40000000e-01    2.72912109e-09    6.54904810e-06    4.38971121e-01    4.26901904e-01
45       4.50000000e-01    3.91778170e-09    9.46126144e-06    4.48522996e-01    4.31077477e-01
46       4.60000000e-01    5.58832759e-09    1.35722065e-05    4.57893200e-01    4.32855587e-01
47       4.70000000e-01    7.90160494e-09    1.92870365e-05    4.67021095e-01    4.31425927e-01
48       4.80000000e-01    1.10444997e-08    2.70777927e-05    4.75836224e-01    4.25844415e-01
49       4.90000000e-01    1.52161057e-08    3.74486597e-05    4.84263528e-01    4.15102681e-01
50       5.00000000e-01    2.06053877e-08    5.08793522e-05    4.92231769e-01    3.98241296e-01
51       5.10000000e-01    2.73651551e-08    6.77585839e-05    4.99683337e-01    3.74482832e-01
52       5.20000000e-01    3.55906910e-08    8.83283443e-05    5.06582310e-01    3.43343311e-01
53       5.30000000e-01    4.53104516e-08    1.12654557e-04    5.12917960e-01    3.04690885e-01
54       5.40000000e-01    5.64907894e-08    1.40597806e-04    5.18702972e-01    2.58804388e-01
55       5.50000000e-01    6.90507387e-08    1.71451127e-04    5.23967872e-01    2.07097746e-01
56       5.60000000e-01    8.28806638e-08    2.01185686e-04    5.28753990e-01    1.57628628e-01
57       5.70000000e-01    9.78584405e-08    2.22002356e-04    5.33107368e-01    1.25995287e-01
58       5.80000000e-01    1.13859091e-07    2.35312603e-04    5.37075123e-01    1.09374793e-01
59       5.90000000e-01    1.30764166e-07    2.45146573e-04    5.40701909e-01    9.97068539e-02
60       6.00000000e-01    1.48466294e-07    2.53292506e-04    5.44028207e-01    9.34149879e-02
61       6.10000000e-01    1.66870219e-07    2.60503903e-04    5.47089927e-01    8.89921941e-02
62       6.20000000e-01    1.85892611e-07    2.67143521e-04    5.49918486e-01    8.57129574e-02
63       6.30000000e-01    2.05461168e-07    2.73407356e-04    5.52541140e-01    8.31852873e-02
64       6.40000000e-01    2.25513434e-07    2.79410856e-04    5.54981435e-01    8.11782887e-02
65       6.50000000e-01    2.45995542e-07    2.85226595e-04    5.57259680e-01    7.95468095e-02
66       6.60000000e-01    2.66861014e-07    2.90902538e-04    5.59393398e-01    7.81949245e-02
67       6.70000000e-01    2.88069680e-07    2.96471672e-04    5.61397731e-01    7.70566556e-02
68       6.80000000e-01    3.09586740e-07    3.01957434e-04    5.63285799e-01    7.60851319e-02
69       6.90000000e-01    3.31381936e-07    3.07376757e-04    5.65069010e-01    7.52464863e-02
70       7.00000000e-01    3.53428910e-07    3.12742283e-04    5.66757301e-01    7.45154334e-02
71       7.10000000e-01    3.75704579e-07    3.18064066e-04    5.68359374e-01    7.38718683e-02
72       7.20000000e-01    3.98175560e-07    3.23350835e-04    5.69887814e-01    7.32983305e-02
73       7.30000000e-01    4.20847921e-07    3.28606206e-04    5.71340334e-01    7.27875883e-02
74       7.40000000e-01    4.43694905e-07    3.33835955e-04    5.72727021e-01    7.23280906e-02
75       7.50000000e-01    4.66702482e-07    3.39043869e-04    5.74053164e-01    7.19122613e-02
76       7.60000000e-01    4.89858166e-07    3.44233036e-04    5.75323471e-01    7.15339283e-02
77       7.70000000e-01    5.13150798e-07    3.49405986e-04    5.76542149e-01    7.11880273e-02
78       7.80000000e-01    5.36570373e-07    3.54564822e-04    5.77712969e-01    7.08703558e-02
79       7.90000000e-01    5.60107892e-07    3.59711301e-04    5.78839325e-01    7.05773977e-02
80       8.00000000e-01    5.83755237e-07    3.64846903e-04    5.79924276e-01    7.03061935e-02
81       8.10000000e-01    6.07505065e-07    3.69972881e-04    5.80970590e-01    7.00542387e-02
82       8.20000000e-01    6.31350715e-07    3.75090303e-04    5.81980780e-01    6.98193939e-02
83       8.30000000e-01    6.55286129e-07    3.80200088e-04    5.82957129e-01    6.95998234e-02
84       8.40000000e-01    6.79305783e-07    3.85303028e-04    5.83901720e-01    6.93939437e-02
85       8.50000000e-01    7.03404630e-07    3.90399809e-04    5.84816455e-01    6.92003818e-02
86       8.60000000e-01    7.27578046e-07    3.95491029e-04    5.85703077e-01    6.90179420e-02
87       8.70000000e-01    7.51821787e-07    4.00577211e-04    5.86563186e-01    6.88455778e-02
88       8.80000000e-01    7.76106918e-07    4.05660223e-04    5.87407692e-01    6.86795533e-02
89       8.90000000e-01    8.00478047e-07    4.10737736e-04    5.88219776e-01    6.85245273e-02
90       9.00000000e-01    8.24908905e-07    4.15811422e-04    5.89009343e-01    6.83771563e-02
91       9.10000000e-01    8.49396201e-07    4.20881611e-04    5.89777632e-01    6.82367789e-02
92       9.20000000e-01    8.73937086e-07    4.25948587e-04    5.90525719e-01    6.81028268e-02
93       9.30000000e-01    8.98528920e-07    4.31012604e-04    5.91254597e-01    6.79747920e-02
94       9.40000000e-01    9.23169245e-07    4.36073890e-04    5.91965195e-01    6.78522191e-02
95       9.50000000e-01    9.47855775e-07    4.41132651e-04    5.92658373e-01    6.77346985e-02
96       9.60000000e-01    9.72586374e-07    4.46189070e-04    5.93334937e-01    6.76218608e-02
97       9.70000000e-01    9.97359050e-07    4.51243314e-04    5.93995638e-01    6.75133724e-02
98       9.80000000e-01    1.02217194e-06    4.56295535e-04    5.94641179e-01    6.74089307e-02
99       9.90000000e-01    1.04702329e-06    4.61345869e-04    5.95272219e-01    6.73082610e-02
100      1.00000000e+00    1.07191147e-06    4.66394443e-04    5.95889374e-01    6.72111134e-02
101      1.01000000e+00    1.09683495e-06    4.71441370e-04    5.96493225e-01    6.71172596e-02
102      1.02000000e+00    1.12179227e-06    4.76486754e-04    5.97084316e-01    6.70264913e-02
103      1.03000000e+00    1.14678207e-06    4.81530691e-04    5.97663160e-01    6.69386175e-02
104      1.04000000e+00    1.17180308e-06    4.86573271e-04    5.98230240e-01    6.68534572e-02
105      1.05000000e+00    1.19685408e-06    4.91614573e-04    5.98786014e-01    6.67708549e-02
