Index       V(4)            I(VMON1)          I(VMON2)            V(1)              V(2)       
0        0.00000000e+00    2.54397051e-16   -6.66407964e-18   -9.59076883e-11    1.33281593e-14
1        1.00000000e-02    4.33885397e-15    4.73740026e-13    9.99999836e-03    9.99999905e-03
2        2.00000000e-02    8.69198102e-15    1.16360841e-12    1.99999967e-02    1.99999977e-02
3        3.00000000e-02    1.35085044e-14    2.16827952e-12    2.99999949e-02    2.99999957e-02
4        4.00000000e-02    1.90188510e-14    3.63148892e-12    3.99999928e-02    3.99999927e-02
5        5.00000000e-02    2.55055560e-14    5.76259496e-12    4.99999904e-02    4.99999885e-02
6        6.00000000e-02    3.33252823e-14    8.86653521e-12    5.99999874e-02    5.99999823e-02
7        7.00000000e-02    4.29388523e-14    1.33874557e-11    6.99999838e-02    6.99999732e-02
8        8.00000000e-02    5.49526986e-14    1.99722516e-11    7.99999793e-02    7.99999601e-02
9        9.00000000e-02    7.01765502e-14    2.95631057e-11    8.99999735e-02    8.99999409e-02
10       1.00000000e-01    8.97042251e-14    4.35322521e-11    9.99999662e-02    9.99999129e-02
11       1.10000000e-01    1.15027305e-13    6.38782317e-11    1.09999957e-01    1.09999872e-01
12       1.20000000e-01    1.48195649e-13    9.35116860e-11    1.19999944e-01    1.19999813e-01
13       1.30000000e-01    1.92044692e-13    1.36671530e-10    1.29999928e-01    1.29999727e-01
14       1.40000000e-01    2.50518120e-13    1.99530970e-10    1.39999906e-01    1.39999601e-01
15       1.50000000e-01    3.29126884e-13    2.91079931e-10    1.49999876e-01    1.49999418e-01
16       1.60000000e-01    4.35603447e-13    4.24409944e-10    1.59999836e-01    1.59999151e-01
17       1.70000000e-01    5.80835925e-13    6.18584980e-10    1.69999781e-01    1.69998763e-01
18       1.80000000e-01    7.80204041e-13    9.01365340e-10    1.79999706e-01    1.79998197e-01
19       1.90000000e-01    1.05549255e-12    1.31317343e-09    1.89999602e-01    1.89997374e-01
20       2.00000000e-01    1.43763551e-12    1.91286740e-09    1.99999458e-01    1.99996174e-01
21       2.10000000e-01    1.97065683e-12    2.78614621e-09    2.09999257e-01    2.09994428e-01
22       2.20000000e-01    2.71733505e-12    4.05778491e-09    2.19998976e-01    2.19991884e-01
23       2.30000000e-01    3.76735424e-12    5.90944376e-09    2.29998580e-01    2.29988181e-01
24       2.40000000e-01    5.24904242e-12    8.60558790e-09    2.39998021e-01    2.39982789e-01
25       2.50000000e-01    7.34628848e-12    1.25312056e-08    2.49997230e-01    2.49974938e-01
26       2.60000000e-01    1.03229367e-11    1.82466857e-08    2.59996108e-01    2.59963507e-01
27       2.70000000e-01    1.45579802e-11    2.65676384e-08    2.69994512e-01    2.69946865e-01
28       2.80000000e-01    2.05963486e-11    3.86809557e-08    2.79992235e-01    2.79922638e-01
29       2.90000000e-01    2.92222051e-11    5.63134757e-08    2.89988983e-01    2.89887373e-01
30       3.00000000e-01    4.15647125e-11    8.19769164e-08    2.99984330e-01    2.99836046e-01
31       3.10000000e-01    5.92505668e-11    1.19323194e-07    3.09977663e-01    3.09761354e-01
32       3.20000000e-01    8.46237518e-11    1.73659111e-07    3.19968097e-01    3.19652682e-01
33       3.30000000e-01    1.21061595e-10    2.52690286e-07    3.29954360e-01    3.29494619e-01
34       3.40000000e-01    1.73428088e-10    3.67593124e-07    3.39934618e-01    3.39264814e-01
35       3.50000000e-01    2.48721396e-10    5.34552552e-07    3.49906232e-01    3.48930895e-01
36       3.60000000e-01    3.56992987e-10    7.76953572e-07    3.59865414e-01    3.58446093e-01
37       3.70000000e-01    5.12640266e-10    1.12847500e-06    3.69806735e-01    3.67743050e-01
38       3.80000000e-01    7.36199454e-10    1.63739597e-06    3.79722453e-01    3.76725208e-01
39       3.90000000e-01    1.05678129e-09    2.37246722e-06    3.89601593e-01    3.85255066e-01
40       4.00000000e-01    1.51527743e-09    3.43066788e-06    3.99428740e-01    3.93138664e-01
41       4.10000000e-01    2.16837980e-09    4.94696709e-06    4.09182521e-01    4.00106066e-01
42       4.20000000e-01    3.09323213e-09    7.10567463e-06    4.18833851e-01    4.05788651e-01
43       4.30000000e-01    4.39209078e-09    1.01518959e-05    4.28344182e-01    4.09696208e-01
44       4.40000000e-01    6.19566810e-09    1.43998910e-05    4.37664233e-01    4.11200218e-01
45       4.50000000e-01    8.66299831e-09    2.02330877e-05    4.46734050e-01    4.09533825e-01
46       4.60000000e-01    1.19752045e-08    2.80893208e-05    4.55485348e-01    4.03821358e-01
47       4.70000000e-01    1.63213372e-08    3.84267174e-05    4.63846856e-01    3.93146565e-01
48       4.80000000e-01    2.18771817e-08    5.16721885e-05    4.71752302e-01    3.76655623e-01
49       4.90000000e-01    2.87818622e-08    6.81639401e-05    4.79149238e-01    3.53672120e-01
50       5.00000000e-01    3.71196141e-08    8.81048231e-05    4.86005905e-01    3.23790354e-01
51       5.10000000e-01    4.69126929e-08    1.11533706e-04    4.92313915e-01    2.86932587e-01
52       5.20000000e-01    5.81265278e-08    1.38258063e-04    4.98086299e-01    2.43483874e-01
