Index      V(REF)             V(2)              V(1)              I(E)       
0        0.00000000e+00    0.00000000e+00    2.60407555e-13    2.60407555e-16
1       -5.00000000e-03   -1.00000000e-02   -9.99946366e-03    5.36335222e-10
2       -1.00000000e-02   -2.00000000e-02   -1.99990955e-02    9.04500967e-10
3       -1.50000000e-02   -3.00000000e-02   -2.99988420e-02    1.15795313e-09
4       -2.00000000e-02   -4.00000000e-02   -3.99986668e-02    1.33315003e-09
5       -2.50000000e-02   -5.00000000e-02   -4.99985450e-02    1.45495816e-09
6       -3.00000000e-02   -6.00000000e-02   -5.99984597e-02    1.54033839e-09
7       -3.50000000e-02   -7.00000000e-02   -6.99983991e-02    1.60085989e-09
8       -4.00000000e-02   -8.00000000e-02   -7.99983556e-02    1.64441452e-09
9       -4.50000000e-02   -9.00000000e-02   -8.99983236e-02    1.67638599e-09
10      -5.00000000e-02   -1.00000000e-01   -9.99982996e-02    1.70044721e-09
11      -5.50000000e-02   -1.10000000e-01   -1.09998281e-01    1.71910406e-09
12      -6.00000000e-02   -1.20000000e-01   -1.19998266e-01    1.73406624e-09
13      -6.50000000e-02   -1.30000000e-01   -1.29998253e-01    1.74650022e-09
14      -7.00000000e-02   -1.40000000e-01   -1.39998243e-01    1.75720179e-09
15      -7.50000000e-02   -1.50000000e-01   -1.49998233e-01    1.76671382e-09
16      -8.00000000e-02   -1.60000000e-01   -1.59998225e-01    1.77540667e-09
17      -8.50000000e-02   -1.70000000e-01   -1.69998216e-01    1.78353309e-09
18      -9.00000000e-02   -1.80000000e-01   -1.79998209e-01    1.79126568e-09
19      -9.50000000e-02   -1.90000000e-01   -1.89998201e-01    1.79872245e-09
20      -1.00000000e-01   -2.00000000e-01   -1.99998194e-01    1.80598423e-09
21      -1.05000000e-01   -2.10000000e-01   -2.09998187e-01    1.81310648e-09
End of Xyce(TM) Simulation
