Index        V(2)             V(1)             I(V1)
0       0.00000000e+00   2.60492624e-13   2.60492624e-16   
1       -1.00000000e-02  -9.99946365e-03  5.36349863e-10   
2       -2.00000000e-02  -1.99990954e-02  9.04575181e-10   
3       -3.00000000e-02  -2.99988419e-02  1.15810263e-09   
4       -4.00000000e-02  -3.99986666e-02  1.33337460e-09   
5       -5.00000000e-02  -4.99985447e-02  1.45525017e-09   
6       -6.00000000e-02  -5.99984593e-02  1.54068756e-09   
7       -7.00000000e-02  -6.99983987e-02  1.60125573e-09   
8       -8.00000000e-02  -7.99983552e-02  1.64484751e-09   
9       -9.00000000e-02  -8.99983232e-02  1.67684803e-09   
10      -1.00000000e-01  -9.99982991e-02  1.70093167e-09   
11      -1.10000000e-01  -1.09998280e-01  1.71960566e-09   
12      -1.20000000e-01  -1.19998265e-01  1.73458089e-09   
13      -1.30000000e-01  -1.29998253e-01  1.74702477e-09   
14      -1.40000000e-01  -1.39998242e-01  1.75773385e-09   
15      -1.50000000e-01  -1.49998233e-01  1.76725162e-09   
16      -1.60000000e-01  -1.59998224e-01  1.77594888e-09   
17      -1.70000000e-01  -1.69998216e-01  1.78407874e-09   
18      -1.80000000e-01  -1.79998208e-01  1.79181406e-09   
19      -1.90000000e-01  -1.89998201e-01  1.79927304e-09   
20      -2.00000000e-01  -1.99998193e-01  1.80653666e-09   
21      -2.10000000e-01  -2.09998186e-01  1.81366050e-09   
End of Xyce(TM) Simulation
