Index              VPOS           VBB           V(T2)           V(1)           V(6)           I(VMON1)           I(VMON2)           I(VMON3)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.18266430e-17   3.28178914e-18   6.51084322e-17   
1       2.00000000e-01   0.00000000e+00   0.00000000e+00   2.00000000e-01   0.00000000e+00   4.54263814e-12   1.58618121e-10   1.63160759e-10   
2       4.00000000e-01   0.00000000e+00   0.00000000e+00   4.00000000e-01   0.00000000e+00   9.14531892e-09   3.15572391e-07   3.24717710e-07   
3       6.00000000e-01   0.00000000e+00   0.00000000e+00   6.00000000e-01   0.00000000e+00   3.98690072e-07   1.37384686e-05   1.41371587e-05   
4       8.00000000e-01   0.00000000e+00   0.00000000e+00   8.00000000e-01   0.00000000e+00   1.06373177e-06   3.70095188e-05   3.80732506e-05   
5       1.00000000e+00   0.00000000e+00   0.00000000e+00   1.00000000e+00   0.00000000e+00   1.77194250e-06   6.22782063e-05   6.40501488e-05   
6       1.20000000e+00   0.00000000e+00   0.00000000e+00   1.20000000e+00   0.00000000e+00   2.49366870e-06   8.84570919e-05   9.09507607e-05   
7       1.40000000e+00   0.00000000e+00   0.00000000e+00   1.40000000e+00   0.00000000e+00   3.22120154e-06   1.15204534e-04   1.18425736e-04   
8       1.60000000e+00   0.00000000e+00   0.00000000e+00   1.60000000e+00   0.00000000e+00   3.95156384e-06   1.42360904e-04   1.46312468e-04   
9       1.80000000e+00   0.00000000e+00   0.00000000e+00   1.80000000e+00   0.00000000e+00   4.68331170e-06   1.69839204e-04   1.74522516e-04   
10      2.00000000e+00   0.00000000e+00   0.00000000e+00   2.00000000e+00   0.00000000e+00   5.41563324e-06   1.97587621e-04   2.03003254e-04   
11      2.00000000e+00   0.00000000e+00   0.00000000e+00   2.00000000e+00   0.00000000e+00   5.41563324e-06   1.97587621e-04   2.03003254e-04   
12      2.00000000e+00   2.00000000e-01   0.00000000e+00   2.00000000e+00   -2.00000000e-01  6.16732243e-06   2.23747789e-04   2.29915112e-04   
13      2.00000000e+00   4.00000000e-01   0.00000000e+00   2.00000000e+00   -4.00000000e-01  6.92278785e-06   2.49734441e-04   2.56657229e-04   
14      2.00000000e+00   6.00000000e-01   0.00000000e+00   2.00000000e+00   -6.00000000e-01  7.68184895e-06   2.75527108e-04   2.83208957e-04   
15      2.00000000e+00   8.00000000e-01   0.00000000e+00   2.00000000e+00   -8.00000000e-01  8.44443173e-06   3.01105435e-04   3.09549867e-04   
16      2.00000000e+00   1.00000000e+00   0.00000000e+00   2.00000000e+00   -1.00000000e+00  9.21054089e-06   3.26448416e-04   3.35658957e-04   
17      2.00000000e+00   1.20000000e+00   0.00000000e+00   2.00000000e+00   -1.20000000e+00  9.98023950e-06   3.51534219e-04   3.61514458e-04   
18      2.00000000e+00   1.40000000e+00   0.00000000e+00   2.00000000e+00   -1.40000000e+00  1.07536317e-05   3.76340485e-04   3.87094117e-04   
19      2.00000000e+00   1.60000000e+00   0.00000000e+00   2.00000000e+00   -1.60000000e+00  1.15308436e-05   4.00845258e-04   4.12376101e-04   
20      2.00000000e+00   1.80000000e+00   0.00000000e+00   2.00000000e+00   -1.80000000e+00  1.23119979e-05   4.25028787e-04   4.37340784e-04   
21      2.00000000e+00   2.00000000e+00   0.00000000e+00   2.00000000e+00   -2.00000000e+00  1.30971818e-05   4.48876150e-04   4.61973331e-04   
End of Xyce(TM) Homotopy Simulation
