Index       TIME          {V(VOUT)+1.0}      {V(IN)+1.0}      {I(VDD)-10.0}    {I(VIN1)+50.0}  
0        0.00000000e+00    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
1        5.00000000e-09    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
2        1.50000000e-08    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
3        3.50000000e-08    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
4        7.50000000e-08    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
5        1.55000000e-07    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
6        2.55000000e-07    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
7        3.55000000e-07    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
8        4.55000000e-07    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
9        5.55000000e-07    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
10       6.55000000e-07    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
11       7.55000000e-07    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
12       8.55000000e-07    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
13       9.55000000e-07    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
14       1.00000000e-06    3.50017595e+00    1.00000000e+00   -5.18399071e+01    9.18349068e+01
15       1.00125000e-06    3.50394952e+00    1.07500000e+00   -5.07108262e+01    9.07055749e+01
16       1.00237500e-06    3.50717398e+00    1.14250000e+00   -4.97192525e+01    8.97139114e+01
17       1.00350000e-06    3.51035940e+00    1.21000000e+00   -4.87218341e+01    8.87164155e+01
18       1.00462500e-06    3.51356812e+00    1.27750000e+00   -4.77148160e+01    8.77093147e+01
19       1.00687500e-06    3.52002595e+00    1.41250000e+00   -4.56632297e+01    8.56575472e+01
20       1.00912500e-06    3.52664704e+00    1.54750000e+00   -4.35535778e+01    8.35473722e+01
21       1.00945296e-06    3.52762606e+00    1.56717780e+00   -4.32416914e+01    8.32351262e+01
22       1.01010889e-06    3.52959820e+00    1.60653340e+00   -4.26143692e+01    8.26061900e+01
23       1.01076482e-06    3.53156734e+00    1.64588900e+00   -4.19835011e+01    8.19715191e+01
24       1.01142074e-06    3.53350997e+00    1.68524460e+00   -4.13493550e+01    8.13296800e+01
25       1.01207667e-06    3.53541626e+00    1.72460020e+00   -4.07125961e+01    8.06805661e+01
26       1.01273260e-06    3.53734933e+00    1.76395580e+00   -4.00713081e+01    8.00226751e+01
27       1.01338852e-06    3.53934872e+00    1.80331140e+00   -3.94246869e+01    7.93520745e+01
28       1.01404445e-06    3.54137070e+00    1.84266700e+00   -3.87737220e+01    7.86656529e+01
29       1.01470038e-06    3.54338599e+00    1.88202260e+00   -3.81193624e+01    7.79594191e+01
30       1.01601223e-06    3.54739650e+00    1.96073380e+00   -3.68001171e+01    7.64675901e+01
31       1.01732408e-06    3.55145440e+00    2.03944500e+00   -3.54648590e+01    7.48387055e+01
32       1.01863594e-06    3.55563732e+00    2.11815620e+00   -3.41110713e+01    7.30447025e+01
33       1.01994779e-06    3.55999184e+00    2.19686740e+00   -3.27369650e+01    7.10728399e+01
34       1.02125964e-06    3.56454221e+00    2.27557860e+00   -3.13410614e+01    6.89263473e+01
35       1.02257150e-06    3.56929445e+00    2.35428980e+00   -2.99224199e+01    6.66173607e+01
36       1.02388335e-06    3.57428336e+00    2.43300100e+00   -2.84793435e+01    6.41600843e+01
37       1.02519520e-06    3.57953288e+00    2.51171220e+00   -2.70106256e+01    6.15670348e+01
38       1.02650706e-06    3.58510229e+00    2.59042340e+00   -2.55138287e+01    5.88481481e+01
39       1.02781891e-06    3.59107188e+00    2.66913460e+00   -2.39842621e+01    5.60094214e+01
40       1.02913076e-06    3.59757467e+00    2.74784580e+00   -2.24078600e+01    5.30466239e+01
41       1.03044262e-06    3.60502150e+00    2.82655700e+00   -2.07245859e+01    4.99088171e+01
42       1.03175447e-06    3.61508727e+00    2.90526820e+00   -1.86654544e+01    4.63360420e+01
43       1.03306632e-06    3.63252258e+00    2.98397940e+00   -1.55485889e+01    4.16546723e+01
44       1.03421502e-06    3.65765416e+00    3.05290119e+00   -1.17881385e+01    3.64888005e+01
45       1.03513027e-06    3.68458145e+00    3.10781597e+00   -8.65970491e+00    3.22204251e+01
46       1.03595308e-06    3.71364676e+00    3.15718493e+00   -6.25411124e+00    2.87771175e+01
47       1.03677590e-06    3.74717240e+00    3.20655388e+00   -4.53267599e+00    2.60074407e+01
48       1.03751643e-06    3.78107640e+00    3.25098593e+00   -3.64632286e+00    2.41700108e+01
49       1.03825697e-06    3.81808397e+00    3.29541799e+00   -3.30667263e+00    2.28731143e+01
50       1.03892345e-06    3.85343948e+00    3.33540684e+00   -3.33712906e+00    2.20377281e+01
51       1.03958993e-06    3.89064542e+00    3.37539569e+00   -3.60961428e+00    2.14408800e+01
52       1.04025641e-06    3.92993393e+00    3.41538454e+00   -4.07727786e+00    2.10363685e+01
53       1.04092289e-06    3.97034819e+00    3.45537339e+00   -4.60207886e+00    2.06868520e+01
54       1.04158937e-06    4.01052778e+00    3.49536225e+00   -5.05604869e+00    2.02651689e+01
55       1.04225585e-06    4.05009187e+00    3.53535110e+00   -5.42078979e+00    1.97533450e+01
56       1.04292233e-06    4.08923118e+00    3.57533995e+00   -5.72397401e+00    1.91795034e+01
57       1.04358881e-06    4.12803910e+00    3.61532880e+00   -5.98227763e+00    1.85606607e+01
58       1.04425529e-06    4.16658223e+00    3.65531765e+00   -6.20728426e+00    1.79088259e+01
59       1.04492178e-06    4.20481850e+00    3.69530650e+00   -6.40208409e+00    1.72274015e+01
60       1.04625474e-06    4.28058894e+00    3.77528420e+00   -6.73348076e+00    1.58096106e+01
61       1.04758770e-06    4.35535700e+00    3.85526191e+00   -7.00281925e+00    1.43358917e+01
62       1.04892066e-06    4.42928825e+00    3.93523961e+00   -7.23733372e+00    1.28353776e+01
63       1.05000000e-06    4.48835213e+00    4.00000000e+00   -7.40157570e+00    1.16018048e+01
64       1.05013330e-06    4.48797611e+00    4.00000000e+00   -7.42986349e+00    1.15764383e+01
65       1.05023379e-06    4.48761315e+00    4.00000000e+00   -7.44792329e+00    1.15493622e+01
66       1.05043479e-06    4.48682226e+00    4.00000000e+00   -7.48203895e+00    1.14883703e+01
67       1.05083677e-06    4.48502986e+00    4.00000000e+00   -7.54457193e+00    1.13480729e+01
68       1.05164074e-06    4.48099783e+00    4.00000000e+00   -7.65943048e+00    1.10532447e+01
69       1.05324869e-06    4.47142204e+00    4.00000000e+00   -7.86295211e+00    1.04723910e+01
70       1.05485663e-06    4.45963104e+00    4.00000000e+00   -8.04136203e+00    9.92531422e+00
71       1.05646458e-06    4.44503993e+00    4.00000000e+00   -8.20066421e+00    9.41252296e+00
72       1.05807252e-06    4.42664519e+00    4.00000000e+00   -8.34450255e+00    8.93035794e+00
73       1.05968047e-06    4.40244035e+00    4.00000000e+00   -8.47507045e+00    8.47552315e+00
74       1.06128841e-06    4.36740529e+00    4.00000000e+00   -8.59437138e+00    8.04749880e+00
75       1.06289636e-06    4.30456201e+00    4.00000000e+00   -8.70360668e+00    7.64941937e+00
76       1.06450430e-06    4.15896515e+00    4.00000000e+00   -8.80372531e+00    7.29860299e+00
77       1.06611225e-06    3.87550566e+00    4.00000000e+00   -8.89518447e+00    7.00331030e+00
78       1.06772019e-06    3.56170072e+00    4.00000000e+00   -8.97995441e+00    6.71683034e+00
79       1.07093608e-06    2.88439406e+00    4.00000000e+00   -9.12985713e+00    6.24710395e+00
80       1.07415197e-06    2.22168014e+00    4.00000000e+00   -9.25863882e+00    5.85831215e+00
81       1.07736786e-06    1.69592702e+00    4.00000000e+00   -9.36669704e+00    5.57548136e+00
82       1.08058375e-06    1.57424781e+00    4.00000000e+00   -9.45741484e+00    5.35310582e+00
83       1.08379964e-06    1.53689505e+00    4.00000000e+00   -9.53433830e+00    5.14222823e+00
84       1.08701553e-06    1.51458132e+00    4.00000000e+00   -9.60104449e+00    4.94911240e+00
85       1.09023142e-06    1.49742061e+00    4.00000000e+00   -9.65817929e+00    4.78549007e+00
86       1.09344731e-06    1.48503245e+00    4.00000000e+00   -9.70809309e+00    4.63004626e+00
87       1.09666320e-06    1.47421178e+00    4.00000000e+00   -9.75076080e+00    4.49602625e+00
88       1.09987909e-06    1.46629528e+00    4.00000000e+00   -9.78816398e+00    4.36496884e+00
89       1.10309498e-06    1.45872062e+00    4.00000000e+00   -9.81981260e+00    4.25357323e+00
90       1.10952676e-06    1.44821975e+00    4.00000000e+00   -9.87135637e+00    4.04391280e+00
91       1.11595854e-06    1.44003297e+00    4.00000000e+00   -9.90860733e+00    3.86975424e+00
92       1.12239032e-06    1.43476144e+00    4.00000000e+00   -9.93619791e+00    3.71336578e+00
93       1.12882210e-06    1.43024191e+00    4.00000000e+00   -9.95553028e+00    3.58448387e+00
94       1.13525388e-06    1.42760821e+00    4.00000000e+00   -9.96983704e+00    3.46635585e+00
95       1.13605785e-06    1.42711983e+00    4.00000000e+00   -9.97109644e+00    3.45493603e+00
96       1.13766580e-06    1.42651641e+00    4.00000000e+00   -9.97377009e+00    3.42942324e+00
97       1.14088169e-06    1.42547378e+00    4.00000000e+00   -9.97845939e+00    3.38064983e+00
98       1.14168566e-06    1.42524029e+00    4.00000000e+00   -9.97949273e+00    3.36913062e+00
99       1.14329360e-06    1.42479041e+00    4.00000000e+00   -9.98145510e+00    3.34653389e+00
100      1.14650949e-06    1.42400373e+00    4.00000000e+00   -9.98489423e+00    3.30351248e+00
101      1.14731347e-06    1.42383345e+00    4.00000000e+00   -9.98564814e+00    3.29328290e+00
102      1.14892141e-06    1.42349923e+00    4.00000000e+00   -9.98708180e+00    3.27329986e+00
103      1.15213730e-06    1.42291140e+00    4.00000000e+00   -9.98958632e+00    3.23535636e+00
104      1.15294127e-06    1.42278411e+00    4.00000000e+00   -9.99013371e+00    3.22635402e+00
105      1.15454922e-06    1.42253186e+00    4.00000000e+00   -9.99117245e+00    3.20879660e+00
106      1.15776511e-06    1.42208644e+00    4.00000000e+00   -9.99297883e+00    3.17552151e+00
107      1.15856908e-06    1.42199037e+00    4.00000000e+00   -9.99337223e+00    3.16763605e+00
108      1.16017702e-06    1.42179756e+00    4.00000000e+00   -9.99411687e+00    3.15228730e+00
109      1.16339291e-06    1.42145395e+00    4.00000000e+00   -9.99540491e+00    3.12326621e+00
110      1.16419689e-06    1.42137985e+00    4.00000000e+00   -9.99568413e+00    3.11640032e+00
111      1.16580483e-06    1.42122650e+00    4.00000000e+00   -9.99621022e+00    3.10310355e+00
112      1.16620682e-06    1.42119101e+00    4.00000000e+00   -9.99633284e+00    3.09984760e+00
113      1.16701079e-06    1.42111830e+00    4.00000000e+00   -9.99656893e+00    3.09348452e+00
114      1.16861873e-06    1.42097064e+00    4.00000000e+00   -9.99700478e+00    3.08125435e+00
115      1.16902072e-06    1.42093368e+00    4.00000000e+00   -9.99710429e+00    3.07832009e+00
116      1.16982469e-06    1.42085044e+00    4.00000000e+00   -9.99729403e+00    3.07269868e+00
117      1.17143264e-06    1.42069120e+00    4.00000000e+00   -9.99764515e+00    3.06166453e+00
118      1.17163363e-06    1.42067759e+00    4.00000000e+00   -9.99768727e+00    3.06022347e+00
119      1.17203562e-06    1.42064888e+00    4.00000000e+00   -9.99776554e+00    3.05745461e+00
120      1.17243760e-06    1.42061782e+00    4.00000000e+00   -9.99784678e+00    3.05474392e+00
121      1.17324158e-06    1.42055976e+00    4.00000000e+00   -9.99799993e+00    3.04933481e+00
122      1.17484952e-06    1.42046063e+00    4.00000000e+00   -9.99829380e+00    3.03871928e+00
123      1.17525151e-06    1.42044011e+00    4.00000000e+00   -9.99836372e+00    3.03609325e+00
124      1.17605548e-06    1.42039943e+00    4.00000000e+00   -9.99850043e+00    3.03092879e+00
125      1.17766342e-06    1.42032549e+00    4.00000000e+00   -9.99876214e+00    3.02084139e+00
126      1.18087931e-06    1.42020641e+00    4.00000000e+00   -9.99922341e+00    3.00166796e+00
127      1.18168329e-06    1.42018418e+00    4.00000000e+00   -9.99932551e+00    2.99708687e+00
128      1.18329123e-06    1.42013801e+00    4.00000000e+00   -9.99951200e+00    2.98818656e+00
129      1.18650712e-06    1.42005171e+00    4.00000000e+00   -9.99980399e+00    2.97143054e+00
130      1.18731109e-06    1.42003362e+00    4.00000000e+00   -9.99985731e+00    2.96747106e+00
131      1.18891904e-06    1.41999220e+00    4.00000000e+00   -9.99994324e+00    2.95982738e+00
132      1.19052698e-06    1.41993959e+00    4.00000000e+00   -9.99998716e+00    2.95267766e+00
133      1.19072798e-06    1.41993159e+00    4.00000000e+00   -9.99998528e+00    2.95183748e+00
134      1.19112996e-06    1.41991314e+00    4.00000000e+00   -9.99998005e+00    2.95022312e+00
135      1.19193394e-06    1.41986088e+00    4.00000000e+00   -9.99998408e+00    2.94730658e+00
136      1.19273791e-06    1.41979650e+00    4.00000000e+00   -9.99998441e+00    2.94459532e+00
137      1.19354188e-06    1.41973720e+00    4.00000000e+00   -9.99999432e+00    2.94182503e+00
138      1.19434585e-06    1.41969369e+00    4.00000000e+00   -9.99999550e+00    2.93887383e+00
139      1.19514983e-06    1.41966608e+00    4.00000000e+00   -9.99999968e+00    2.93578777e+00
140      1.19595380e-06    1.41964970e+00    4.00000000e+00   -9.99999789e+00    2.93263929e+00
141      1.19756174e-06    1.41963363e+00    4.00000000e+00   -1.00000008e+01    2.92636369e+00
142      1.19916969e-06    1.41962808e+00    4.00000000e+00   -9.99999878e+00    2.92022747e+00
143      1.20238558e-06    1.41962464e+00    4.00000000e+00   -1.00000010e+01    2.90859841e+00
144      1.20560147e-06    1.41962439e+00    4.00000000e+00   -9.99999897e+00    2.89786691e+00
145      1.21203325e-06    1.41962448e+00    4.00000000e+00   -1.00000010e+01    2.87895558e+00
146      1.21846503e-06    1.41962466e+00    4.00000000e+00   -9.99999899e+00    2.86308347e+00
147      1.23132859e-06    1.41962468e+00    4.00000000e+00   -1.00000010e+01    2.83848242e+00
148      1.25705570e-06    1.41962461e+00    4.00000000e+00   -9.99999900e+00    2.80855451e+00
149      1.30850994e-06    1.41962442e+00    4.00000000e+00   -1.00000010e+01    2.78592423e+00
150      1.41141841e-06    1.41962441e+00    4.00000000e+00   -9.99999900e+00    2.78047533e+00
151      1.51432689e-06    1.41962439e+00    4.00000000e+00   -1.00000010e+01    2.78141873e+00
152      1.71432689e-06    1.41962442e+00    4.00000000e+00   -9.99999901e+00    2.78121357e+00
153      1.91432689e-06    1.41962439e+00    4.00000000e+00   -1.00000010e+01    2.78131013e+00
154      2.00000000e-06    1.41962442e+00    4.00000000e+00   -9.99999901e+00    2.78127608e+00
End of Xyce(TM) Simulation
