Index              V(1)           V(2)           I(VIDMON)
0       -1.50000000e+01  0.00000000e+00   -1.25121563e-03  
1       -1.40000000e+01  0.00000000e+00   -1.24648293e-03  
2       -1.30000000e+01  0.00000000e+00   -1.24175023e-03  
3       -1.20000000e+01  0.00000000e+00   -1.23701752e-03  
4       -1.10000000e+01  0.00000000e+00   -1.23228482e-03  
5       -1.00000000e+01  0.00000000e+00   -1.22755212e-03  
6       -9.00000000e+00  0.00000000e+00   -1.22281941e-03  
7       -8.00000000e+00  0.00000000e+00   -1.21808671e-03  
8       -7.00000000e+00  0.00000000e+00   -1.21335401e-03  
9       -6.00000000e+00  0.00000000e+00   -1.20862131e-03  
10      -5.00000000e+00  0.00000000e+00   -1.20388860e-03  
11      -4.00000000e+00  0.00000000e+00   -1.19915590e-03  
12      -3.00000000e+00  0.00000000e+00   -1.19442320e-03  
13      -2.00000000e+00  0.00000000e+00   -1.13688376e-03  
14      -1.00000000e+00  0.00000000e+00   -7.69285556e-04  
15      0.00000000e+00   0.00000000e+00   -5.42101086e-20  
16      -1.50000000e+01  5.00000000e-01   -6.73223736e-04  
17      -1.40000000e+01  5.00000000e-01   -6.70677278e-04  
18      -1.30000000e+01  5.00000000e-01   -6.68130820e-04  
19      -1.20000000e+01  5.00000000e-01   -6.65584362e-04  
20      -1.10000000e+01  5.00000000e-01   -6.63037904e-04  
21      -1.00000000e+01  5.00000000e-01   -6.60491446e-04  
22      -9.00000000e+00  5.00000000e-01   -6.57944987e-04  
23      -8.00000000e+00  5.00000000e-01   -6.55398529e-04  
24      -7.00000000e+00  5.00000000e-01   -6.52852071e-04  
25      -6.00000000e+00  5.00000000e-01   -6.50305613e-04  
26      -5.00000000e+00  5.00000000e-01   -6.47759155e-04  
27      -4.00000000e+00  5.00000000e-01   -6.45212697e-04  
28      -3.00000000e+00  5.00000000e-01   -6.42666238e-04  
29      -2.00000000e+00  5.00000000e-01   -6.39366744e-04  
30      -1.00000000e+00  5.00000000e-01   -4.75087808e-04  
31      0.00000000e+00   5.00000000e-01   -1.39800000e-10  
32      -1.50000000e+01  1.00000000e+00   -2.87769037e-04  
33      -1.40000000e+01  1.00000000e+00   -2.86680555e-04  
34      -1.30000000e+01  1.00000000e+00   -2.85592073e-04  
35      -1.20000000e+01  1.00000000e+00   -2.84503591e-04  
36      -1.10000000e+01  1.00000000e+00   -2.83415109e-04  
37      -1.00000000e+01  1.00000000e+00   -2.82326627e-04  
38      -9.00000000e+00  1.00000000e+00   -2.81238144e-04  
39      -8.00000000e+00  1.00000000e+00   -2.80149662e-04  
40      -7.00000000e+00  1.00000000e+00   -2.79061180e-04  
41      -6.00000000e+00  1.00000000e+00   -2.77972698e-04  
42      -5.00000000e+00  1.00000000e+00   -2.76884216e-04  
43      -4.00000000e+00  1.00000000e+00   -2.75795734e-04  
44      -3.00000000e+00  1.00000000e+00   -2.74707252e-04  
45      -2.00000000e+00  1.00000000e+00   -2.73618770e-04  
46      -1.00000000e+00  1.00000000e+00   -2.37665966e-04  
47      0.00000000e+00   1.00000000e+00   -1.40300000e-10  
48      -1.50000000e+01  1.50000000e+00   -6.91901299e-05  
49      -1.40000000e+01  1.50000000e+00   -6.89284189e-05  
50      -1.30000000e+01  1.50000000e+00   -6.86667080e-05  
51      -1.20000000e+01  1.50000000e+00   -6.84049970e-05  
52      -1.10000000e+01  1.50000000e+00   -6.81432861e-05  
53      -1.00000000e+01  1.50000000e+00   -6.78815752e-05  
54      -9.00000000e+00  1.50000000e+00   -6.76198642e-05  
55      -8.00000000e+00  1.50000000e+00   -6.73581533e-05  
56      -7.00000000e+00  1.50000000e+00   -6.70964423e-05  
57      -6.00000000e+00  1.50000000e+00   -6.68347314e-05  
58      -5.00000000e+00  1.50000000e+00   -6.65730204e-05  
59      -4.00000000e+00  1.50000000e+00   -6.63113095e-05  
60      -3.00000000e+00  1.50000000e+00   -6.60495986e-05  
61      -2.00000000e+00  1.50000000e+00   -6.57878876e-05  
62      -1.00000000e+00  1.50000000e+00   -6.52187102e-05  
63      0.00000000e+00   1.50000000e+00   -1.40800000e-10  
End of Xyce(TM) Simulation
