Index        V(1)             V(6)           I(VMON1)         I(VMON2)         I(VMON3)
0       0.00000000e+00   0.00000000e+00   -1.03895922e-18  1.24973756e-19   -9.13984946e-19  
1       1.00000000e+00   0.00000000e+00   1.49615688e-06   8.97694366e-05   9.12655935e-05   
2       2.00000000e+00   0.00000000e+00   4.60796137e-06   2.76477742e-04   2.81085704e-04   
3       3.00000000e+00   0.00000000e+00   7.76984471e-06   4.66190780e-04   4.73960625e-04   
4       4.00000000e+00   0.00000000e+00   1.09465631e-05   6.56793922e-04   6.67740485e-04   
5       5.00000000e+00   0.00000000e+00   1.41304757e-05   8.47828713e-04   8.61959189e-04   
6       0.00000000e+00   -5.00000000e-01  5.26929968e-07   -5.18629775e-07  8.30019322e-09   
7       1.00000000e+00   -5.00000000e-01  3.03994364e-06   1.82396629e-04   1.85436573e-04   
8       2.00000000e+00   -5.00000000e-01  6.18618203e-06   3.71170970e-04   3.77357152e-04   
9       3.00000000e+00   -5.00000000e-01  9.35700537e-06   5.61420407e-04   5.70777413e-04   
10      4.00000000e+00   -5.00000000e-01  1.25377866e-05   7.52267322e-04   7.64805108e-04   
11      5.00000000e+00   -5.00000000e-01  1.57242013e-05   9.43452240e-04   9.59176441e-04   
12      0.00000000e+00   -1.00000000e+00  2.92517562e-06   -2.88605541e-06  3.91202092e-08   
13      1.00000000e+00   -1.00000000e+00  4.60803796e-06   2.76481513e-04   2.81089551e-04   
14      2.00000000e+00   -1.00000000e+00  7.76984502e-06   4.66190737e-04   4.73960582e-04   
15      3.00000000e+00   -1.00000000e+00  1.09465635e-05   6.56793884e-04   6.67740447e-04   
16      4.00000000e+00   -1.00000000e+00  1.41304761e-05   8.47828676e-04   8.61959152e-04   
17      5.00000000e+00   -1.00000000e+00  1.73187691e-05   1.03912630e-03   1.05644506e-03   
18      0.00000000e+00   -1.50000000e+00  5.47150757e-06   -5.40842897e-06  6.30786025e-08   
19      1.00000000e+00   -1.50000000e+00  6.19677461e-06   3.70186595e-04   3.76383370e-04   
20      2.00000000e+00   -1.50000000e+00  9.35700194e-06   5.61420140e-04   5.70777142e-04   
21      3.00000000e+00   -1.50000000e+00  1.25377871e-05   7.52267287e-04   7.64805074e-04   
22      4.00000000e+00   -1.50000000e+00  1.57242017e-05   9.43452202e-04   9.59176404e-04   
23      5.00000000e+00   -1.50000000e+00  1.89140353e-05   1.13484225e-03   1.15375629e-03   
24      0.00000000e+00   -2.00000000e+00  8.05051350e-06   -7.96907034e-06  8.14431626e-08   
25      1.00000000e+00   -2.00000000e+00  8.29622838e-06   4.17019783e-04   4.25316011e-04   
26      2.00000000e+00   -2.00000000e+00  1.09465618e-05   6.56793721e-04   6.67740283e-04   
27      3.00000000e+00   -2.00000000e+00  1.41304765e-05   8.47828639e-04   8.61959115e-04   
28      4.00000000e+00   -2.00000000e+00  1.73187695e-05   1.03912626e-03   1.05644503e-03   
29      5.00000000e+00   -2.00000000e+00  2.05098885e-05   1.23059344e-03   1.25110332e-03   
End of Xyce(TM) Simulation
